rb,Year,Date,Load_sum
p94,2020,2020-03-03,512204.04
p94,2021,2021-01-12,526863.54
p94,2022,2022-01-10,543745.78
p94,2022,2022-01-11,658298.14
p94,2022,2022-01-12,544212.33
p94,2022,2022-01-15,485346.86
p94,2022,2022-01-17,522977.32
p94,2023,2023-12-24,464799.32
p94,2023,2023-12-25,587452.02
p94,2023,2023-12-26,564558.09
p94,2025,2025-01-20,511499.69
p94,2025,2025-01-21,709015.53
p94,2025,2025-01-22,562766.09
p94,2025,2025-12-26,515688.1
p94,2026,2026-01-27,530170.16
p94,2026,2026-01-28,581856.37
p94,2029,2029-12-22,484007.05
p94,2029,2029-12-23,530302.8099999999
p94,2029,2029-12-24,545871.53
p94,2031,2031-02-16,480728.69
p94,2034,2034-01-16,508782.56
p94,2034,2034-01-19,579622.42
p94,2036,2036-02-04,538335.74
p94,2036,2036-02-05,550271.7
p94,2037,2037-01-17,494640.26
p94,2043,2043-01-24,515958.15
p94,2054,2054-01-07,594143.24
p94,2054,2054-01-24,487839.23
p94,2055,2055-01-08,522694.16000000003
p94,2060,2060-03-03,481262.83999999997
p94,2062,2062-01-10,523566.11
p94,2062,2062-01-11,628786.03
p94,2062,2062-01-17,516105.17
p94,2063,2063-12-24,457182.68
p94,2063,2063-12-25,550910.36
p94,2063,2063-12-26,538238.6
p94,2065,2065-01-20,517841.75
p94,2065,2065-01-21,668904.83
p94,2066,2066-01-28,555899.55
p94,2069,2069-12-24,513829.03
p94,2074,2074-01-19,554858.9
p94,2076,2076-02-05,523047.47
p94,2083,2083-01-24,492731.36
p94,2094,2094-01-07,569536.97
