rb,Year,Date,Load_sum
p14,2020,2020-07-22,82795.57
p14,2020,2020-07-23,82269.01000000001
p14,2020,2020-07-28,80104.48999999999
p14,2022,2022-08-07,72619.08
p14,2022,2022-08-08,75227.29
p14,2023,2023-08-05,75603.92
p14,2023,2023-08-06,76908.04000000001
p14,2023,2023-08-07,81304.12
p14,2023,2023-08-08,76990.29
p14,2024,2024-07-25,80315.68000000001
p14,2024,2024-08-09,76970.15000000001
p14,2024,2024-08-10,72730.34999999999
p14,2025,2025-07-03,82027.88
p14,2025,2025-07-04,77425.43
p14,2025,2025-07-05,77432.76
p14,2025,2025-07-06,77772.7
p14,2025,2025-07-08,82318.54999999999
p14,2025,2025-07-09,83020.22
p14,2025,2025-07-10,83060.37
p14,2025,2025-07-11,80422.73
p14,2025,2025-07-20,76152.62
p14,2026,2026-08-10,76820.09999999999
p14,2026,2026-08-11,75312.08
p14,2026,2026-08-18,75696.79
p14,2026,2026-08-19,73639.26999999999
p14,2028,2028-07-21,81453.78
p14,2028,2028-07-22,76323.87
p14,2028,2028-07-25,80325.43999999999
p14,2028,2028-07-30,76806.12
p14,2028,2028-07-31,79860.01000000001
p14,2028,2028-08-24,73657.79
p14,2028,2028-08-25,76534.41
p14,2028,2028-09-02,65384.34
p14,2028,2028-09-03,66829.09999999999
p14,2028,2028-09-04,68461.75
p14,2028,2028-09-05,70694.71
p14,2029,2029-07-07,75797.72
p14,2029,2029-07-19,82145.14
p14,2029,2029-07-20,82512.04000000001
p14,2029,2029-07-26,81012.93
p14,2029,2029-07-27,80025.29000000001
p14,2029,2029-07-29,76122.25
p14,2030,2030-08-05,76269.96
p14,2030,2030-08-06,78016.75
p14,2030,2030-08-07,78646.15000000001
p14,2030,2030-08-08,79239.04
p14,2030,2030-08-09,78616.84
p14,2030,2030-08-10,71880.83
p14,2030,2030-08-14,76741.68
p14,2031,2031-08-09,72370.77
p14,2032,2032-06-23,80956.06999999999
p14,2032,2032-06-24,80599.03
p14,2032,2032-07-31,75696.66
p14,2032,2032-08-01,73966.79000000001
p14,2032,2032-08-02,77327.09
p14,2032,2032-08-12,77142.72
p14,2032,2032-08-13,76292.66
p14,2032,2032-08-14,74775.87000000001
p14,2032,2032-08-15,71285.37
p14,2032,2032-08-19,76978.05
p14,2032,2032-08-20,74978.2
p14,2034,2034-07-21,81930.02
p14,2034,2034-07-22,79659.24
p14,2034,2034-07-23,77192.28000000001
p14,2034,2034-07-24,81688.7
p14,2034,2034-07-25,81598.96999999999
p14,2034,2034-07-26,81746.04000000001
p14,2034,2034-07-27,81961.47
p14,2034,2034-07-28,82102.14
p14,2034,2034-07-29,78437.97
p14,2034,2034-07-30,75944.34
p14,2034,2034-08-02,78088.37
p14,2034,2034-08-03,78287.23
p14,2034,2034-08-04,79034.28
p14,2034,2034-08-05,73086.66
p14,2034,2034-08-13,71189.88
p14,2034,2034-08-14,77211.11
p14,2034,2034-08-15,75922.36
p14,2036,2036-07-02,81713.98999999999
p14,2036,2036-07-26,76980.01
p14,2036,2036-07-27,78327.87999999999
p14,2036,2036-07-28,81756.19
p14,2036,2036-07-29,76016.53
p14,2036,2036-08-10,72445.76
p14,2036,2036-08-11,77637.54000000001
p14,2036,2036-08-12,76583.75
p14,2036,2036-08-25,75607.71
p14,2036,2036-08-26,75115.92
p14,2037,2037-08-03,76341.43
p14,2037,2037-08-04,75771.91
p14,2038,2038-07-17,79372.13
p14,2038,2038-07-18,78006.07
p14,2038,2038-08-05,79316.29000000001
p14,2038,2038-08-06,78821.44
p14,2038,2038-08-14,74140.12
p14,2039,2039-07-27,80503.56999999999
p14,2039,2039-07-28,81402.23
p14,2039,2039-08-02,76976.51
p14,2039,2039-08-18,74702.05
p14,2040,2040-07-22,76033.54
p14,2040,2040-07-28,76093.79000000001
p14,2040,2040-07-29,77536.53
p14,2040,2040-07-30,82631.85
p14,2040,2040-07-31,83491.79
p14,2040,2040-08-01,79400.14
p14,2040,2040-08-03,77331.42000000001
p14,2040,2040-08-09,77672.89000000001
p14,2040,2040-08-10,76549.51000000001
p14,2041,2041-07-03,81927.8
p14,2041,2041-07-04,77069.33
p14,2041,2041-07-05,77215.12
p14,2041,2041-08-06,77459.56999999999
p14,2041,2041-08-07,78468.77
p14,2041,2041-08-08,78120.0
p14,2041,2041-08-12,76148.28
p14,2041,2041-08-13,76963.99
p14,2041,2041-08-14,76733.63
p14,2041,2041-08-17,71070.1
p14,2041,2041-08-18,69988.44
p14,2041,2041-08-26,73851.14
p14,2042,2042-06-26,81712.31
p14,2042,2042-06-27,81168.53
p14,2042,2042-07-07,81049.18
p14,2042,2042-07-08,77771.88
p14,2042,2042-07-10,82230.26000000001
p14,2042,2042-07-11,84890.91
p14,2042,2042-07-12,81603.94
p14,2042,2042-07-13,82014.21
p14,2042,2042-07-14,83049.27999999998
p14,2042,2042-07-23,80935.52
p14,2042,2042-07-24,81432.56
p14,2042,2042-07-25,79083.59
p14,2043,2043-07-10,81150.81999999999
p14,2043,2043-07-11,77871.14000000001
p14,2043,2043-07-12,78181.67
p14,2043,2043-07-13,79305.20999999999
p14,2043,2043-07-15,80839.35999999999
p14,2043,2043-07-16,81674.68
p14,2043,2043-07-18,78777.14
p14,2043,2043-07-19,79542.04999999999
p14,2043,2043-07-20,83202.08
p14,2043,2043-07-21,82739.69000000002
p14,2043,2043-07-22,84051.26
p14,2043,2043-07-23,84881.07
p14,2043,2043-07-24,79510.36
p14,2043,2043-07-28,80944.19
p14,2043,2043-07-29,82185.65000000001
p14,2043,2043-07-30,82730.62999999999
p14,2043,2043-07-31,81965.43000000001
p14,2043,2043-08-01,73672.42
p14,2043,2043-08-02,71612.56
p14,2043,2043-08-09,70330.20999999999
p14,2043,2043-08-10,75800.23000000001
p14,2043,2043-08-14,76362.43
p14,2043,2043-08-15,74504.89000000001
p14,2043,2043-08-16,70209.32
p14,2044,2044-07-14,81625.04000000001
p14,2044,2044-07-15,81174.09999999999
p14,2044,2044-07-17,77140.65000000001
p14,2044,2044-08-01,76871.19
p14,2044,2044-08-13,73419.36
p14,2044,2044-08-14,73557.44
p14,2044,2044-08-15,76767.84
p14,2045,2045-07-15,76451.51000000001
p14,2045,2045-07-16,76237.52
p14,2045,2045-07-21,82139.62000000001
p14,2045,2045-07-22,76372.55
p14,2045,2045-08-05,73505.14
p14,2045,2045-08-06,74824.09
p14,2045,2045-08-07,78916.84
p14,2045,2045-08-08,77562.32
p14,2046,2046-07-21,79608.98999999999
p14,2046,2046-07-22,81150.74999999999
p14,2046,2046-07-23,83015.39
p14,2046,2046-07-24,80624.66
p14,2046,2046-07-25,81294.61
p14,2046,2046-07-27,82384.11000000002
p14,2046,2046-07-28,78350.12999999999
p14,2046,2046-08-07,76886.61
p14,2046,2046-08-21,74604.43000000001
p14,2047,2047-07-05,83898.09
p14,2047,2047-07-06,80246.86000000002
p14,2047,2047-07-07,77299.05
p14,2047,2047-07-11,82508.70000000001
p14,2047,2047-07-12,81183.48999999999
p14,2047,2047-07-13,78920.48999999999
p14,2047,2047-07-14,79721.95000000001
p14,2047,2047-07-15,83211.17
p14,2047,2047-07-16,81846.99
p14,2047,2047-07-17,81279.75
p14,2047,2047-07-18,81305.66999999998
p14,2047,2047-07-19,78887.81
p14,2047,2047-07-22,82350.64
p14,2047,2047-07-23,82818.79999999999
p14,2047,2047-07-24,77353.46
p14,2047,2047-07-29,81957.98999999999
p14,2047,2047-08-01,77264.84
p14,2047,2047-08-14,75759.72
p14,2047,2047-08-15,76664.0
p14,2047,2047-08-16,76507.90999999999
p14,2048,2048-06-29,80580.51
p14,2048,2048-06-30,82068.51999999999
p14,2048,2048-07-03,76161.39
p14,2048,2048-07-04,73927.29000000001
p14,2048,2048-08-07,78497.91
p14,2048,2048-08-08,73691.88
p14,2048,2048-08-17,76523.72
p14,2048,2048-08-18,76148.23
p14,2049,2049-07-18,77757.8
p14,2049,2049-07-19,80472.90000000001
p14,2049,2049-07-22,82102.42
p14,2049,2049-07-23,82444.43000000001
p14,2049,2049-08-01,73907.13
p14,2049,2049-08-28,71010.38
p14,2050,2050-07-25,81143.64000000001
p14,2050,2050-08-26,73721.92000000001
p14,2051,2051-08-26,73376.28
p14,2052,2052-07-08,82061.09000000001
p14,2052,2052-07-09,83117.16
p14,2052,2052-07-10,82999.28999999998
p14,2052,2052-07-11,82040.52
p14,2052,2052-07-12,82850.6
p14,2052,2052-07-13,75687.83
p14,2052,2052-08-05,76889.29999999999
p14,2052,2052-08-06,78480.5
p14,2052,2052-08-07,77630.7
p14,2052,2052-08-08,77485.47999999998
p14,2052,2052-08-12,76795.56
p14,2052,2052-08-13,77431.55
p14,2053,2053-06-29,78067.14
p14,2053,2053-06-30,78948.57
p14,2053,2053-07-01,84446.49
p14,2053,2053-07-02,85144.50999999998
p14,2053,2053-07-03,81615.70999999999
p14,2053,2053-07-10,81629.47
p14,2053,2053-07-19,77108.39
p14,2053,2053-07-20,77252.25
p14,2053,2053-07-24,80744.25
p14,2053,2053-07-25,79979.11000000002
p14,2053,2053-07-26,77510.81999999999
p14,2053,2053-08-15,75731.21
p14,2054,2054-07-13,82349.94
p14,2054,2054-07-14,83678.84999999999
p14,2054,2054-08-03,79049.76000000001
p14,2054,2054-08-11,77370.87
p14,2054,2054-08-12,75624.65
p14,2055,2055-06-26,75356.25
p14,2055,2055-06-27,79026.65000000001
p14,2055,2055-06-28,84729.59
p14,2055,2055-06-29,82995.67
p14,2055,2055-06-30,79117.13
p14,2055,2055-07-01,82012.70999999999
p14,2055,2055-07-02,83383.04
p14,2055,2055-07-03,79203.72
p14,2055,2055-07-04,73180.54000000001
p14,2055,2055-07-31,74682.14
p14,2055,2055-08-01,73018.7
p14,2055,2055-08-02,78897.12999999999
p14,2055,2055-08-03,74942.70999999999
p14,2055,2055-08-11,75255.82
p14,2055,2055-08-12,77063.3
p14,2055,2055-08-13,78252.74
p14,2055,2055-08-14,73240.43000000001
p14,2056,2056-07-21,80143.94
p14,2056,2056-07-29,77898.47
p14,2056,2056-07-30,77416.23
p14,2057,2057-07-05,82268.79000000001
