rb,Year,Date,Load_sum
p15,2020,2020-01-28,85810.85138405926
p15,2020,2020-01-30,83532.85554343075
p15,2022,2022-01-06,89040.85134430781
p15,2022,2022-01-07,89442.18770457304
p15,2022,2022-02-05,80064.50329944008
p15,2023,2023-12-21,94445.84716528002
p15,2023,2023-12-22,97294.91634975601
p15,2023,2023-12-23,94103.75339803423
p15,2023,2023-12-24,91619.28580442487
p15,2024,2024-01-18,89709.47683352788
p15,2025,2025-01-31,90918.9926380911
p15,2025,2025-02-01,84636.52587088873
p15,2025,2025-02-04,89088.06750997645
p15,2025,2025-02-05,87823.7641822256
p15,2025,2025-11-23,87423.34167485971
p15,2029,2029-02-03,89478.01740466914
p15,2029,2029-02-04,91711.40345896923
p15,2029,2029-02-05,94812.86001807533
p15,2029,2029-02-06,93703.21341267903
p15,2029,2029-02-07,92921.24878220388
p15,2030,2030-12-20,101336.32806138691
p15,2030,2030-12-21,103807.98534647611
p15,2030,2030-12-22,107188.21238806933
p15,2030,2030-12-23,109777.09872988879
p15,2030,2030-12-24,104775.71717990031
p15,2030,2030-12-29,98684.45534136384
p15,2030,2030-12-30,109114.13468215977
p15,2036,2036-01-31,103046.74166203539
p15,2036,2036-02-01,99589.25151820396
p15,2036,2036-02-02,97208.48521218517
p15,2036,2036-02-03,97057.9166686323
p15,2038,2038-12-20,106791.59084913108
p15,2038,2038-12-21,110149.08057752304
p15,2038,2038-12-22,109896.33042437103
p15,2038,2038-12-23,109112.28616183037
p15,2044,2044-01-05,112019.91007985151
p15,2044,2044-01-06,113932.86884743713
p15,2050,2050-11-24,110125.80180202029
p15,2057,2057-01-06,133285.77619357762
p15,2057,2057-01-07,131114.5644642017
p15,2062,2062-01-06,140316.87204158687
p15,2062,2062-01-07,135476.49799615174
p15,2063,2063-12-21,145347.96443949855
p15,2063,2063-12-22,140947.76675016357
p15,2063,2063-12-23,143632.66230003844
p15,2063,2063-12-24,150717.1247274112
p15,2065,2065-02-01,132343.1366864352
p15,2065,2065-02-04,138920.28616479697
p15,2065,2065-11-23,145885.04037817798
p15,2069,2069-02-03,142071.62955033113
p15,2069,2069-02-04,150668.8033151111
p15,2069,2069-02-05,150367.8138664061
p15,2069,2069-02-06,148430.3421738602
p15,2070,2070-12-20,151043.60973308465
p15,2070,2070-12-21,164917.11318577774
p15,2070,2070-12-22,179244.58661446586
p15,2070,2070-12-23,174434.75795759956
p15,2070,2070-12-24,166369.10144980252
p15,2070,2070-12-29,165960.01356346597
p15,2070,2070-12-30,173662.34235065547
p15,2076,2076-02-01,150114.23292100505
p15,2076,2076-02-02,152386.07350782328
p15,2076,2076-02-03,159339.13076965458
p15,2078,2078-12-21,172594.16413898385
p15,2097,2097-01-06,210846.5560422614
