rb,Year,Date,Load_sum
p82,2020,2020-07-07,496074.0350547593
p82,2020,2020-07-12,468857.5904904443
p82,2020,2020-07-14,511273.85645896976
p82,2020,2020-07-15,547454.1087482095
p82,2020,2020-07-16,533068.0240089584
p82,2020,2020-07-20,526440.4850231126
p82,2020,2020-08-01,453012.6365186924
p82,2020,2020-08-07,530300.889928817
p82,2020,2020-08-08,458469.88224403595
p82,2020,2020-08-20,534293.3742502413
p82,2022,2022-08-03,503863.493759952
p82,2022,2022-08-04,525364.7152089988
p82,2023,2023-07-20,543661.8107602027
p82,2023,2023-07-21,554355.999038204
p82,2023,2023-07-22,481431.12848038867
p82,2023,2023-07-23,468676.4243214522
p82,2023,2023-07-28,485083.3487495663
p82,2023,2023-07-29,471037.5657957134
p82,2023,2023-08-08,497807.83006772876
p82,2023,2023-08-16,489929.17320299096
p82,2023,2023-08-17,496127.7210407802
p82,2023,2023-08-18,509131.83135027956
p82,2023,2023-08-19,451339.7392143641
p82,2023,2023-08-20,459653.02828082937
p82,2023,2023-08-21,489053.575526384
p82,2023,2023-08-22,503747.5672678471
p82,2023,2023-08-25,481035.0974254482
p82,2023,2023-08-26,442024.4319855282
p82,2023,2023-08-27,449759.7188874504
p82,2023,2023-08-29,472072.47876316065
p82,2023,2023-09-05,465504.43603689584
p82,2023,2023-09-06,479605.20875111327
p82,2023,2023-09-09,388768.06175643264
p82,2023,2023-09-10,424709.26503800496
p82,2023,2023-09-18,428684.2134368544
p82,2024,2024-08-07,529047.3577625069
p82,2024,2024-08-28,472688.0627056215
p82,2024,2024-08-29,482901.2603705758
p82,2024,2024-09-01,351700.03978840396
p82,2025,2025-09-06,460786.5958092915
p82,2025,2025-09-07,460534.4870187281
p82,2025,2025-09-09,487699.1213861078
p82,2026,2026-07-18,472688.98450788914
p82,2026,2026-07-19,471817.5203250556
p82,2027,2027-06-14,472534.7325593991
p82,2027,2027-07-19,502166.91314555
p82,2027,2027-07-20,527605.1923899984
p82,2027,2027-07-23,515743.6988010842
p82,2027,2027-07-24,461988.7135257682
p82,2027,2027-08-02,524311.9881907741
p82,2027,2027-08-03,522016.46577382233
p82,2027,2027-08-16,526676.5045166806
p82,2027,2027-08-17,500903.1634802541
p82,2027,2027-08-21,411640.07480985357
p82,2027,2027-08-22,403153.1559847553
p82,2028,2028-06-20,477304.69832841365
p82,2028,2028-06-21,488429.1931513957
p82,2028,2028-06-22,493881.87685901124
p82,2028,2028-06-25,430134.1726510761
p82,2028,2028-06-26,402022.13703587314
p82,2028,2028-07-05,446530.840933244
p82,2028,2028-07-06,481182.55795653374
p82,2028,2028-07-07,493747.4884026267
p82,2028,2028-07-08,438086.4356420942
p82,2028,2028-07-09,433584.94112875
p82,2028,2028-07-14,502344.0262207665
p82,2028,2028-07-15,433288.3563666088
p82,2028,2028-07-16,455564.73965976917
p82,2028,2028-07-28,457438.8652559949
p82,2028,2028-07-29,421817.3541419534
p82,2028,2028-07-30,433391.8202712516
p82,2028,2028-07-31,447298.54438139196
p82,2028,2028-08-01,478604.84916611423
p82,2028,2028-08-02,494336.5492722018
p82,2028,2028-08-03,510267.6914195121
p82,2028,2028-08-04,509855.32755434175
p82,2028,2028-08-05,453730.66713994043
p82,2028,2028-08-06,416295.05693411495
p82,2028,2028-08-07,447860.2789489798
p82,2028,2028-08-08,471743.9962455806
p82,2028,2028-08-09,492991.8879391793
p82,2028,2028-08-11,502313.62619193207
p82,2028,2028-08-12,460012.52554260555
p82,2028,2028-08-13,473213.7029067787
p82,2028,2028-08-14,538492.5444324843
p82,2028,2028-08-15,507003.92049961886
p82,2028,2028-08-16,488590.5774274814
p82,2028,2028-08-17,515776.34923699894
p82,2028,2028-08-18,476791.5893022298
p82,2028,2028-09-17,411449.4444506035
p82,2029,2029-07-09,501310.4333506497
p82,2029,2029-07-10,520164.1559618603
p82,2029,2029-08-05,471853.87080854864
p82,2030,2030-07-04,455245.03713455866
p82,2030,2030-08-27,506235.12336119683
p82,2030,2030-08-28,504324.0677331809
p82,2030,2030-09-06,471714.29896253406
p82,2031,2031-07-01,488849.5476993146
p82,2031,2031-07-06,441862.5259021171
p82,2031,2031-07-21,506411.081791893
p82,2031,2031-07-22,507463.7303406353
p82,2031,2031-08-02,424382.5493551263
p82,2031,2031-08-25,436976.4883823341
p82,2031,2031-08-26,469162.831996615
p82,2031,2031-09-09,479669.83480569476
p82,2031,2031-09-13,417181.07556166063
p82,2031,2031-09-14,400553.35815695487
p82,2031,2031-09-15,486859.5252390576
p82,2033,2033-08-26,512159.40086852486
p82,2033,2033-08-27,451144.94727791264
p82,2034,2034-06-18,425053.7108156495
p82,2035,2035-07-12,482704.1790852827
p82,2035,2035-07-13,526594.17585743
p82,2035,2035-07-14,475302.3066225449
p82,2035,2035-08-12,456308.31341555197
p82,2035,2035-08-13,516089.842229143
p82,2035,2035-08-14,524008.70068537915
p82,2035,2035-08-30,478928.77619075857
p82,2036,2036-08-06,490982.8403834135
p82,2036,2036-08-07,513153.0004668476
p82,2036,2036-08-22,477905.1454057784
p82,2037,2037-07-26,446572.65473639575
p82,2037,2037-07-27,503953.6810668983
p82,2037,2037-08-16,433725.52075189824
p82,2038,2038-07-20,489865.061536924
p82,2038,2038-07-21,487940.2848637341
p82,2038,2038-08-23,443837.5592318349
p82,2038,2038-08-24,486232.61163433356
p82,2038,2038-09-06,398334.6353068869
p82,2039,2039-07-21,487073.5961641035
p82,2039,2039-07-23,445907.81259620417
p82,2039,2039-07-24,450941.04380168236
p82,2039,2039-07-25,491700.28240274
p82,2039,2039-07-28,494874.1032226456
