rb,Year,Date,Load_sum
p82,2020,2020-07-15,573839.2
p82,2020,2020-07-20,554274.71
p82,2020,2020-08-07,554915.97
p82,2020,2020-08-08,487104.08999999997
p82,2020,2020-08-20,564398.3099999999
p82,2022,2022-08-03,538710.66
p82,2023,2023-07-21,591074.42
p82,2023,2023-07-22,517033.52
p82,2023,2023-08-17,537036.42
p82,2023,2023-09-09,426919.5200000001
p82,2023,2023-09-10,470839.18
p82,2024,2024-08-28,518085.48
p82,2024,2024-08-29,520848.57
p82,2024,2024-09-01,378364.87
p82,2025,2025-09-06,502587.12000000005
p82,2026,2026-07-19,509006.12
p82,2027,2027-06-14,521686.62999999995
p82,2027,2027-07-20,567973.3099999999
p82,2027,2027-07-24,509812.05
p82,2027,2027-08-02,565023.0299999999
p82,2027,2027-08-16,567313.0800000001
p82,2027,2027-08-21,438515.72000000003
p82,2028,2028-06-21,534006.41
p82,2028,2028-06-25,463612.11
p82,2028,2028-07-15,474488.7
p82,2028,2028-07-16,502531.43
p82,2028,2028-07-28,514391.99
p82,2028,2028-07-29,465321.32
p82,2028,2028-07-30,473100.59
p82,2028,2028-08-01,517739.0
p82,2028,2028-08-02,536520.54
p82,2028,2028-08-03,560289.64
p82,2028,2028-08-04,561045.27
p82,2028,2028-08-08,512588.78
p82,2028,2028-08-11,536122.6
p82,2028,2028-08-13,520985.20999999996
p82,2028,2028-08-14,586866.23
p82,2028,2028-08-15,542354.0399999999
p82,2028,2028-08-16,525138.99
p82,2028,2028-08-17,558835.2499999999
p82,2028,2028-08-18,522835.9
p82,2029,2029-07-09,559533.37
p82,2029,2029-07-10,570559.7
p82,2030,2030-07-04,501249.31
p82,2030,2030-09-06,525173.5
p82,2031,2031-07-06,487900.12
p82,2031,2031-07-22,550697.7200000001
p82,2031,2031-09-09,538066.77
p82,2035,2035-07-13,595994.31
p82,2035,2035-07-14,536300.02
p82,2036,2036-08-06,551348.34
p82,2036,2036-08-07,579546.6599999999
p82,2037,2037-07-26,510956.03
p82,2037,2037-08-16,477890.29999999993
p82,2037,2037-09-19,443632.72
p82,2038,2038-07-21,556260.0800000001
p82,2038,2038-08-23,487132.02
p82,2038,2038-08-24,528701.84
p82,2038,2038-09-06,440138.30000000005
p82,2039,2039-07-29,571421.93
p82,2039,2039-07-30,526998.64
p82,2039,2039-07-31,498063.99999999994
p82,2040,2040-08-15,513287.58
p82,2040,2040-08-29,508307.35000000003
p82,2040,2040-08-31,515687.64
p82,2040,2040-09-01,479611.58999999997
p82,2040,2040-09-11,550430.91
p82,2041,2041-08-01,562790.09
p82,2041,2041-08-06,531323.26
p82,2041,2041-08-07,534093.15
p82,2041,2041-08-08,541869.94
p82,2041,2041-08-09,564281.14
p82,2041,2041-09-07,482835.7
