rb,Year,Date,Load_sum
p82,2022,2022-01-10,503786.6400000001
p82,2022,2022-01-11,493351.85
p82,2022,2022-01-16,442888.92
p82,2022,2022-01-17,483740.17
p82,2022,2022-02-06,423412.83999999997
p82,2022,2022-02-10,487452.54000000004
p82,2023,2023-12-24,474082.0
p82,2023,2023-12-25,421768.80000000005
p82,2023,2023-12-30,444155.94999999995
p82,2025,2025-01-20,458021.64
p82,2029,2029-12-22,455223.1400000001
p82,2029,2029-12-23,449107.98
p82,2034,2034-01-15,458592.57999999996
p82,2034,2034-01-18,513831.43999999994
p82,2034,2034-01-19,510449.27
p82,2036,2036-02-03,447042.5
p82,2036,2036-02-04,483008.01
p82,2037,2037-01-17,444165.0
p82,2039,2039-01-05,502606.32
p82,2040,2040-12-22,450794.32999999996
p82,2054,2054-01-06,487709.06000000006
p82,2054,2054-01-07,501279.07999999996
p82,2059,2059-01-30,509952.44
p82,2059,2059-01-31,510247.07999999996
p82,2062,2062-01-10,490541.00000000006
p82,2062,2062-01-17,508718.52
p82,2062,2062-02-10,473436.4
p82,2063,2063-12-24,509777.99
p82,2063,2063-12-25,408436.19999999995
p82,2065,2065-01-20,496813.4
p82,2069,2069-12-22,448320.63999999996
p82,2069,2069-12-23,483988.1
p82,2074,2074-01-18,500941.27999999997
p82,2074,2074-01-19,497156.56
p82,2076,2076-02-03,480731.49
p82,2079,2079-01-05,494827.38
p82,2094,2094-01-06,481624.09
p82,2094,2094-01-07,492312.98
p82,2099,2099-01-30,498291.78
