rb,Year,Date,Load_sum
p80,2021,2021-02-12,449268.79198981315
p80,2022,2022-01-10,479711.970412579
p80,2022,2022-01-11,469770.6646962492
p80,2022,2022-01-16,421696.098122337
p80,2022,2022-01-17,460587.5660276067
p80,2022,2022-02-06,403057.71564152604
p80,2022,2022-02-10,463998.1183058375
p80,2023,2023-12-24,447852.95402369637
p80,2023,2023-12-25,398429.60519455664
p80,2023,2023-12-29,448084.9031542201
p80,2023,2023-12-30,419554.5800741704
p80,2024,2024-01-20,419836.82758897205
p80,2024,2024-01-21,423112.8453509058
p80,2025,2025-01-20,430789.62523058587
p80,2025,2025-01-21,449243.6071919664
p80,2029,2029-12-22,419665.7808357518
p80,2029,2029-12-23,414023.6658217943
p80,2034,2034-01-15,415830.7818698754
p80,2034,2034-01-18,465903.27290752926
p80,2034,2034-01-19,462831.4792822992
p80,2036,2036-02-03,401987.18264040264
p80,2036,2036-02-04,434323.07011022547
p80,2037,2037-01-17,397848.80489991885
p80,2039,2039-01-04,421904.99467368115
p80,2039,2039-01-05,446606.99991043226
p80,2039,2039-01-07,419938.41494170454
p80,2040,2040-12-22,397378.8021940129
p80,2049,2049-01-15,413059.878369056
p80,2051,2051-02-03,387974.17353366304
p80,2054,2054-01-06,407687.2425854926
p80,2054,2054-01-07,419026.1751663865
p80,2059,2059-01-30,417579.63497324166
p80,2059,2059-01-31,417816.3041476971
p80,2062,2062-01-10,396894.92852329265
p80,2062,2062-01-17,411570.2459411266
p80,2062,2062-02-10,382923.3537010692
p80,2063,2063-12-24,409194.10832992225
p80,2063,2063-12-25,327844.3463550115
p80,2065,2065-01-20,397044.2430253776
p80,2069,2069-12-22,351183.6444468218
p80,2069,2069-12-23,379118.86414430337
p80,2074,2074-01-18,385947.4977806746
p80,2074,2074-01-19,383027.357416078
p80,2076,2076-02-03,367309.6110879556
p80,2077,2077-01-17,330636.1943585763
p80,2079,2079-01-05,373609.2519596536
p80,2094,2094-01-06,342090.3553564877
p80,2094,2094-01-07,349678.70043892035
p80,2099,2099-01-30,346704.66127989686
