rb,Year,Date,Load_sum
p83,2021,2021-02-12,470034.12
p83,2022,2022-01-10,502629.69000000006
p83,2022,2022-01-11,491079.87
p83,2022,2022-01-16,444591.92
p83,2022,2022-01-17,486294.92000000004
p83,2022,2022-02-06,421010.29
p83,2022,2022-02-10,483916.02
p83,2023,2023-12-24,465893.42
p83,2023,2023-12-25,413838.89
p83,2023,2023-12-30,437950.67
p83,2025,2025-01-20,455159.34
p83,2025,2025-01-21,473853.42000000004
p83,2029,2029-12-22,445484.77999999997
p83,2029,2029-12-23,440905.11
p83,2034,2034-01-18,504132.43000000005
p83,2034,2034-01-19,502221.42
p83,2036,2036-02-03,441840.6
p83,2036,2036-02-04,477646.93000000005
p83,2037,2037-01-17,436429.8599999999
p83,2039,2039-01-05,496821.36000000004
p83,2054,2054-01-06,479185.92
p83,2054,2054-01-07,491826.26
p83,2059,2059-01-30,499760.91000000003
p83,2062,2062-01-10,478315.41000000003
p83,2062,2062-01-17,499838.12
p83,2063,2063-12-24,494814.71
p83,2065,2065-01-20,481168.15
