rb,Year,Date,Load_sum
p106,2020,2020-07-15,377495.4086814636
p106,2020,2020-07-16,375312.18141659437
p106,2020,2020-07-20,371425.1038073858
p106,2020,2020-08-08,327310.555818487
p106,2020,2020-08-10,369309.3806428867
p106,2020,2020-08-20,379491.5663174617
p106,2020,2020-09-22,348897.8980627955
p106,2023,2023-07-21,383239.2641875867
p106,2023,2023-07-22,346195.07272175624
p106,2023,2023-07-23,339030.61347146926
p106,2023,2023-08-19,339205.99278214073
p106,2023,2023-08-20,339176.11251696787
p106,2023,2023-08-25,340618.4947470725
p106,2023,2023-08-26,315026.3103184239
p106,2023,2023-09-05,348167.07414047513
p106,2023,2023-09-06,343272.66774575063
p106,2023,2023-09-09,281591.3824731148
p106,2023,2023-09-10,317686.4803861685
p106,2023,2023-09-18,304265.21010510024
p106,2024,2024-08-08,370491.6160777272
p106,2024,2024-08-29,350076.8952639511
p106,2024,2024-09-02,283258.8364577517
p106,2026,2026-07-17,363995.5917755692
p106,2026,2026-07-18,335502.6210331352
p106,2026,2026-07-19,333447.9022971857
p106,2027,2027-06-14,333177.2874734457
p106,2027,2027-07-20,358401.2032052948
p106,2027,2027-07-21,360267.0836194232
p106,2027,2027-07-24,333703.8064392739
p106,2027,2027-07-25,333506.55912704434
p106,2027,2027-08-02,372717.40901309473
p106,2027,2027-08-03,370376.1941426417
p106,2027,2027-08-13,350331.08546542097
p106,2027,2027-08-16,362320.7383496265
p106,2027,2027-08-21,286210.55985434965
p106,2028,2028-06-21,346621.7561011223
p106,2028,2028-06-22,341809.98840922647
p106,2028,2028-06-25,297223.5872594505
p106,2028,2028-06-26,304254.60396209825
p106,2028,2028-07-05,336795.24158566975
p106,2028,2028-07-06,344711.63779873506
p106,2028,2028-07-07,352022.50507065386
p106,2028,2028-07-08,320857.2386210704
p106,2028,2028-07-09,318022.5486944403
p106,2028,2028-07-14,355464.7566476198
p106,2028,2028-07-15,306346.9446450973
p106,2028,2028-07-16,335497.49930988497
p106,2028,2028-07-28,329120.9164085205
p106,2028,2028-07-29,308724.3211777907
p106,2028,2028-07-30,312392.46963770053
p106,2028,2028-08-01,331294.8973965339
p106,2028,2028-08-02,344859.48178390454
p106,2028,2028-08-03,357207.1385119235
p106,2028,2028-08-04,356720.34179469116
p106,2028,2028-08-05,323961.02156980033
p106,2028,2028-08-07,308458.2909924837
p106,2028,2028-08-08,326115.03659174073
p106,2028,2028-08-09,339884.20950443036
p106,2028,2028-08-10,345048.85549191805
p106,2028,2028-08-11,351443.74723091983
p106,2028,2028-08-12,328034.3396280985
p106,2028,2028-08-13,342517.0391387003
p106,2028,2028-08-14,367833.0422538769
p106,2028,2028-08-15,362043.8651687853
p106,2028,2028-08-16,332307.29725654377
p106,2028,2028-08-17,339625.90923309297
p106,2028,2028-08-18,342598.1763610555
p106,2029,2029-07-09,353786.4764763593
p106,2029,2029-07-10,365358.212140046
p106,2030,2030-07-04,302537.7806358221
p106,2030,2030-07-09,366139.1810955805
p106,2030,2030-08-28,358462.77795470814
