rb,Year,Date,Load_sum
p106,2022,2022-01-10,383439.7956588159
p106,2022,2022-01-11,379601.26341475995
p106,2022,2022-01-16,314933.0213232191
p106,2022,2022-01-17,359970.4554485175
p106,2022,2022-02-10,359343.5245132523
p106,2023,2023-12-24,353758.7926276402
p106,2023,2023-12-25,292659.63852586685
p106,2023,2023-12-30,340279.448867262
p106,2024,2024-01-21,343650.85465746635
p106,2025,2025-01-20,352951.2099102518
p106,2025,2025-01-21,368321.00979426206
p106,2029,2029-12-22,345565.76853240386
p106,2029,2029-12-23,340023.8263131355
p106,2029,2029-12-24,349135.5498890044
p106,2034,2034-01-15,327061.2698620612
p106,2034,2034-01-16,324603.4696730369
p106,2034,2034-01-18,375408.23668110656
p106,2034,2034-01-19,382791.2257754061
p106,2037,2037-01-17,320556.97416786826
p106,2039,2039-01-05,359516.33287148003
p106,2039,2039-01-10,338217.1129078992
p106,2039,2039-01-11,332283.8511481976
p106,2040,2040-12-22,324249.7114191785
p106,2044,2044-01-31,302713.90990355646
p106,2044,2044-12-25,267024.8546002374
p106,2047,2047-02-16,281298.1128597256
p106,2049,2049-01-16,300012.294092123
p106,2054,2054-01-06,315888.7515784555
p106,2054,2054-01-07,338377.6078423406
p106,2054,2054-01-24,289603.89908670046
p106,2054,2054-01-28,333069.2948107562
p106,2054,2054-02-07,280726.721665656
p106,2054,2054-02-11,303563.7768480916
p106,2059,2059-01-30,324821.82670745393
p106,2059,2059-01-31,317720.50628778775
p106,2062,2062-01-10,317106.5012938904
p106,2062,2062-01-17,329461.68605272943
p106,2062,2062-02-10,296785.9842738129
p106,2063,2063-12-24,316853.36969640857
p106,2063,2063-12-25,242874.88510211563
p106,2064,2064-01-21,287685.7650014099
p106,2065,2065-01-20,323514.5058614135
p106,2065,2065-01-21,304038.87235147663
p106,2069,2069-12-22,289207.68036719994
p106,2069,2069-12-23,302919.05563792295
p106,2074,2074-01-18,309904.31073167146
p106,2074,2074-01-19,315198.92615864385
p106,2079,2079-01-05,299560.808759886
p106,2079,2079-01-10,282753.01901157177
p106,2079,2079-01-11,278311.7241426871
p106,2094,2094-01-06,266983.59880670236
p106,2094,2094-01-07,283348.231486106
p106,2094,2094-01-28,276628.9825313761
p106,2099,2099-01-30,270373.17731297796
