rb,Year,Date,Load_sum
p70,2020,2020-07-30,175672.83035476928
p70,2020,2020-08-07,192915.13559077372
p70,2021,2021-07-12,194282.03874184866
p70,2023,2023-08-16,199078.1655482451
p70,2024,2024-08-28,191568.35928994266
p70,2024,2024-08-29,182027.2146312516
p70,2027,2027-07-31,191267.5482247076
p70,2027,2027-08-01,195739.95135667836
p70,2027,2027-08-02,221917.62445752823
p70,2027,2027-08-21,179249.98629880135
p70,2028,2028-06-20,205450.89930633118
p70,2028,2028-06-21,205907.83513960044
p70,2028,2028-06-24,170428.35803074867
p70,2028,2028-07-06,211653.09475455718
p70,2028,2028-07-13,203945.50103428029
p70,2028,2028-07-14,205496.61612964974
p70,2028,2028-07-15,195945.93955002553
p70,2028,2028-07-29,174107.40523102757
p70,2028,2028-07-30,177770.12433454063
p70,2028,2028-07-31,198400.54639842839
p70,2028,2028-08-01,212559.72627344326
p70,2028,2028-08-02,216890.9772822128
p70,2028,2028-08-03,215883.50583257218
p70,2028,2028-08-07,190721.43272761657
p70,2028,2028-08-08,207644.76047245355
p70,2028,2028-08-11,206754.54893128035
p70,2028,2028-08-14,222759.73358905554
p70,2028,2028-08-15,216060.86774496807
p70,2028,2028-08-16,217569.6445424124
p70,2028,2028-08-17,217187.83242749248
p70,2028,2028-08-18,210633.40070296385
p70,2029,2029-07-08,184486.01795910497
p70,2029,2029-07-09,211968.66730844794
p70,2029,2029-07-10,221780.59043954738
p70,2029,2029-07-11,220807.99105976184
p70,2029,2029-08-04,209271.31378833618
p70,2029,2029-08-05,191782.25710209
p70,2034,2034-08-27,206743.49056417996
p70,2037,2037-07-25,220066.65394928207
p70,2039,2039-07-29,260025.33368765184
p70,2039,2039-07-30,237192.01504493115
p70,2040,2040-08-08,246333.0350459102
p70,2040,2040-08-14,245919.90782594893
p70,2040,2040-08-15,234955.17814561812
p70,2040,2040-08-28,237650.00002368249
p70,2040,2040-08-30,229182.86136254336
p70,2040,2040-08-31,242071.13035123417
p70,2040,2040-09-02,216853.09942815904
p70,2042,2042-07-20,235620.24067712866
p70,2042,2042-07-21,272787.8900300315
p70,2042,2042-07-30,246703.70706604637
p70,2042,2042-07-31,251820.87233136175
p70,2042,2042-08-01,270972.25154362945
p70,2042,2042-09-02,243768.2983398632
p70,2043,2043-07-26,225530.76491916162
p70,2043,2043-07-27,251145.90898567578
p70,2043,2043-08-16,230407.44999065046
p70,2043,2043-08-17,254065.76096696613
p70,2043,2043-08-18,246467.99024656313
p70,2043,2043-08-19,257578.4629003543
p70,2043,2043-08-20,264179.2373535525
p70,2043,2043-08-21,264713.4393255905
p70,2043,2043-08-24,233722.87107904747
p70,2043,2043-08-25,243732.8122634607
p70,2043,2043-08-26,247735.38066047337
p70,2045,2045-07-17,272202.8015753714
p70,2045,2045-07-20,276826.3649596828
p70,2045,2045-07-23,250778.40947382804
p70,2045,2045-07-24,274957.6036985707
p70,2045,2045-07-25,266744.26405756397
p70,2045,2045-08-02,264438.4211364292
p70,2045,2045-08-03,265829.7999946616
p70,2045,2045-08-04,266518.587999444
p70,2045,2045-08-09,263857.66015007586
p70,2046,2046-07-16,267560.36513801466
p70,2046,2046-07-17,277793.0492944541
p70,2046,2046-07-29,256070.62233955957
p70,2046,2046-07-30,292876.41915662616
p70,2046,2046-07-31,280663.92455158633
p70,2046,2046-08-01,284607.819671634
p70,2051,2051-07-19,322355.6628017077
p70,2051,2051-07-20,322230.7009582593
p70,2051,2051-08-01,314440.0764052461
p70,2051,2051-08-02,313253.8231387746
p70,2051,2051-08-23,289015.6055170523
p70,2051,2051-09-01,286146.5723757388
p70,2051,2051-09-02,262469.72601083055
p70,2052,2052-06-27,273912.5814945835
p70,2052,2052-06-28,301666.2226271691
p70,2052,2052-07-02,311866.26975770056
p70,2052,2052-07-03,320068.93638690293
p70,2052,2052-07-04,275376.09372662386
