rb,Year,Date,Load_sum
p69,2020,2020-07-07,190366.99076331584
p69,2020,2020-08-07,191921.5877848128
p69,2020,2020-08-19,193006.7162609237
p69,2020,2020-08-25,176100.706690431
p69,2020,2020-09-08,177755.58520462626
p69,2021,2021-07-12,192054.61610936062
p69,2021,2021-07-13,189257.10499816827
p69,2023,2023-08-16,200425.1285084532
p69,2023,2023-08-17,202639.20142082375
p69,2023,2023-08-18,208649.39822069876
p69,2023,2023-08-19,182111.57974242917
p69,2023,2023-09-08,169010.0134267014
p69,2023,2023-09-09,175000.05407012964
p69,2024,2024-08-27,186013.50626045602
p69,2024,2024-08-28,188604.03431511248
p69,2024,2024-08-29,182827.69611961316
p69,2024,2024-09-01,155156.00371149788
p69,2025,2025-09-02,187686.47074900393
p69,2025,2025-09-06,183454.98685499668
p69,2025,2025-09-07,187954.29028619148
p69,2025,2025-09-08,208193.8524989717
p69,2027,2027-07-24,192200.2448229963
p69,2027,2027-07-25,196585.4329897088
p69,2027,2027-07-26,213828.57998272972
p69,2027,2027-07-28,211033.71871903125
p69,2027,2027-07-29,210327.60690042772
p69,2027,2027-07-30,209881.0063342725
p69,2027,2027-07-31,194171.0378620285
p69,2027,2027-08-01,193895.86975554482
p69,2027,2027-08-02,218960.0643356535
p69,2027,2027-08-03,213074.35387279766
p69,2027,2027-08-06,189917.48986654956
p69,2027,2027-08-15,205938.72289883683
p69,2027,2027-08-21,179805.72285532363
p69,2027,2027-08-22,162207.66908277315
p69,2028,2028-06-19,174346.15019533262
p69,2028,2028-06-20,209711.176341692
p69,2028,2028-06-21,210931.29823544942
p69,2028,2028-06-22,206359.10913934646
p69,2028,2028-06-24,171863.16407817721
p69,2028,2028-06-25,182219.49692044558
p69,2028,2028-07-05,202116.12060716786
p69,2028,2028-07-06,211516.8299970313
p69,2028,2028-07-07,216467.39661367732
p69,2028,2028-07-13,208828.00916556938
p69,2028,2028-07-14,206896.20493065153
p69,2028,2028-07-15,195861.3964319092
p69,2028,2028-07-17,211445.22925251655
p69,2028,2028-07-27,193346.78340675193
p69,2028,2028-07-28,193780.39913477996
p69,2028,2028-07-29,178497.54772024867
p69,2028,2028-07-30,179497.43544277307
p69,2028,2028-07-31,198107.46641555027
p69,2028,2028-08-01,211027.491920244
p69,2028,2028-08-02,215800.28530089062
p69,2028,2028-08-03,215475.95048429465
p69,2028,2028-08-04,212007.90979026328
p69,2028,2028-08-06,173034.24532822808
p69,2028,2028-08-07,196200.60216799157
p69,2028,2028-08-08,207412.00132244322
p69,2028,2028-08-10,207123.3745902055
p69,2028,2028-08-11,213965.12847587155
p69,2028,2028-08-12,202166.2538381471
p69,2028,2028-08-13,201556.68055362563
p69,2028,2028-08-14,219881.21395453962
p69,2028,2028-08-15,209700.53993351274
p69,2028,2028-08-16,211932.77995783903
p69,2028,2028-08-17,219363.8449416923
p69,2028,2028-08-18,211131.2050682321
p69,2029,2029-07-06,209550.71672969213
p69,2029,2029-07-08,187697.73305279718
p69,2029,2029-07-09,212778.3055817381
p69,2029,2029-07-10,222251.76189983237
p69,2029,2029-07-11,223521.21542802404
p69,2029,2029-07-27,216065.29860907007
p69,2029,2029-08-04,210845.63499974858
p69,2029,2029-08-05,191259.53157109008
p69,2029,2029-08-22,216466.25038224272
