rb,Year,Date,Load_sum
p45,2051,2051-01-13,121557.78
p45,2051,2051-01-14,113963.04000000001
p45,2051,2051-01-15,114222.09
p45,2051,2051-01-19,121102.13
p45,2051,2051-01-20,121061.55
p45,2051,2051-01-21,113461.57
p45,2051,2051-01-22,113457.26000000001
p45,2051,2051-01-26,122107.49
p45,2051,2051-01-27,122648.82999999999
p45,2051,2051-01-28,114911.45
p45,2051,2051-01-31,121084.06
p45,2051,2051-02-01,119520.29000000001
p45,2052,2052-01-09,120019.24999999999
p45,2052,2052-01-10,120250.91
p45,2052,2052-01-11,119893.81
p45,2052,2052-01-12,120542.08
p45,2052,2052-01-13,113099.25
p45,2052,2052-01-15,107689.15999999999
p45,2052,2052-01-16,120151.4
p45,2052,2052-01-17,121046.57999999999
p45,2052,2052-01-18,121431.82999999999
p45,2052,2052-01-19,121365.31
p45,2052,2052-01-20,112893.69
p45,2052,2052-01-21,112535.36
p45,2052,2052-01-22,119974.72
p45,2052,2052-01-23,120838.87000000001
p45,2052,2052-01-24,121122.85999999999
p45,2052,2052-01-25,120400.4
p45,2052,2052-01-26,121872.73000000001
p45,2052,2052-01-27,114356.51999999999
p45,2052,2052-01-28,113075.59
p45,2052,2052-01-30,120617.31
p45,2052,2052-01-31,120647.73
p45,2052,2052-02-01,118440.90000000001
p45,2052,2052-02-02,119147.38
p45,2052,2052-02-03,111520.32
p45,2052,2052-02-04,110449.06
p45,2052,2052-02-08,118351.65000000001
p45,2052,2052-02-09,119222.54
p45,2052,2052-02-10,111305.44
p45,2053,2053-01-02,118550.78
p45,2053,2053-01-03,119324.61
p45,2053,2053-01-04,112716.25
p45,2053,2053-01-05,111776.53
p45,2053,2053-01-07,117779.61000000002
p45,2053,2053-01-08,118334.13
p45,2053,2053-01-09,119170.52000000002
p45,2053,2053-01-10,119456.92
p45,2053,2053-01-11,112331.62
p45,2053,2053-01-12,112601.35
p45,2053,2053-01-13,119313.61
p45,2053,2053-01-14,118926.23
p45,2053,2053-01-15,120397.01
p45,2053,2053-01-16,120559.03
p45,2053,2053-01-17,120823.01999999999
p45,2053,2053-01-18,112923.97999999998
p45,2053,2053-01-19,112413.43999999999
p45,2053,2053-01-20,107122.39
p45,2053,2053-01-21,119693.33
p45,2053,2053-01-22,118967.92
p45,2053,2053-01-23,118953.14000000001
p45,2053,2053-01-24,120438.48
p45,2053,2053-01-25,112752.93999999999
p45,2053,2053-01-26,112809.45
p45,2053,2053-01-27,120343.82
p45,2053,2053-01-28,121231.70000000001
p45,2053,2053-01-29,120790.48999999999
p45,2053,2053-01-30,120991.64
p45,2053,2053-01-31,120102.96
p45,2053,2053-02-01,110228.67
p45,2053,2053-02-02,109965.47
p45,2053,2053-02-03,117160.12
p45,2053,2053-02-04,117540.5
p45,2053,2053-02-05,118112.1
p45,2053,2053-02-06,117786.48999999999
p45,2053,2053-02-07,117584.05000000002
p45,2053,2053-02-08,110881.94
p45,2053,2053-02-09,110927.70000000001
p45,2053,2053-02-10,117439.74
p45,2053,2053-02-11,117162.82
p45,2053,2053-02-12,117757.23000000001
p45,2053,2053-02-13,118222.57
p45,2053,2053-02-14,118955.75999999998
p45,2053,2053-02-15,110284.85
p45,2053,2053-12-30,146410.85
p45,2053,2053-12-31,146874.45
p45,2054,2054-01-01,106069.54000000001
p45,2054,2054-01-02,117894.21
p45,2054,2054-01-03,110243.67
p45,2054,2054-01-04,110713.81
p45,2054,2054-01-05,117756.23
p45,2054,2054-01-06,118282.94
p45,2054,2054-01-07,118541.20999999999
p45,2054,2054-01-08,118530.03
p45,2054,2054-01-09,118841.9
p45,2054,2054-01-10,111336.73999999999
p45,2054,2054-01-11,111355.98
p45,2054,2054-01-12,118853.45
p45,2054,2054-01-13,119094.57
p45,2054,2054-01-14,118622.68000000001
p45,2054,2054-01-15,120065.22
p45,2054,2054-01-16,120290.34
p45,2054,2054-01-17,111547.33
p45,2054,2054-01-18,110826.89
p45,2054,2054-01-19,106366.16
p45,2054,2054-01-20,118648.85
p45,2054,2054-01-21,118757.02000000002
p45,2054,2054-01-22,119853.81999999999
p45,2054,2054-01-23,120939.55
p45,2054,2054-01-24,113001.72
p45,2054,2054-01-25,111781.15
p45,2054,2054-01-26,118824.23999999999
p45,2054,2054-01-27,118766.89000000001
p45,2054,2054-01-28,119840.36
p45,2054,2054-01-29,120351.52
p45,2054,2054-01-30,121387.09
p45,2054,2054-01-31,112855.77
p45,2054,2054-02-01,110051.81
p45,2054,2054-02-02,116157.62
p45,2054,2054-02-03,116850.48000000001
p45,2054,2054-02-04,117428.33
p45,2054,2054-02-05,117836.61
p45,2054,2054-02-06,117550.01
p45,2054,2054-02-07,109832.85
p45,2054,2054-02-08,110383.39
p45,2054,2054-02-09,117455.11
p45,2054,2054-02-10,116190.37
p45,2054,2054-02-11,115934.28
p45,2054,2054-02-12,117443.27
p45,2054,2054-02-13,117589.06
p45,2054,2054-02-14,110529.72
p45,2054,2054-02-15,110606.94
p45,2054,2054-02-16,107153.81
p45,2054,2054-02-17,116839.47
p45,2054,2054-02-18,117348.11000000002
p45,2054,2054-12-24,145306.08
p45,2054,2054-12-25,113782.79999999999
p45,2054,2054-12-26,131526.36000000002
p45,2054,2054-12-29,145426.36
p45,2054,2054-12-30,145893.48
p45,2054,2054-12-31,146971.59000000003
p45,2055,2055-01-01,106056.73
p45,2055,2055-01-02,110925.11
p45,2055,2055-01-03,109765.26000000001
p45,2055,2055-01-04,116612.79000000001
p45,2055,2055-01-05,117360.18
p45,2055,2055-01-06,118094.90999999999
p45,2055,2055-01-07,118131.40000000001
p45,2055,2055-01-08,118182.65999999999
p45,2055,2055-01-09,110811.98000000001
p45,2055,2055-01-10,110465.24
p45,2055,2055-01-11,117505.94
p45,2055,2055-01-12,117387.77
p45,2055,2055-01-13,117596.14
p45,2055,2055-01-14,118182.49
p45,2055,2055-01-15,119336.75000000001
p45,2055,2055-01-16,111426.06999999999
p45,2055,2055-01-17,111738.87
p45,2055,2055-01-18,106617.15
p45,2055,2055-01-19,119104.34
p45,2055,2055-01-20,118567.57999999999
p45,2055,2055-01-21,118094.56999999999
p45,2055,2055-01-22,118133.97
p45,2055,2055-01-23,111585.97
p45,2055,2055-01-24,112021.41
p45,2055,2055-01-25,118701.87
p45,2055,2055-01-26,119492.34
p45,2055,2055-01-27,119299.77
p45,2055,2055-01-28,119485.86
p45,2055,2055-01-29,119883.62000000001
p45,2055,2055-01-30,113157.25
p45,2055,2055-01-31,111917.25
p45,2055,2055-02-01,116169.34
p45,2055,2055-02-02,115935.62999999999
p45,2055,2055-02-03,116985.48999999999
p45,2055,2055-02-04,117196.11000000002
p45,2055,2055-02-05,116416.33
p45,2055,2055-02-06,109010.81
p45,2055,2055-02-07,109204.35
p45,2055,2055-02-08,116177.34
p45,2055,2055-02-09,116590.43000000001
p45,2055,2055-02-10,117341.53
p45,2055,2055-02-11,117717.56999999998
p45,2055,2055-02-12,117816.93999999999
p45,2055,2055-02-13,110017.32999999999
p45,2055,2055-02-14,109661.67000000001
p45,2055,2055-02-15,104762.85
p45,2055,2055-02-16,116663.29
p45,2055,2055-02-17,116825.02
p45,2055,2055-02-18,117803.36
p45,2055,2055-02-19,117610.35
p45,2055,2055-02-20,108674.89000000001
p45,2055,2055-02-21,109114.06
p45,2055,2055-12-24,113040.20999999999
p45,2055,2055-12-25,115387.37000000001
p45,2055,2055-12-26,131187.9
p45,2055,2055-12-27,145292.63
p45,2055,2055-12-28,145566.19
p45,2055,2055-12-29,146118.45
p45,2055,2055-12-30,145945.71
p45,2055,2055-12-31,114000.01000000001
p45,2056,2056-01-01,102874.9
p45,2056,2056-01-02,109951.99
p45,2056,2056-01-03,115582.35
p45,2056,2056-01-04,116130.18999999999
p45,2056,2056-01-05,117273.86
p45,2056,2056-01-06,117741.36
p45,2056,2056-01-07,116542.26
p45,2056,2056-01-08,109195.23000000001
p45,2056,2056-01-09,109826.20999999999
p45,2056,2056-01-10,116004.04000000001
p45,2056,2056-01-11,116393.61
p45,2056,2056-01-12,118530.13
p45,2056,2056-01-13,119490.95
p45,2056,2056-01-14,118607.18000000001
p45,2056,2056-01-15,111329.04999999999
p45,2056,2056-01-16,110233.5
p45,2056,2056-01-17,104309.65
p45,2056,2056-01-18,117524.29000000001
p45,2056,2056-01-19,118924.79999999999
p45,2056,2056-01-20,118841.56000000001
p45,2056,2056-01-21,118653.70000000001
p45,2056,2056-01-22,110767.5
p45,2056,2056-01-23,110633.02
p45,2056,2056-01-24,118104.16
p45,2056,2056-01-25,118407.22
p45,2056,2056-01-26,119424.89
p45,2056,2056-01-27,118941.09
p45,2056,2056-01-28,118969.64
p45,2056,2056-01-29,111925.61
p45,2056,2056-01-30,112237.47
p45,2056,2056-01-31,116950.19
p45,2056,2056-02-01,114886.02
p45,2056,2056-02-02,115922.94
p45,2056,2056-02-03,116318.33
p45,2056,2056-02-04,116144.88
p45,2056,2056-02-05,110080.76000000001
p45,2056,2056-02-06,110027.68000000001
p45,2056,2056-02-07,115676.58
p45,2056,2056-02-08,115981.92
p45,2056,2056-02-09,116286.76999999999
p45,2056,2056-02-10,115840.53
p45,2056,2056-02-11,116247.2
p45,2056,2056-02-12,110309.48999999999
p45,2056,2056-02-13,109945.12
p45,2056,2056-02-14,116394.54999999999
p45,2056,2056-02-15,116066.91
p45,2056,2056-02-16,116627.04000000001
p45,2056,2056-02-17,116385.29999999999
p45,2056,2056-02-18,117463.57
p45,2056,2056-02-19,110242.65000000001
p45,2056,2056-02-20,108052.84
p45,2056,2056-02-21,103694.63
p45,2056,2056-02-22,116133.54000000001
p45,2056,2056-02-23,115737.94
p45,2056,2056-02-24,114136.32999999999
p45,2056,2056-12-20,143638.69
p45,2056,2056-12-21,144493.12
p45,2056,2056-12-22,144932.3
p45,2056,2056-12-23,131023.4
