rb,Year,Date,Load_sum
p45,2022,2022-01-10,161167.85
p45,2022,2022-01-16,144475.54
p45,2022,2022-01-17,147189.69999999998
p45,2022,2022-02-06,139715.44
p45,2023,2023-12-19,160012.94999999998
p45,2023,2023-12-22,157206.62
p45,2023,2023-12-23,148705.65
p45,2023,2023-12-24,153837.81
p45,2023,2023-12-25,127053.69
p45,2024,2024-01-20,143777.44
p45,2025,2025-01-20,145200.64
p45,2036,2036-01-31,159056.45
p45,2036,2036-02-01,152859.41
p45,2036,2036-02-02,147802.28
p45,2036,2036-02-03,148162.9
p45,2036,2036-02-04,154593.47999999998
p45,2049,2049-01-15,157967.61000000002
p45,2059,2059-01-30,158985.58000000002
p45,2062,2062-01-10,155739.49
p45,2062,2062-01-17,153588.03999999998
p45,2063,2063-12-24,164315.16
p45,2076,2076-02-02,144273.0
p45,2076,2076-02-03,156758.06
