rb,Year,Date,Load_sum
p52,2021,2021-02-11,123916.21
p52,2022,2022-01-10,136330.09999999998
p52,2022,2022-02-06,113224.16
p52,2023,2023-12-22,140611.06
p52,2023,2023-12-24,139951.69
p52,2023,2023-12-25,128273.23999999999
p52,2023,2023-12-29,138931.72
p52,2023,2023-12-30,126255.88
p52,2025,2025-01-20,129190.82
p52,2029,2029-12-22,136754.93000000002
p52,2029,2029-12-23,133717.47
p52,2030,2030-12-22,131293.16
p52,2036,2036-02-02,119400.59999999999
p52,2036,2036-02-03,118002.18
p52,2062,2062-01-10,132982.75
p52,2063,2063-12-22,128394.33
p52,2063,2063-12-24,147937.25999999998
p52,2063,2063-12-25,124629.55
p52,2063,2063-12-29,125798.31
p52,2069,2069-12-22,133765.26
p52,2069,2069-12-23,138972.0
p52,2070,2070-12-22,139598.33
p52,2076,2076-02-02,116933.9
p52,2076,2076-02-03,127091.93000000001
