rb,Year,Date,Load_sum
p52,2020,2020-01-31,131044.28332572908
p52,2021,2021-02-11,128991.28843464212
p52,2022,2022-01-10,143562.19154945744
p52,2022,2022-01-11,134833.8138118205
p52,2022,2022-02-04,130690.22125203042
p52,2022,2022-02-06,118592.30091832334
p52,2023,2023-12-19,146339.04111507128
p52,2023,2023-12-22,149381.89226499834
p52,2023,2023-12-23,137722.80793400994
p52,2023,2023-12-24,148149.43762117837
p52,2023,2023-12-25,136614.7864611705
p52,2023,2023-12-29,147985.1109103935
p52,2023,2023-12-30,134784.69330250134
p52,2024,2024-01-18,129277.60493336021
p52,2024,2024-01-19,132785.06556546068
p52,2025,2025-01-12,122062.90657942664
p52,2025,2025-01-20,136215.66109003883
p52,2025,2025-01-31,137928.5430138486
p52,2025,2025-02-01,119531.06904858314
p52,2025,2025-12-02,142816.01737506103
p52,2029,2029-02-03,124798.67786420647
p52,2029,2029-02-04,124974.70511274731
p52,2029,2029-12-15,131943.27350378726
p52,2029,2029-12-16,131652.25985157717
p52,2029,2029-12-21,148979.1133629978
p52,2029,2029-12-22,147808.52114344385
p52,2029,2029-12-23,145248.06125225994
p52,2030,2030-12-22,141462.77958110016
p52,2030,2030-12-23,144170.05250278953
p52,2030,2030-12-30,152051.43720287876
p52,2033,2033-02-18,132896.14426904285
p52,2034,2034-02-09,139948.56913799373
p52,2036,2036-01-19,127733.76545139379
p52,2036,2036-01-30,141480.03236742577
p52,2036,2036-02-02,132292.48731097672
p52,2036,2036-02-03,130321.89301751753
p52,2036,2036-02-04,134721.34826425443
p52,2041,2041-02-10,127929.81979602347
p52,2050,2050-01-08,136721.28281717584
p52,2051,2051-02-03,143391.96492761647
p52,2051,2051-02-10,140747.92056195464
p52,2054,2054-01-06,148057.0763380959
p52,2054,2054-02-06,146816.63646104204
p52,2056,2056-12-18,150409.61780287424
p52,2061,2061-02-11,147784.37193698031
p52,2062,2062-01-10,160489.4856524709
p52,2062,2062-02-06,147894.08938755363
p52,2063,2063-12-22,155725.72207551665
p52,2063,2063-12-24,179628.9982460784
p52,2063,2063-12-25,150080.67399794652
p52,2063,2063-12-29,150673.73445297003
p52,2063,2063-12-30,147741.97472808196
p52,2069,2069-12-22,166078.15975771335
p52,2069,2069-12-23,173174.85647415873
p52,2070,2070-12-22,175753.8548544776
p52,2070,2070-12-23,166793.60687320866
p52,2070,2070-12-30,174338.5542125904
p52,2076,2076-02-02,149814.35473185315
p52,2076,2076-02-03,163125.3025531454
