rb,Year,Date,Load_sum
p108,2020,2020-07-02,328134.24
p108,2020,2020-07-08,333346.37999999995
p108,2020,2020-07-09,339450.28
p108,2020,2020-07-10,333968.28
p108,2020,2020-07-15,331062.26999999996
p108,2020,2020-07-16,340833.19
p108,2020,2020-07-17,330830.58
p108,2020,2020-07-19,293638.32999999996
p108,2020,2020-07-20,333439.15
p108,2020,2020-07-31,327766.53
p108,2020,2020-08-01,296068.14999999997
p108,2020,2020-08-02,287977.64999999997
p108,2020,2020-08-07,311862.18
p108,2020,2020-08-08,286795.5
p108,2020,2020-08-09,295770.02
p108,2020,2020-08-10,329176.5
p108,2020,2020-08-11,324987.08
p108,2020,2020-08-20,331307.70000000007
p108,2020,2020-08-21,330281.13
p108,2020,2020-08-27,314139.15
p108,2020,2020-08-28,314235.56
p108,2020,2020-09-09,302300.71
p108,2023,2023-07-21,341602.63
p108,2023,2023-07-22,312306.1
p108,2023,2023-07-23,308560.55000000005
p108,2023,2023-08-19,301262.20999999996
p108,2023,2023-08-20,305661.8
p108,2023,2023-08-21,343104.43000000005
p108,2023,2023-08-22,344010.31999999995
p108,2026,2026-07-17,332827.93
p108,2026,2026-07-18,303504.16
p108,2026,2026-07-19,304014.27999999997
p108,2026,2026-07-20,335228.77
p108,2026,2026-07-25,297447.13
p108,2026,2026-07-26,307653.02999999997
p108,2027,2027-07-21,332099.85000000003
p108,2027,2027-08-03,345783.49
p108,2027,2027-08-08,287466.92
p108,2027,2027-08-21,270994.11
p108,2027,2027-08-22,267375.61
p108,2027,2027-08-26,296932.89
p108,2028,2028-06-21,318824.0
p108,2028,2028-06-22,323196.65
p108,2028,2028-06-23,321713.51
p108,2028,2028-06-25,290126.87
p108,2028,2028-06-26,321765.60000000003
p108,2028,2028-07-07,320487.62
p108,2028,2028-07-08,298242.55
p108,2028,2028-07-09,292520.32
p108,2028,2028-07-14,320335.96
p108,2028,2028-07-15,296735.11000000004
p108,2028,2028-07-16,306067.23
p108,2028,2028-07-17,336337.50999999995
p108,2028,2028-07-29,294122.55
p108,2028,2028-07-31,318414.4
p108,2028,2028-08-01,322194.19
p108,2028,2028-08-02,327308.87
p108,2028,2028-08-03,335927.42
p108,2028,2028-08-04,332407.34
p108,2028,2028-08-07,318705.48
p108,2028,2028-08-08,313877.12
p108,2028,2028-08-09,319769.88
p108,2028,2028-08-10,327812.82999999996
p108,2028,2028-08-11,332167.94
p108,2028,2028-08-12,306434.74
p108,2028,2028-08-13,305040.38
p108,2028,2028-08-14,336399.26
p108,2028,2028-08-15,344128.94999999995
p108,2028,2028-08-16,331582.63
p108,2028,2028-08-17,323612.7899999999
p108,2028,2028-08-18,325840.7
p108,2028,2028-08-19,281285.81
p108,2028,2028-08-27,248264.28
p108,2030,2030-07-09,339564.26
p108,2030,2030-07-10,336880.09
p108,2030,2030-08-21,324463.57000000007
p108,2030,2030-08-26,327462.06999999995
p108,2030,2030-08-27,335996.66
p108,2030,2030-08-28,339221.19
p108,2030,2030-08-29,325049.14
p108,2030,2030-09-02,279397.42
p108,2030,2030-09-05,310369.27
p108,2030,2030-09-06,319866.5
p108,2030,2030-09-07,289114.59
p108,2031,2031-08-02,293960.42000000004
p108,2031,2031-09-15,311419.39
p108,2033,2033-07-25,336674.48000000004
p108,2033,2033-07-26,338989.61
p108,2033,2033-07-27,331859.01
p108,2033,2033-07-28,336062.91000000003
p108,2033,2033-08-17,329040.11
p108,2033,2033-08-19,325620.31000000006
p108,2033,2033-08-20,295022.65
p108,2033,2033-08-25,334375.92
p108,2033,2033-08-26,338561.81
p108,2033,2033-08-27,308805.45999999996
p108,2033,2033-08-28,300195.26
p108,2033,2033-08-29,324796.42000000004
p108,2033,2033-08-30,329587.63
p108,2033,2033-08-31,333465.91000000003
p108,2035,2035-07-13,334510.76
p108,2035,2035-07-14,309051.47
p108,2035,2035-08-14,341434.67
p108,2035,2035-08-16,347189.61
p108,2035,2035-08-17,346132.86000000004
p108,2035,2035-08-18,316288.24
p108,2035,2035-08-31,330065.84
p108,2037,2037-07-27,336141.07999999996
p108,2038,2038-07-19,321996.63
p108,2038,2038-07-21,325971.34
p108,2038,2038-08-25,321617.60000000003
p108,2038,2038-09-05,261711.19999999998
p108,2038,2038-09-06,268948.01999999996
p108,2038,2038-09-07,295949.33
p108,2038,2038-09-14,293372.8
p108,2038,2038-09-27,296261.35
p108,2039,2039-07-04,275697.41000000003
p108,2039,2039-07-19,326861.37
p108,2039,2039-07-22,338092.26
p108,2039,2039-07-23,309613.01
p108,2039,2039-07-25,337055.25
p108,2039,2039-07-26,328213.04
p108,2039,2039-07-29,339415.52
p108,2039,2039-07-30,314987.4
p108,2039,2039-07-31,310807.44
p108,2039,2039-08-07,281341.37
p108,2039,2039-08-11,313667.91000000003
p108,2039,2039-08-12,324260.57
p108,2039,2039-08-13,298187.44
p108,2039,2039-08-17,310711.69
p108,2039,2039-08-19,305897.80000000005
p108,2039,2039-08-28,283092.07
p108,2039,2039-08-29,309412.42
p108,2039,2039-09-02,286253.86
p108,2039,2039-09-03,259019.77000000002
p108,2039,2039-09-04,265668.96
p108,2039,2039-09-05,269885.87
p108,2039,2039-09-08,282656.16
p108,2040,2040-08-06,306113.22000000003
p108,2040,2040-08-07,324990.82000000007
p108,2040,2040-08-09,321607.3
p108,2040,2040-08-15,305912.25
p108,2040,2040-08-16,307422.19000000006
p108,2040,2040-08-17,303450.81
p108,2040,2040-08-26,267325.42000000004
p108,2040,2040-08-28,307990.76
p108,2040,2040-08-29,312728.75
p108,2040,2040-08-30,317352.50999999995
p108,2040,2040-08-31,320680.29
p108,2041,2041-07-23,330416.85000000003
p108,2041,2041-07-24,336054.60000000003
p108,2041,2041-07-31,329008.23
p108,2041,2041-08-01,330900.51000000007
p108,2041,2041-08-06,332314.05
p108,2041,2041-08-07,337048.39999999997
p108,2041,2041-08-23,305110.06
p108,2041,2041-09-06,308761.89
p108,2042,2042-08-01,327656.55
p108,2042,2042-08-02,300492.92000000004
p108,2042,2042-08-03,308634.3
p108,2042,2042-08-04,344096.08999999997
p108,2042,2042-08-05,339775.72
p108,2042,2042-08-21,312075.73
p108,2042,2042-08-22,328356.76999999996
p108,2042,2042-08-23,296958.55
p108,2042,2042-09-03,317822.57
p108,2042,2042-09-07,271182.27
p108,2042,2042-09-08,309724.1
p108,2042,2042-09-09,310304.61
p108,2042,2042-09-10,300863.18
p108,2045,2045-07-22,303248.81
p108,2045,2045-07-25,331167.33
p108,2045,2045-08-11,328146.91
p108,2045,2045-08-12,297313.19999999995
p108,2045,2045-08-19,301280.11
p108,2045,2045-08-20,300200.74
p108,2046,2046-06-22,321766.04
p108,2046,2046-07-16,329742.8
p108,2046,2046-07-17,332937.25
p108,2046,2046-07-18,332571.29
p108,2046,2046-07-19,337862.94
p108,2046,2046-07-20,334365.33
p108,2046,2046-07-21,305693.36
p108,2046,2046-07-26,315768.57000000007
p108,2046,2046-07-31,334696.83
p108,2046,2046-08-01,341191.54
p108,2046,2046-08-02,342135.39
p108,2046,2046-08-03,337638.52999999997
p108,2046,2046-08-07,338320.63
p108,2046,2046-08-14,316235.79000000004
p108,2046,2046-08-17,304155.93000000005
p108,2046,2046-08-18,288200.1
p108,2046,2046-08-19,289111.95
p108,2046,2046-08-25,278306.31
p108,2047,2047-07-19,325305.92000000004
p108,2047,2047-08-01,322899.05
p108,2047,2047-08-02,328980.30000000005
p108,2047,2047-08-03,296779.79
p108,2047,2047-08-04,291478.28
p108,2047,2047-08-07,337966.75000000006
p108,2047,2047-08-08,347322.91000000003
p108,2047,2047-08-09,341361.44
p108,2047,2047-08-10,299757.28
p108,2047,2047-08-11,288992.69
p108,2047,2047-08-12,324596.92
p108,2047,2047-08-13,334011.19999999995
p108,2047,2047-08-14,302390.26999999996
p108,2047,2047-08-15,309547.95
p108,2047,2047-08-16,329033.47000000003
p108,2047,2047-08-17,295871.14
p108,2047,2047-08-20,319519.49
p108,2047,2047-08-22,336213.93
p108,2047,2047-08-23,342993.7
p108,2047,2047-08-24,289877.02999999997
p108,2047,2047-08-25,287607.43
p108,2047,2047-08-27,300885.58
p108,2047,2047-08-28,324751.89999999997
p108,2047,2047-08-29,331283.61999999994
p108,2047,2047-09-03,314504.88
p108,2047,2047-09-04,303456.98
p108,2047,2047-09-07,273792.14
p108,2047,2047-09-23,312268.3
p108,2047,2047-09-24,315479.1
p108,2048,2048-07-20,319429.69
p108,2048,2048-07-21,330567.49
p108,2048,2048-07-22,322654.7
p108,2048,2048-08-31,314630.35000000003
p108,2048,2048-09-01,328821.17
p108,2048,2048-09-02,326737.67
p108,2048,2048-09-13,285643.6
p108,2050,2050-06-21,328663.77999999997
p108,2050,2050-06-22,324593.05
p108,2050,2050-06-23,326118.45
p108,2050,2050-07-07,324473.95
p108,2050,2050-07-15,329956.75
p108,2050,2050-07-16,304727.51999999996
p108,2050,2050-07-19,327978.43
p108,2050,2050-07-23,299141.66
p108,2050,2050-07-24,299520.78
p108,2050,2050-07-25,328065.51
p108,2050,2050-07-29,330904.44999999995
p108,2050,2050-08-03,336879.45999999996
p108,2050,2050-08-04,345879.83999999997
p108,2050,2050-08-05,328908.72
p108,2050,2050-08-09,329522.26
p108,2050,2050-08-10,344174.15
p108,2050,2050-08-11,347529.42000000004
p108,2050,2050-08-12,342280.71
p108,2050,2050-08-13,312549.13
p108,2050,2050-08-14,308609.88
p108,2050,2050-08-15,342547.88
p108,2050,2050-08-20,299916.84
p108,2050,2050-08-28,257516.14999999997
p108,2050,2050-08-31,310815.76
p108,2050,2050-09-01,299560.27
p108,2050,2050-09-02,294033.95
p108,2050,2050-09-21,305983.01
p108,2050,2050-09-22,300163.93
p108,2050,2050-09-23,305861.19
p108,2051,2051-07-10,323590.84
p108,2051,2051-07-11,337311.51
p108,2051,2051-07-12,338984.71
p108,2051,2051-07-20,341232.36
p108,2051,2051-07-21,350377.43
p108,2051,2051-07-22,315812.62999999995
p108,2051,2051-07-26,336089.32
p108,2051,2051-07-27,328431.84
p108,2051,2051-07-28,333828.79
p108,2051,2051-08-01,342712.20999999996
p108,2051,2051-08-02,343500.05999999994
p108,2051,2051-08-03,340248.62
