rb,Year,Date,Load_sum
p109,2020,2020-07-02,271791.55787046393
p109,2020,2020-07-05,246230.42183803482
p109,2020,2020-07-08,276393.8235627888
p109,2020,2020-07-09,282402.9611735024
p109,2020,2020-07-10,277741.4102428863
p109,2020,2020-07-15,275923.1809121502
p109,2020,2020-07-16,285512.34711242316
p109,2020,2020-07-19,244526.09284996724
p109,2020,2020-07-20,277292.5666759276
p109,2020,2020-07-31,268871.2356343389
p109,2020,2020-08-01,246198.93997471826
p109,2020,2020-08-07,262680.0267368568
p109,2020,2020-08-08,239294.92239723649
p109,2020,2020-08-09,245515.42585124777
p109,2020,2020-08-10,274912.91421520617
p109,2020,2020-08-11,273917.2660255998
p109,2020,2020-08-20,275871.5695951417
p109,2020,2020-08-21,272360.35706707137
p109,2020,2020-08-27,260408.62131760787
p109,2020,2020-09-13,222144.16487021052
p109,2023,2023-07-21,269015.6224305282
p109,2023,2023-07-22,246292.6635501468
p109,2023,2023-07-23,243021.79751458397
p109,2023,2023-08-19,236770.42296060987
p109,2023,2023-08-20,242545.5779952741
p109,2023,2023-08-22,271020.5311297419
p109,2026,2026-07-08,247946.39328037776
p109,2026,2026-07-17,247588.70560797403
p109,2026,2026-07-18,226694.80221432276
p109,2026,2026-07-19,227682.3523349444
p109,2026,2026-07-20,251817.85889720297
p109,2026,2026-07-24,241716.0617246924
p109,2026,2026-07-25,229484.27195804418
p109,2026,2026-07-26,232339.05267812184
p109,2026,2026-07-28,249753.8647056641
p109,2027,2027-07-21,245017.0126305362
p109,2027,2027-08-02,252313.4548008279
p109,2027,2027-08-03,256394.7297079536
p109,2027,2027-08-08,216488.16351099836
p109,2027,2027-08-21,201158.11455074896
p109,2027,2027-08-22,199124.56203246024
p109,2028,2028-06-21,231165.4283974909
p109,2028,2028-06-22,234638.8957527419
p109,2028,2028-06-23,230888.3171632253
p109,2028,2028-06-25,209563.94776614962
p109,2028,2028-07-07,232606.69177886198
p109,2028,2028-07-08,218130.47925526032
p109,2028,2028-07-09,213852.59160287803
p109,2028,2028-07-14,234351.95708057404
p109,2028,2028-07-15,217940.16397669713
p109,2028,2028-07-16,224754.73413619702
p109,2028,2028-07-17,240919.18094589838
p109,2028,2028-07-18,242671.99767510197
p109,2028,2028-07-29,214212.46947805895
p109,2028,2028-07-31,231623.9237518296
p109,2028,2028-08-01,230309.98355578657
p109,2028,2028-08-02,235784.09782427934
p109,2028,2028-08-03,245101.36840924434
p109,2028,2028-08-07,231665.99459445788
p109,2028,2028-08-08,224539.0414079434
p109,2028,2028-08-09,231312.1860194871
p109,2028,2028-08-10,235631.85862142593
p109,2028,2028-08-14,245643.43816749819
p109,2028,2028-08-15,247749.61873168702
p109,2028,2028-08-16,237834.06100875617
p109,2028,2028-08-17,235893.36867144518
p109,2028,2028-08-18,237508.63434628453
p109,2028,2028-08-19,204515.29674210073
p109,2030,2030-07-05,230551.67719917526
p109,2030,2030-07-09,237391.2238590773
p109,2030,2030-07-10,237035.47779170127
p109,2030,2030-08-19,231663.72914092496
p109,2030,2030-08-27,233056.13270120506
p109,2030,2030-08-28,236229.08989546943
p109,2030,2030-08-29,227519.41570056195
p109,2030,2030-09-02,193867.26466904773
p109,2030,2030-09-05,216485.87120231192
p109,2030,2030-09-06,224873.96464722825
p109,2030,2030-09-07,203253.9382108216
p109,2031,2031-07-22,229678.85419577552
