rb,Year,Date,Load_sum
p86,2020,2020-07-15,353026.7904830499
p86,2021,2021-07-24,336435.9738914516
p86,2026,2026-07-28,368692.5034723361
p86,2026,2026-07-29,379720.2622258639
p86,2026,2026-07-30,385518.9220316146
p86,2030,2030-08-20,389017.899360964
p86,2030,2030-08-21,389286.85551180365
p86,2030,2030-08-22,381976.52396778425
p86,2030,2030-08-24,363470.36239355063
p86,2030,2030-08-25,369608.4933958161
p86,2030,2030-08-26,385657.9218978327
p86,2030,2030-08-28,380486.1923905278
p86,2030,2030-08-29,386992.2868435139
p86,2030,2030-08-30,386892.0525331475
p86,2030,2030-09-04,366991.79861702246
p86,2030,2030-09-05,366998.7691220445
p86,2035,2035-07-28,396004.4236625922
p86,2035,2035-08-17,416968.9822634881
p86,2035,2035-08-18,401203.5464003539
p86,2036,2036-07-22,414392.4115382885
p86,2038,2038-07-06,422321.8386022185
p86,2038,2038-07-07,431089.90057245013
p86,2038,2038-07-16,423180.47257998784
p86,2038,2038-07-28,406388.004567462
p86,2038,2038-07-29,420194.80118741177
p86,2038,2038-07-30,421027.7312767427
p86,2038,2038-07-31,403167.0290476866
p86,2038,2038-08-01,403205.3721553342
p86,2038,2038-08-02,422689.55295177014
p86,2038,2038-08-10,420375.2614465436
p86,2038,2038-08-26,414287.73243217054
p86,2038,2038-08-27,421623.93344402843
p86,2038,2038-08-28,405005.731118736
p86,2038,2038-08-29,403353.6141185444
p86,2039,2039-08-19,429860.13836223085
p86,2039,2039-08-20,401246.9692726927
p86,2040,2040-07-08,413588.6255962522
p86,2040,2040-07-11,430223.9889163698
p86,2040,2040-07-12,429260.1867966744
p86,2040,2040-07-14,419020.3040500984
p86,2040,2040-07-15,419104.39223244996
p86,2040,2040-07-16,446217.48492407706
p86,2040,2040-07-17,440935.52968626475
p86,2040,2040-07-18,422576.2043659524
p86,2040,2040-07-19,434257.63976637064
p86,2040,2040-07-20,441370.35834624246
p86,2040,2040-08-06,424696.44626723276
p86,2040,2040-08-10,422627.38194466534
p86,2040,2040-08-16,424344.14188021724
p86,2040,2040-08-17,433033.425552384
p86,2040,2040-08-18,405828.4419044524
p86,2040,2040-08-19,401895.27191298315
p86,2040,2040-08-20,427105.47998122626
p86,2040,2040-08-21,418575.84070554416
p86,2040,2040-08-26,407587.4274938079
p86,2040,2040-08-29,434449.8674815273
p86,2040,2040-08-30,438835.5607958032
p86,2040,2040-08-31,446974.9849332495
p86,2040,2040-09-01,410199.4698547295
p86,2040,2040-09-02,408125.2358232055
p86,2040,2040-09-03,399947.45200553606
p86,2040,2040-09-04,433865.4245354815
p86,2045,2045-08-21,458194.57928530726
p86,2045,2045-08-22,453616.0034510601
p86,2045,2045-08-23,454061.26011163316
p86,2046,2046-08-14,459991.3254293221
p86,2046,2046-08-15,460732.5629431889
p86,2046,2046-08-16,461573.12654955033
p86,2046,2046-08-17,456935.55478271015
p86,2047,2047-08-11,433987.8966092384
p86,2047,2047-08-12,470669.8638942381
p86,2047,2047-08-13,477591.6099076781
p86,2047,2047-08-14,475575.737368706
p86,2048,2048-07-28,467433.37441241695
p86,2048,2048-07-29,471084.72106277035
p86,2048,2048-08-02,438882.3068118817
p86,2048,2048-08-03,478117.9688479683
p86,2049,2049-06-24,469192.745588753
p86,2049,2049-06-28,467343.08072553633
p86,2049,2049-07-03,454987.88571477425
p86,2050,2050-07-30,448420.6343067034
p86,2050,2050-07-31,462575.64844698354
p86,2050,2050-08-01,491746.1619510185
p86,2050,2050-08-02,496185.38604416046
p86,2050,2050-08-03,491056.3911020226
p86,2050,2050-08-04,488721.6549284862
p86,2050,2050-08-11,489206.4202222362
p86,2050,2050-08-21,449127.0994431309
p86,2051,2051-06-04,448565.26727552165
p86,2051,2051-06-13,465976.07043766393
p86,2051,2051-06-14,469542.3199345778
p86,2051,2051-06-18,451080.13819920155
p86,2051,2051-06-19,423799.98379562586
p86,2051,2051-06-30,475478.76869551576
p86,2051,2051-07-01,466954.92417840305
p86,2051,2051-07-02,468687.0655261908
p86,2051,2051-07-03,489410.83425469254
p86,2051,2051-07-04,437777.64157491265
p86,2051,2051-07-10,489315.64070328954
p86,2051,2051-07-11,486969.92474082217
p86,2051,2051-07-12,486597.3284695593
p86,2051,2051-08-01,488790.58682561887
p86,2051,2051-08-02,498170.7344109786
p86,2051,2051-08-03,499836.6142714195
p86,2051,2051-08-04,504148.5467276895
p86,2051,2051-08-05,480295.9853087731
p86,2051,2051-08-06,471514.33113583154
p86,2051,2051-08-10,492892.1690512711
p86,2051,2051-08-11,490000.7154118506
p86,2051,2051-08-14,474200.0547841033
p86,2051,2051-08-15,476102.46595872205
p86,2051,2051-08-16,473239.12984792114
p86,2051,2051-08-17,480903.38672568364
p86,2051,2051-08-18,495565.26708238636
p86,2051,2051-08-19,464323.22200671607
p86,2051,2051-08-20,468984.06674221274
p86,2051,2051-08-21,488813.8342128443
p86,2051,2051-08-22,494846.8226086119
p86,2051,2051-08-23,496721.1195060029
p86,2051,2051-08-24,490719.57675326604
p86,2051,2051-08-25,482458.0663088857
p86,2051,2051-08-26,461142.5706559756
p86,2051,2051-08-27,447130.3021207069
p86,2051,2051-08-28,463266.7436191613
p86,2051,2051-08-29,467171.2666255062
p86,2051,2051-08-30,474230.93463070004
p86,2051,2051-08-31,474615.84812233836
p86,2052,2052-06-25,485371.55696163327
p86,2052,2052-06-26,492196.09749543265
p86,2055,2055-08-07,483101.0975427738
p86,2055,2055-08-08,485492.3913136904
p86,2055,2055-08-09,515645.0671606674
p86,2055,2055-08-10,518173.86017455766
p86,2055,2055-08-11,511882.64724003157
p86,2058,2058-07-19,508453.2741279478
p86,2058,2058-07-20,503887.73199087
p86,2058,2058-07-21,512879.0960236066
p86,2058,2058-07-22,538862.8856846906
p86,2060,2060-06-26,508491.5591829743
p86,2060,2060-07-01,548828.4224043076
p86,2060,2060-07-02,551944.6132936345
p86,2060,2060-07-09,543054.8856522392
p86,2060,2060-07-11,519469.2754575262
p86,2060,2060-07-12,553445.3847936669
p86,2060,2060-07-13,554419.7643315042
p86,2060,2060-07-14,557532.9242034114
p86,2060,2060-07-15,562364.6092032352
p86,2060,2060-07-16,567175.5716812427
p86,2060,2060-07-17,529599.09425647
p86,2060,2060-07-19,533285.5665508169
p86,2060,2060-07-30,535987.8939033308
p86,2060,2060-08-08,511090.30506042065
