rb,Year,Date,Load_sum
p86,2020,2020-03-02,282480.37
p86,2022,2022-01-10,268830.81
p86,2022,2022-01-11,346430.53
p86,2022,2022-01-14,291303.64
p86,2022,2022-01-17,289972.0
p86,2023,2023-12-24,280735.18
p86,2023,2023-12-25,317271.12
p86,2023,2023-12-26,303894.85
p86,2023,2023-12-30,282835.37
p86,2023,2023-12-31,271298.49
p86,2024,2024-01-21,270676.77
p86,2025,2025-01-20,285722.89
p86,2025,2025-01-21,344907.32
p86,2025,2025-02-02,288276.82
p86,2025,2025-02-03,300717.8
p86,2029,2029-12-16,276549.0
p86,2029,2029-12-22,311601.5
p86,2029,2029-12-23,339227.38
p86,2029,2029-12-24,320740.73
p86,2034,2034-01-19,301944.37
p86,2036,2036-01-08,286838.56
p86,2036,2036-01-19,282196.88
p86,2036,2036-02-03,306323.35
p86,2036,2036-02-04,324374.14
p86,2036,2036-02-05,299069.07
p86,2037,2037-01-17,278866.49
p86,2041,2041-01-02,290680.27
p86,2050,2050-01-08,288139.13
p86,2050,2050-01-09,285837.13
p86,2054,2054-01-06,297909.62
p86,2054,2054-01-07,304219.16000000003
p86,2054,2054-01-29,309224.14
p86,2055,2055-01-08,304406.69999999995
p86,2055,2055-03-06,246730.03
p86,2058,2058-01-01,296538.27
p86,2058,2058-01-02,309942.16000000003
p86,2058,2058-01-17,320754.88
p86,2058,2058-01-18,299021.0
p86,2062,2062-01-11,332360.23
p86,2062,2062-01-17,287539.24
p86,2063,2063-12-24,280206.3
p86,2063,2063-12-25,304795.07
p86,2063,2063-12-26,295636.6
p86,2063,2063-12-30,273532.33999999997
p86,2063,2063-12-31,276332.53
p86,2065,2065-01-20,287735.21
p86,2065,2065-01-21,331380.98
p86,2065,2065-02-02,299730.42
p86,2065,2065-02-03,289477.54
p86,2069,2069-12-16,280327.15
p86,2069,2069-12-22,301558.58999999997
p86,2069,2069-12-23,334740.18
p86,2069,2069-12-24,312301.25
p86,2076,2076-02-03,318758.9
p86,2076,2076-02-04,315322.2
p86,2076,2076-02-05,291051.87
p86,2090,2090-01-08,286608.11
p86,2090,2090-01-09,298578.05
p86,2094,2094-01-06,294541.88
p86,2094,2094-01-07,301208.97
p86,2094,2094-01-29,304875.64
p86,2095,2095-01-08,282381.87
p86,2098,2098-01-01,290802.23
p86,2098,2098-01-02,303558.31
p86,2098,2098-01-17,309428.65
p86,2098,2098-01-18,275716.44999999995
