rb,Year,Date,Load_sum
p58,2020,2020-03-02,313644.64650060993
p58,2022,2022-01-11,396560.2207578548
p58,2022,2022-01-12,335322.3959173554
p58,2022,2022-01-14,330424.74431596685
p58,2022,2022-01-17,332293.89431752736
p58,2023,2023-12-24,319328.2986773078
p58,2023,2023-12-25,361275.1766733472
p58,2023,2023-12-26,348888.2906304436
p58,2023,2023-12-30,324032.33597643446
p58,2023,2023-12-31,311945.1058833609
p58,2024,2024-01-21,315377.26321798656
p58,2025,2025-01-20,336702.20325915155
p58,2025,2025-01-21,404872.41370026744
p58,2025,2025-01-22,334965.6761268828
p58,2025,2025-02-02,338664.72731844755
p58,2025,2025-02-03,350248.08153779345
p58,2028,2028-02-07,336919.35749403946
p58,2029,2029-12-22,369252.1903903421
p58,2029,2029-12-23,403555.7544772401
p58,2029,2029-12-24,385785.98885113775
p58,2036,2036-01-19,363999.24670590926
p58,2036,2036-02-03,404081.7963663898
p58,2036,2036-02-04,428155.74150124425
p58,2036,2036-02-05,395664.76041418884
p58,2050,2050-01-08,434809.59581133805
p58,2050,2050-01-09,429777.7977781417
p58,2054,2054-01-06,468436.78991972114
p58,2054,2054-01-07,475745.4507728153
p58,2054,2054-01-29,490157.95325729216
p58,2054,2054-01-30,448988.56570263766
p58,2055,2055-01-08,483488.0487419199
p58,2058,2058-01-02,499129.1523444094
p58,2058,2058-01-17,529671.4037421992
p58,2058,2058-01-18,496935.9570058445
p58,2062,2062-01-11,564866.3167645023
p58,2063,2063-12-25,521867.5967101949
p58,2063,2063-12-26,509516.06715487805
p58,2065,2065-01-21,578536.6996327908
p58,2069,2069-12-22,540158.3734909993
p58,2069,2069-12-23,596944.3296214634
p58,2069,2069-12-24,568601.2578245462
p58,2076,2076-02-03,602078.7185809892
p58,2076,2076-02-04,590870.8155077712
p58,2098,2098-01-17,751280.2504041555
