rb,Year,Date,Load_sum
p134,2020,2020-06-25,37157.683118335546
p134,2020,2020-07-16,38595.745396319944
p134,2020,2020-07-20,37239.24698813637
p134,2020,2020-08-07,38738.82342054548
p134,2020,2020-08-08,35423.84366192506
p134,2020,2020-08-24,36217.85043142515
p134,2020,2020-09-02,39623.85656803569
p134,2021,2021-07-07,37756.30566078352
p134,2021,2021-07-08,36702.25580544739
p134,2021,2021-08-01,33177.61616599176
p134,2022,2022-07-08,39075.38196354769
p134,2022,2022-07-16,34573.9157286102
p134,2022,2022-07-17,35155.39359662402
p134,2022,2022-07-18,40887.266338571964
p134,2022,2022-07-19,41512.73363576868
p134,2022,2022-08-16,36394.94996336975
p134,2023,2023-06-22,36255.28614658911
p134,2023,2023-06-23,36388.579882596445
p134,2023,2023-07-04,35738.58110074156
p134,2023,2023-07-28,35806.035078463094
p134,2023,2023-07-30,36000.85054079542
p134,2023,2023-08-08,37733.231737128364
p134,2023,2023-08-20,33865.22447518551
p134,2023,2023-09-06,37465.93430141039
p134,2023,2023-09-07,38952.04922400344
p134,2023,2023-09-11,36705.170408978694
p134,2024,2024-06-09,35196.888862909575
p134,2024,2024-06-11,37535.54748458093
p134,2024,2024-07-02,37288.41561543897
p134,2024,2024-08-04,34030.02486396486
p134,2024,2024-08-05,38334.99959430008
p134,2024,2024-08-06,38742.40981955824
p134,2025,2025-08-11,37341.29278633066
p134,2025,2025-08-14,37479.85734517385
p134,2025,2025-08-15,40087.25783078858
p134,2026,2026-07-25,34689.414764963134
p134,2026,2026-07-26,36466.15564133582
p134,2027,2027-07-10,36776.018141409986
p134,2027,2027-07-24,35907.86281555666
p134,2027,2027-07-25,37466.88038905127
p134,2027,2027-08-16,39939.676614705764
p134,2027,2027-08-17,40700.86211173961
p134,2027,2027-08-18,41190.342237614124
p134,2028,2028-06-13,37339.72313656143
p134,2028,2028-06-15,38817.84100573367
p134,2028,2028-06-16,38622.57415520585
p134,2028,2028-06-20,36594.432910332376
p134,2028,2028-07-06,38142.77753036285
p134,2028,2028-07-07,40025.788399683035
p134,2028,2028-07-08,37431.75176745025
p134,2028,2028-07-09,38692.79355561881
p134,2028,2028-07-11,41454.47820710683
