rb,Year,Date,Load_sum
p131,2077,2077-02-05,140832.23875790418
p131,2077,2077-02-06,131015.89019441993
p131,2078,2078-01-31,143664.204627731
p131,2078,2078-02-01,139678.0024925605
p131,2079,2079-01-26,142026.7218872371
p131,2079,2079-01-27,142100.5135699838
p131,2080,2080-01-21,133215.1912484618
p131,2080,2080-01-22,141226.70071352494
p131,2080,2080-01-26,141117.76702215784
p131,2080,2080-02-01,138078.30791354226
p131,2080,2080-02-02,139125.95533052343
p131,2080,2080-02-03,129546.3305471743
p131,2080,2080-02-04,130271.73425916083
p131,2080,2080-02-05,139296.06113836946
p131,2080,2080-02-06,138225.38525256375
p131,2080,2080-02-11,129910.36414321073
p131,2081,2081-01-15,139244.4564807306
p131,2081,2081-01-16,139585.60140025202
p131,2081,2081-01-19,130675.63167080029
p131,2081,2081-01-20,136736.7421954618
p131,2081,2081-01-26,132060.7196324347
p131,2081,2081-01-27,141109.77378871382
p131,2081,2081-01-28,140349.2363874377
p131,2081,2081-01-30,140725.70993056576
p131,2081,2081-01-31,140984.342146166
p131,2081,2081-02-01,128860.09682891444
p131,2081,2081-02-02,129164.81697554821
p131,2081,2081-02-03,138280.29168307083
p131,2081,2081-02-04,138373.403851718
p131,2081,2081-02-05,137909.42974076184
p131,2081,2081-02-06,138168.4848983935
p131,2081,2081-02-07,138583.61947666504
p131,2081,2081-02-08,130888.43677781797
p131,2081,2081-02-09,130467.82506888223
p131,2082,2082-01-10,130931.11062478356
p131,2082,2082-01-11,130056.93413217578
p131,2082,2082-01-22,139390.13762306568
p131,2082,2082-01-23,140040.93145944187
p131,2082,2082-01-24,131809.56018029028
p131,2082,2082-01-25,132368.89069605098
p131,2082,2082-01-26,140282.3596977569
p131,2082,2082-01-27,139475.5456650487
p131,2082,2082-01-28,139277.23086630498
p131,2082,2082-01-29,139587.20360883063
p131,2082,2082-01-30,140639.35421676852
p131,2082,2082-01-31,133214.96049557216
p131,2082,2082-02-01,129185.04326235887
p131,2082,2082-02-02,138628.75335417502
p131,2082,2082-02-03,139261.10739067092
p131,2082,2082-02-04,138464.99894959925
p131,2082,2082-02-05,136991.39102899854
p131,2082,2082-02-06,137817.5048773075
p131,2082,2082-02-07,128877.55904059939
p131,2082,2082-02-08,129292.05004833174
p131,2082,2082-02-09,138354.73043478627
p131,2082,2082-02-10,137121.20539997367
p131,2083,2083-01-16,130035.18325224686
p131,2083,2083-01-17,130622.93247032895
p131,2083,2083-01-18,135160.15826578345
