rb,Year,Date,Load_sum
p74,2020,2020-07-14,363908.92000000004
p74,2020,2020-07-15,395019.47
p74,2020,2020-07-19,335192.24000000005
p74,2020,2020-08-07,393790.52999999997
p74,2020,2020-08-08,340199.54000000004
p74,2020,2020-08-21,383876.4600000001
p74,2021,2021-07-07,379806.00000000006
p74,2021,2021-07-08,401816.82
p74,2022,2022-07-06,377247.04
p74,2022,2022-07-16,337843.19
p74,2022,2022-08-03,360638.14
p74,2023,2023-06-26,368644.16000000003
p74,2023,2023-07-03,397657.67
p74,2023,2023-07-11,355372.54
p74,2023,2023-07-13,373417.32
p74,2023,2023-07-14,387210.02
p74,2023,2023-07-15,355961.34
p74,2023,2023-07-16,355778.01
p74,2023,2023-07-17,402717.85000000003
p74,2023,2023-07-20,402938.05
p74,2023,2023-07-21,404187.50000000006
p74,2023,2023-07-27,351740.68
p74,2023,2023-07-29,339992.50000000006
p74,2023,2023-08-07,374970.51
p74,2023,2023-08-16,368975.12
p74,2023,2023-08-18,383929.70999999996
p74,2023,2023-08-19,342616.21
p74,2023,2023-08-25,353917.22
p74,2023,2023-08-26,321713.52
p74,2023,2023-08-29,362779.62999999995
p74,2023,2023-09-03,279866.83
p74,2023,2023-09-04,295959.21
p74,2023,2023-09-05,364422.29
p74,2023,2023-09-09,276125.57999999996
p74,2023,2023-09-10,324001.6
p74,2024,2024-07-14,326910.51999999996
p74,2024,2024-07-23,368485.51
p74,2024,2024-08-06,395065.83
p74,2024,2024-08-07,395356.62000000005
p74,2024,2024-08-09,387224.43
p74,2024,2024-08-28,352539.54
p74,2024,2024-08-29,361734.60000000003
p74,2025,2025-07-13,321904.62
p74,2025,2025-08-09,312808.58999999997
p74,2025,2025-09-06,332523.38000000006
p74,2026,2026-07-05,323476.61
p74,2026,2026-07-06,384980.51
p74,2026,2026-07-17,398882.47000000003
p74,2026,2026-07-18,349126.27
p74,2026,2026-07-19,350210.5
p74,2026,2026-07-24,370723.74
p74,2027,2027-06-14,358699.29
p74,2027,2027-06-18,273967.00999999995
p74,2027,2027-07-08,403367.35
p74,2027,2027-07-10,347774.11000000004
p74,2027,2027-07-11,357739.56
p74,2027,2027-07-12,413552.56000000006
p74,2027,2027-07-17,306508.29999999993
p74,2027,2027-07-18,334196.39
p74,2027,2027-07-19,395198.14999999997
p74,2027,2027-07-20,406603.54000000004
p74,2027,2027-07-21,400335.16000000003
p74,2027,2027-07-22,390568.47
p74,2027,2027-07-23,403043.86999999994
p74,2027,2027-07-24,354275.89
p74,2027,2027-07-25,350773.14999999997
p74,2027,2027-07-29,342336.34
p74,2027,2027-07-30,374908.46
p74,2027,2027-07-31,313458.05000000005
p74,2027,2027-08-02,387299.45
p74,2027,2027-08-03,393133.31
p74,2027,2027-08-16,397146.1
p74,2027,2027-08-21,300759.1
p74,2028,2028-06-13,337753.72000000003
p74,2028,2028-06-14,354526.62
p74,2028,2028-06-19,269324.3
p74,2028,2028-06-20,359470.24
p74,2028,2028-06-21,367414.31999999995
p74,2028,2028-06-25,312274.72000000003
p74,2028,2028-07-04,281529.76
p74,2028,2028-07-05,362713.63
p74,2028,2028-07-06,372975.37
p74,2028,2028-07-07,390425.02999999997
p74,2028,2028-07-08,350595.97000000003
p74,2028,2028-07-09,340514.51000000007
p74,2028,2028-07-10,379590.55
p74,2028,2028-07-13,337963.36999999994
p74,2028,2028-07-14,365453.94000000006
p74,2028,2028-07-15,323792.76
p74,2028,2028-07-16,347131.13999999996
p74,2028,2028-07-27,351926.28
p74,2028,2028-07-28,357647.76
p74,2028,2028-07-29,331258.95
p74,2028,2028-07-30,335470.19
p74,2028,2028-07-31,343358.28
p74,2028,2028-08-01,355795.19999999995
p74,2028,2028-08-02,376779.23
p74,2028,2028-08-03,378944.73000000004
p74,2028,2028-08-04,383468.39
p74,2028,2028-08-05,340167.50000000006
p74,2028,2028-08-06,318824.44
p74,2028,2028-08-07,344503.58
p74,2028,2028-08-08,348508.39
p74,2028,2028-08-09,358013.53
p74,2028,2028-08-10,347517.95
p74,2028,2028-08-11,363033.62
p74,2028,2028-08-12,340415.39
p74,2028,2028-08-13,360973.44
p74,2028,2028-08-14,397606.60000000003
p74,2028,2028-08-15,377247.74000000005
p74,2028,2028-08-16,369508.31
p74,2028,2028-08-17,369966.75
p74,2029,2029-07-06,388176.43999999994
p74,2029,2029-07-09,373563.4
p74,2029,2029-07-24,406341.05
p74,2029,2029-07-25,411356.09
p74,2029,2029-08-02,361509.0
p74,2029,2029-08-03,378366.0
p74,2029,2029-08-05,351728.98000000004
p74,2030,2030-07-04,330420.26
p74,2030,2030-08-26,391081.11000000004
p74,2030,2030-08-27,394248.12
p74,2030,2030-09-01,295687.63
p74,2030,2030-09-06,352903.92
p74,2031,2031-06-26,343224.85
p74,2031,2031-06-27,373798.61
p74,2031,2031-07-06,331614.68000000005
p74,2031,2031-07-07,402014.93000000005
p74,2031,2031-07-16,344647.52
p74,2031,2031-07-17,350752.16000000003
p74,2031,2031-07-18,385828.25
p74,2031,2031-07-19,346603.85000000003
p74,2031,2031-07-20,348962.98
p74,2031,2031-07-21,397465.24
p74,2031,2031-07-22,388597.07
p74,2031,2031-07-23,366428.24
p74,2031,2031-08-15,331729.2
p74,2031,2031-08-16,309228.95999999996
p74,2031,2031-08-25,337458.15
p74,2031,2031-08-26,367550.33
p74,2031,2031-08-27,382884.71
p74,2031,2031-08-28,402839.33
p74,2031,2031-08-29,404313.03
p74,2031,2031-08-30,341130.1
p74,2031,2031-09-15,368508.69999999995
p74,2032,2032-08-10,397215.01
p74,2033,2033-07-28,394007.02
p74,2033,2033-08-23,347739.55000000005
p74,2033,2033-08-25,391720.94
p74,2033,2033-08-26,394397.28
p74,2033,2033-08-27,338489.48
p74,2034,2034-06-15,395658.58
p74,2034,2034-06-17,352267.22
p74,2034,2034-07-20,392266.61
p74,2034,2034-08-25,362393.71
p74,2034,2034-09-15,360951.68
p74,2035,2035-06-17,313817.95
p74,2035,2035-06-18,376466.10000000003
p74,2035,2035-06-19,321834.45999999996
p74,2035,2035-06-20,393827.04
p74,2035,2035-07-12,375336.25
p74,2035,2035-07-13,417454.47000000003
p74,2035,2035-07-14,370782.02999999997
p74,2035,2035-07-15,362512.51
p74,2035,2035-07-30,366289.5
p74,2035,2035-07-31,389837.67
p74,2035,2035-08-10,395289.27
p74,2035,2035-08-11,359708.82
p74,2035,2035-08-13,404263.65
p74,2035,2035-08-14,409336.15
p74,2035,2035-08-15,415625.06
p74,2035,2035-08-16,409632.64
p74,2035,2035-08-30,360136.00999999995
p74,2036,2036-06-28,334296.43
p74,2036,2036-06-29,324279.12
p74,2036,2036-08-06,398317.76
p74,2036,2036-08-07,406997.51999999996
p74,2036,2036-08-22,365041.06
p74,2036,2036-09-05,354214.15
p74,2037,2037-06-24,395464.85000000003
p74,2037,2037-07-13,384017.04000000004
p74,2037,2037-07-14,406739.11
p74,2037,2037-07-16,377965.67000000004
p74,2037,2037-07-17,379927.32000000007
p74,2037,2037-07-26,339134.98000000004
p74,2037,2037-07-27,408401.79
p74,2038,2038-06-20,319843.46
p74,2038,2038-06-25,392949.56
p74,2038,2038-07-14,375462.22000000003
p74,2038,2038-07-15,391319.59
p74,2038,2038-07-20,375344.44
p74,2038,2038-07-21,384571.87
p74,2038,2038-08-23,344541.01
p74,2038,2038-08-24,351214.79
p74,2038,2038-08-27,351973.52999999997
p74,2038,2038-09-05,273373.55999999994
p74,2038,2038-09-06,288741.85000000003
p74,2038,2038-09-11,261253.16
p74,2038,2038-09-13,317846.79
p74,2038,2038-09-20,357687.33999999997
p74,2039,2039-06-06,386003.79000000004
p74,2039,2039-06-09,371487.58
p74,2039,2039-06-26,321484.72
p74,2039,2039-07-03,338919.91
p74,2039,2039-07-04,348815.58
p74,2039,2039-07-05,415383.42999999993
