rb,Year,Date,Load_sum
p104,2021,2021-02-12,321674.3664124093
p104,2022,2022-01-17,335582.78247973375
p104,2024,2024-01-21,302238.04875613196
p104,2034,2034-01-16,314271.016269398
p104,2034,2034-01-19,335441.4833627847
p104,2036,2036-02-03,277182.6055426514
p104,2049,2049-01-15,313613.05416864075
p104,2051,2051-02-10,300872.0530236675
p104,2054,2054-02-28,266183.25681188866
p104,2055,2055-02-15,305044.18481515
p104,2055,2055-02-20,267943.41303670657
p104,2055,2055-02-23,303179.49364534824
p104,2062,2062-01-17,308798.9026172989
p104,2074,2074-01-19,301090.91675126855
p104,2095,2095-02-23,275066.512980287
