rb,Year,Date,Load_sum
p42,2020,2020-07-07,237359.00188545437
p42,2020,2020-07-10,229505.43599867995
p42,2020,2020-07-11,214545.74201152366
p42,2020,2020-07-14,235644.87782354292
p42,2020,2020-07-15,236621.95521826073
p42,2020,2020-08-01,187511.97744498617
p42,2020,2020-08-06,214279.55793652023
p42,2020,2020-08-19,227759.89113001974
p42,2020,2020-08-20,228122.50146173855
p42,2020,2020-08-24,205423.15521228383
p42,2020,2020-08-25,215976.6765418548
p42,2020,2020-08-29,194153.2701440506
p42,2020,2020-09-03,204899.71575282243
p42,2020,2020-09-07,188228.02723925072
p42,2020,2020-09-08,213026.8713254719
p42,2021,2021-07-06,228821.98831081705
p42,2021,2021-07-08,235548.40975799886
p42,2021,2021-07-31,198039.44386169573
p42,2021,2021-08-12,211255.58440836341
p42,2021,2021-08-13,216707.19111932398
p42,2021,2021-09-10,213707.6022676722
p42,2022,2022-07-04,193649.4699339491
p42,2022,2022-09-11,194595.63688278815
p42,2023,2023-07-09,220549.0954106473
p42,2023,2023-07-10,238560.47462513906
p42,2023,2023-07-13,226539.41844124947
p42,2023,2023-07-14,238132.8823811539
p42,2023,2023-07-19,245670.53148983605
p42,2023,2023-07-20,246562.83351039735
p42,2023,2023-07-21,246470.9703237188
p42,2023,2023-07-22,218917.1173549223
p42,2023,2023-07-29,210061.7612300702
p42,2023,2023-08-03,239092.33465525648
p42,2023,2023-08-04,238522.41977666086
p42,2023,2023-08-06,213144.11459007268
p42,2023,2023-08-07,228500.34052054302
p42,2023,2023-08-08,220462.69133041205
p42,2023,2023-08-15,225506.61895021558
p42,2023,2023-08-16,227187.98763532698
p42,2023,2023-08-19,201892.09604261548
p42,2023,2023-08-25,225286.0985922666
p42,2023,2023-08-26,199189.20703805148
p42,2023,2023-08-27,204130.1590033031
p42,2023,2023-08-28,219768.23133532368
p42,2023,2023-08-29,215600.85657786537
p42,2023,2023-08-30,224241.87361992974
p42,2023,2023-09-01,218804.64574623774
p42,2023,2023-09-02,201421.01786318008
p42,2023,2023-09-03,194864.5141946834
p42,2023,2023-09-08,198883.8799745673
p42,2023,2023-09-09,206430.16419055642
p42,2024,2024-07-22,223448.09759381908
p42,2024,2024-08-06,242912.7966111185
p42,2024,2024-08-13,221057.26749807587
p42,2024,2024-08-14,220681.11689478855
p42,2024,2024-08-27,222064.77806616388
p42,2024,2024-08-28,206728.69743984303
p42,2024,2024-08-29,195725.33942290736
p42,2024,2024-09-19,198493.64572063432
p42,2025,2025-06-08,193842.16184030278
p42,2025,2025-07-07,222686.11891116822
p42,2025,2025-09-06,204568.2773903511
p42,2027,2027-06-13,189438.4467845701
p42,2027,2027-06-14,217368.68853304346
p42,2027,2027-06-18,195384.41274166055
p42,2027,2027-07-10,211937.81267041407
p42,2027,2027-07-11,214300.19130114443
p42,2027,2027-07-17,204574.54010808945
p42,2027,2027-07-19,233026.2256809837
p42,2027,2027-07-20,232428.3697057481
p42,2027,2027-07-21,230082.61724513155
p42,2027,2027-07-22,230214.33165674884
p42,2027,2027-07-23,229367.71007714982
p42,2027,2027-07-24,208260.91249527282
p42,2027,2027-07-25,204441.6176157946
p42,2027,2027-07-26,222770.58373707117
p42,2027,2027-07-27,219540.83136525616
p42,2027,2027-07-28,223147.51469356325
