rb,Year,Date,Load_sum
p43,2020,2020-07-10,225890.8499367718
p43,2020,2020-07-11,207956.06803682825
p43,2020,2020-08-06,208410.03506694362
p43,2020,2020-08-19,229123.566888395
p43,2020,2020-08-20,228048.45294624494
p43,2020,2020-08-25,217526.3728480169
p43,2020,2020-09-07,186781.8850091555
p43,2020,2020-09-08,216912.8725109576
p43,2021,2021-07-06,224171.7045800773
p43,2021,2021-07-07,226561.9189930234
p43,2021,2021-07-12,232528.40189096506
p43,2021,2021-07-31,197641.0906867648
p43,2021,2021-08-12,207560.71226222703
p43,2022,2022-08-02,225075.50054960002
p43,2023,2023-07-09,216487.69342702284
p43,2023,2023-07-14,235500.17051336318
p43,2023,2023-07-19,243217.70730485252
p43,2023,2023-07-20,247020.44306275534
p43,2023,2023-07-21,243361.4016630687
p43,2023,2023-07-22,215080.7123529853
p43,2023,2023-08-03,237071.0289077411
p43,2023,2023-08-07,218023.79272912996
p43,2023,2023-08-15,222740.74704590515
p43,2023,2023-08-18,226442.31061336116
p43,2023,2023-08-19,204313.43404795218
p43,2023,2023-08-25,225742.71939045313
p43,2023,2023-08-26,201695.31027531187
p43,2023,2023-08-27,205086.956001473
p43,2023,2023-08-28,223547.8928567255
p43,2023,2023-08-29,220488.55741658717
p43,2023,2023-09-01,214776.7156576091
p43,2023,2023-09-02,196593.97360193738
p43,2023,2023-09-03,188793.35017017162
p43,2023,2023-09-08,197269.78053086807
p43,2024,2024-07-22,223099.50759223613
p43,2024,2024-08-06,237493.55520381226
p43,2024,2024-08-13,216369.5835284367
p43,2024,2024-08-27,226540.03392335473
p43,2024,2024-08-28,206845.32807950463
p43,2024,2024-08-29,196344.81312591536
p43,2024,2024-09-19,198346.98717204208
p43,2025,2025-07-07,219192.35699185272
p43,2027,2027-06-13,187234.3525941368
p43,2027,2027-07-10,211290.00073883438
p43,2027,2027-07-16,201987.1047684123
p43,2027,2027-07-20,233895.48765823373
p43,2027,2027-07-21,231369.26841289017
p43,2027,2027-07-22,229216.56715394065
p43,2027,2027-07-23,230238.8322001072
p43,2027,2027-07-27,219505.85320728735
p43,2027,2027-07-28,229171.23331907397
p43,2027,2027-07-29,231815.23982907285
p43,2027,2027-07-30,231297.17787688595
p43,2027,2027-07-31,204170.60848264646
p43,2027,2027-08-01,213584.92086202634
p43,2027,2027-08-02,240474.9677477946
p43,2027,2027-08-03,219137.91472208136
p43,2027,2027-08-11,207080.54019442547
p43,2027,2027-08-15,210528.57001079692
p43,2027,2027-08-21,190760.82230006513
p43,2028,2028-06-07,208949.5754649075
p43,2028,2028-06-12,197482.79737996825
p43,2028,2028-06-18,187011.47116799414
p43,2028,2028-06-19,184817.7300108614
p43,2028,2028-06-20,206611.5176244027
p43,2028,2028-06-21,211115.68326741236
p43,2028,2028-06-22,200988.94211560316
p43,2028,2028-06-24,187823.89591235286
p43,2028,2028-06-25,183316.05787966016
p43,2028,2028-07-04,180530.66171027246
p43,2028,2028-07-05,218112.60604072755
p43,2028,2028-07-06,227203.3042440716
p43,2028,2028-07-07,228711.438015741
p43,2028,2028-07-13,205664.7036978061
p43,2028,2028-07-14,204543.4401055296
p43,2028,2028-07-15,197524.61477692443
p43,2028,2028-07-16,186063.4658014673
p43,2028,2028-07-17,200253.6298055238
p43,2028,2028-07-23,172324.31823382745
p43,2028,2028-07-24,196755.85735727684
p43,2028,2028-07-26,197402.26621327002
p43,2028,2028-07-27,198139.60420195176
p43,2028,2028-07-28,200794.0081895923
p43,2028,2028-07-29,190260.39866671496
p43,2028,2028-07-30,181004.9072196348
p43,2028,2028-07-31,200513.2069060699
p43,2028,2028-08-01,205591.70538881686
p43,2028,2028-08-02,228233.060982401
p43,2028,2028-08-03,234377.26140008177
p43,2028,2028-08-06,183858.96307277773
p43,2028,2028-08-07,203291.6828573396
p43,2028,2028-08-08,210417.17355843692
p43,2028,2028-08-10,202312.52527004783
p43,2028,2028-08-11,219632.46747874498
p43,2028,2028-08-12,202230.8211291735
p43,2028,2028-08-13,203404.23997234472
p43,2028,2028-08-15,220564.17968093214
p43,2028,2028-08-16,226506.6822079181
p43,2028,2028-08-17,231409.25396117027
p43,2028,2028-08-31,184280.560932964
p43,2029,2029-07-02,220461.71924005734
p43,2029,2029-07-04,179328.35806392366
p43,2029,2029-07-05,214490.1239192083
p43,2029,2029-07-06,215316.6905174202
p43,2029,2029-07-08,189882.73485229202
p43,2029,2029-07-09,225454.43418291304
p43,2029,2029-07-10,212856.3238541191
p43,2029,2029-07-25,223030.99631236825
p43,2029,2029-07-26,226654.75001829473
p43,2029,2029-07-27,213888.8221649359
p43,2029,2029-08-01,223503.40602170466
p43,2029,2029-08-02,220389.04286796565
p43,2029,2029-08-03,232153.47624888
p43,2029,2029-08-04,210790.23880788786
p43,2029,2029-08-05,187100.18929248423
p43,2030,2030-07-03,234423.14962351206
p43,2030,2030-07-04,191166.33100709855
p43,2031,2031-06-26,227031.73475859212
p43,2031,2031-07-16,225737.14676730486
p43,2031,2031-08-25,215148.59219701533
p43,2031,2031-08-26,216995.34020638012
p43,2031,2031-08-27,215507.95868113442
p43,2031,2031-08-28,224641.90745688378
p43,2031,2031-08-29,226097.42845572377
p43,2034,2034-06-14,216396.4969438837
p43,2034,2034-08-24,209060.05444107618
p43,2034,2034-08-27,193699.2038171699
p43,2035,2035-06-17,199533.990548158
p43,2035,2035-07-12,243268.85058598156
p43,2035,2035-07-13,241882.98742411795
p43,2035,2035-07-30,216292.31478590262
p43,2035,2035-08-18,208814.03103139644
p43,2036,2036-06-28,203460.80901885373
p43,2036,2036-08-06,222300.72182927388
p43,2036,2036-08-21,211655.70115767437
p43,2036,2036-08-24,173142.8650112867
p43,2036,2036-09-05,211321.44466108255
p43,2037,2037-07-16,224166.9488386498
p43,2038,2038-07-20,217278.20964356902
p43,2038,2038-09-05,181846.71244305102
p43,2038,2038-09-10,182678.9872565684
p43,2038,2038-09-11,173272.44346196516
p43,2039,2039-07-23,207283.55261635588
p43,2039,2039-07-24,187622.22841526353
p43,2039,2039-07-25,223770.6112866575
p43,2039,2039-07-28,225056.14668599545
p43,2039,2039-07-29,222759.5491306087
p43,2039,2039-07-30,203706.88794737513
p43,2039,2039-08-26,217560.94571487277
p43,2039,2039-08-27,191719.5116072812
p43,2040,2040-06-08,209927.64772622008
p43,2040,2040-06-09,181331.34993975857
p43,2040,2040-07-08,201738.23789280214
p43,2040,2040-07-09,227484.5204300612
p43,2040,2040-07-31,212219.31334561174
p43,2040,2040-08-07,210094.96609437684
p43,2040,2040-08-10,208815.2904114863
p43,2040,2040-08-11,186649.6390396071
p43,2040,2040-08-12,187481.73073309354
p43,2040,2040-08-13,206960.45818261986
p43,2040,2040-08-14,206579.77081194214
p43,2040,2040-08-15,195753.24508626462
p43,2040,2040-08-24,197065.86915699585
p43,2040,2040-08-25,177327.5273076573
p43,2040,2040-08-28,201340.05934758976
p43,2040,2040-08-29,188536.98524409093
p43,2040,2040-08-30,186736.00302830365
p43,2040,2040-08-31,199043.36587031023
p43,2040,2040-09-09,177303.53401929617
p43,2040,2040-09-18,181099.2100573699
p43,2041,2041-07-17,223662.69927215524
p43,2041,2041-07-18,231861.60719306272
p43,2041,2041-07-21,212907.3858734022
p43,2041,2041-07-22,239558.9325703623
p43,2041,2041-07-23,229355.71977143764
p43,2041,2041-07-30,226963.50593806346
p43,2041,2041-07-31,228519.55803482205
p43,2041,2041-08-01,222734.37880662357
p43,2041,2041-08-03,193911.95714578356
p43,2041,2041-08-04,198648.97215899933
p43,2041,2041-08-05,221468.05137661056
p43,2041,2041-08-06,230906.30343140085
p43,2041,2041-08-07,222502.00359846296
p43,2041,2041-08-08,218978.23261504283
p43,2041,2041-08-09,204379.54435272838
p43,2041,2041-08-21,197942.84869158024
p43,2041,2041-08-22,210228.3762161897
p43,2041,2041-08-26,191054.15961918104
p43,2041,2041-08-29,189822.45018712932
p43,2041,2041-09-02,180147.82315873337
p43,2041,2041-09-03,192259.4018518786
