rb,Year,Date,Load_sum
p43,2020,2020-07-07,238823.62
p43,2020,2020-07-10,233339.33
p43,2020,2020-07-11,216668.49
p43,2020,2020-07-14,238518.73
p43,2020,2020-07-15,238451.01
p43,2020,2020-08-01,186289.21000000002
p43,2020,2020-08-06,216412.87
p43,2020,2020-08-18,216518.02
p43,2020,2020-08-19,229505.13999999998
p43,2020,2020-08-20,229847.16
p43,2020,2020-08-24,209513.31
p43,2020,2020-08-25,219818.51
p43,2020,2020-08-29,194390.78
p43,2020,2020-09-03,206214.56
p43,2020,2020-09-06,180114.09
p43,2020,2020-09-07,191062.97999999998
p43,2020,2020-09-08,219367.35
p43,2021,2021-07-06,232465.55000000002
p43,2021,2021-07-07,231211.09000000003
p43,2021,2021-07-08,238615.86000000002
p43,2021,2021-07-10,185037.47000000003
p43,2021,2021-07-12,238657.78999999998
p43,2021,2021-07-13,238857.44
p43,2021,2021-07-31,202916.94
p43,2021,2021-08-01,210689.71999999997
p43,2021,2021-08-12,215987.74
p43,2021,2021-08-13,219663.19
p43,2021,2021-09-09,202392.38
p43,2021,2021-09-10,217807.03
p43,2022,2022-07-04,195566.18
p43,2022,2022-07-20,228824.72999999998
p43,2022,2022-08-02,230855.62
p43,2022,2022-08-19,235337.24
p43,2023,2023-07-08,213239.63
p43,2023,2023-07-09,221867.31
p43,2023,2023-07-10,239847.51
p43,2023,2023-07-13,231862.28
p43,2023,2023-07-14,246710.72
p43,2023,2023-07-15,216139.91999999998
p43,2023,2023-07-19,251259.78
p43,2023,2023-07-20,251727.85
p43,2023,2023-07-21,252309.1
p43,2023,2023-07-22,223757.23
p43,2023,2023-07-29,214913.22
p43,2023,2023-08-03,246104.28999999998
p43,2023,2023-08-04,244221.45
p43,2023,2023-08-06,213589.31
p43,2023,2023-08-07,228134.27
p43,2023,2023-08-08,225636.05000000002
p43,2023,2023-08-15,230393.06
p43,2023,2023-08-16,228556.16999999998
p43,2023,2023-08-18,235500.52000000002
p43,2023,2023-08-19,210042.34999999998
p43,2023,2023-08-25,232474.69
p43,2023,2023-08-26,201292.79
p43,2023,2023-08-27,208392.15
p43,2023,2023-08-28,223694.25
p43,2023,2023-08-29,219444.91999999998
p43,2023,2023-09-01,219423.32
p43,2023,2023-09-02,202352.84
p43,2023,2023-09-03,197008.53999999998
p43,2023,2023-09-08,203918.82
p43,2023,2023-09-09,208443.44
p43,2024,2024-07-22,228351.82
p43,2024,2024-08-06,247009.26
p43,2024,2024-08-13,222055.92
p43,2024,2024-08-14,220161.1
p43,2024,2024-08-26,208329.97999999998
p43,2024,2024-08-27,227691.55
p43,2024,2024-08-28,208708.34
p43,2024,2024-08-29,199833.0
p43,2024,2024-09-19,203797.69
p43,2025,2025-06-08,198137.27
p43,2025,2025-07-07,227161.44
p43,2025,2025-07-08,230758.99
p43,2025,2025-09-06,207280.33
p43,2027,2027-06-13,193692.25
p43,2027,2027-06-14,222102.52000000002
p43,2027,2027-06-16,210839.38
p43,2027,2027-06-22,226842.71
p43,2027,2027-07-10,218223.32
p43,2027,2027-07-11,218250.76
p43,2027,2027-07-16,207156.57
p43,2027,2027-07-17,211155.38
p43,2027,2027-07-19,239097.1
p43,2027,2027-07-20,236902.15000000002
p43,2027,2027-07-21,234377.74000000002
p43,2027,2027-07-22,232514.76
p43,2027,2027-07-23,235139.41999999998
p43,2027,2027-07-24,210357.58
p43,2027,2027-07-25,200396.05
p43,2027,2027-07-26,228935.71999999997
p43,2027,2027-07-27,223950.37
p43,2027,2027-07-28,230659.04
p43,2027,2027-07-29,230781.8
p43,2027,2027-07-30,234202.32
p43,2027,2027-07-31,204667.00999999998
p43,2027,2027-08-01,217770.22999999998
p43,2027,2027-08-02,242069.99
p43,2027,2027-08-03,218683.66999999998
p43,2027,2027-08-06,211941.78999999998
p43,2027,2027-08-11,214655.4
p43,2027,2027-08-12,216166.78
p43,2027,2027-08-15,217945.08000000002
p43,2027,2027-08-16,234461.46
p43,2027,2027-08-21,191653.92
p43,2027,2027-08-22,171506.62
p43,2027,2027-09-04,173245.65
p43,2028,2028-06-07,213990.77
p43,2028,2028-06-08,201024.59
p43,2028,2028-06-12,202151.94
p43,2028,2028-06-18,191851.88999999998
p43,2028,2028-06-19,191348.71
p43,2028,2028-06-20,213647.6
p43,2028,2028-06-21,218161.84000000003
p43,2028,2028-06-22,209292.67
p43,2028,2028-06-24,194151.92
p43,2028,2028-06-25,190492.99
p43,2028,2028-06-28,204612.63999999998
p43,2028,2028-07-04,188125.5
p43,2028,2028-07-05,224206.86
p43,2028,2028-07-06,231178.53999999998
p43,2028,2028-07-07,235196.32
p43,2028,2028-07-13,214316.02
p43,2028,2028-07-14,212775.44
p43,2028,2028-07-15,203134.37
p43,2028,2028-07-16,193370.81
p43,2028,2028-07-17,207962.21000000002
p43,2028,2028-07-22,185092.12
p43,2028,2028-07-23,180299.43
p43,2028,2028-07-24,204716.08
p43,2028,2028-07-25,200236.74
p43,2028,2028-07-26,205604.29
p43,2028,2028-07-27,206545.21
p43,2028,2028-07-28,209043.65000000002
p43,2028,2028-07-29,197261.90999999997
p43,2028,2028-07-30,188175.95
p43,2028,2028-07-31,204810.43
p43,2028,2028-08-01,218459.27
p43,2028,2028-08-02,233387.53999999998
p43,2028,2028-08-03,236712.53
p43,2028,2028-08-04,226020.91999999998
p43,2028,2028-08-05,194995.22999999998
p43,2028,2028-08-06,192362.13
p43,2028,2028-08-07,212086.16999999998
p43,2028,2028-08-08,220854.49
p43,2028,2028-08-09,215331.25999999998
p43,2028,2028-08-10,210497.14
p43,2028,2028-08-11,225461.02999999997
p43,2028,2028-08-12,207419.61000000002
p43,2028,2028-08-13,211795.54
p43,2028,2028-08-14,232865.2
p43,2028,2028-08-15,227266.77999999997
p43,2028,2028-08-16,226130.78999999998
p43,2028,2028-08-17,231525.09
p43,2028,2028-08-18,214941.28999999998
p43,2028,2028-08-20,177846.13
p43,2028,2028-08-21,197346.97
p43,2028,2028-08-31,189663.34
p43,2028,2028-09-01,197617.65999999997
p43,2028,2028-09-11,193528.87
p43,2029,2029-07-02,231321.78
p43,2029,2029-07-03,227583.55
p43,2029,2029-07-04,189075.64
p43,2029,2029-07-05,224347.05000000002
p43,2029,2029-07-06,223483.94999999998
p43,2029,2029-07-08,196940.43
p43,2029,2029-07-09,232738.16999999998
p43,2029,2029-07-10,219493.80000000002
p43,2029,2029-07-24,230241.0
p43,2029,2029-07-25,230851.40000000002
p43,2029,2029-07-26,234646.36
p43,2029,2029-07-27,221035.03000000003
p43,2029,2029-07-31,224647.28999999998
p43,2029,2029-08-01,231373.61000000002
p43,2029,2029-08-02,232320.81
p43,2029,2029-08-03,236760.18
p43,2029,2029-08-04,221068.7
p43,2029,2029-08-05,196135.61000000002
p43,2029,2029-08-10,202494.90000000002
p43,2029,2029-08-11,181944.41
p43,2029,2029-08-22,221621.83
p43,2029,2029-08-23,223637.83000000002
p43,2029,2029-08-31,219045.3
p43,2029,2029-09-06,215444.16
p43,2030,2030-07-03,241391.37
p43,2030,2030-07-04,197131.69
p43,2030,2030-08-25,205561.04
p43,2030,2030-08-26,235414.05000000002
p43,2030,2030-08-27,233131.62
p43,2030,2030-08-30,207440.54
p43,2030,2030-08-31,184344.82
p43,2030,2030-09-04,226020.86
p43,2030,2030-09-05,225991.77
p43,2030,2030-09-11,199153.91
p43,2030,2030-09-12,222371.5
p43,2030,2030-09-13,215030.38999999998
p43,2031,2031-06-26,234631.12
p43,2031,2031-07-16,234221.18
p43,2031,2031-07-17,238222.0
p43,2031,2031-07-18,236346.94
p43,2031,2031-08-21,210761.49
p43,2031,2031-08-24,193159.78999999998
p43,2031,2031-08-25,219861.99000000002
p43,2031,2031-08-26,223363.82
p43,2031,2031-08-27,222729.22
p43,2031,2031-08-28,231255.69
p43,2031,2031-08-29,235827.44999999998
p43,2031,2031-08-30,202557.94
p43,2031,2031-09-02,204344.82
p43,2032,2032-08-09,243657.03
p43,2034,2034-06-14,219753.13
p43,2034,2034-08-23,202696.56
p43,2034,2034-08-24,222671.02
p43,2034,2034-08-25,217250.94
p43,2034,2034-08-27,198847.64
p43,2034,2034-09-09,189205.57
p43,2035,2035-06-17,207989.48
p43,2035,2035-06-20,230622.17
p43,2035,2035-07-12,255428.01
p43,2035,2035-07-13,253711.28999999998
p43,2035,2035-07-30,227553.96
p43,2035,2035-08-17,245222.67
p43,2035,2035-08-18,221913.03
p43,2035,2035-08-30,219914.81
p43,2036,2036-06-27,236849.27999999997
p43,2036,2036-06-28,212326.50999999998
p43,2036,2036-06-29,208086.28999999998
p43,2036,2036-08-05,235846.57
p43,2036,2036-08-06,239098.67
p43,2036,2036-08-13,215677.99
p43,2036,2036-08-21,211968.7
p43,2036,2036-08-22,210591.35
p43,2036,2036-08-24,184170.94
p43,2036,2036-08-25,217240.16
p43,2036,2036-08-30,188130.94
p43,2036,2036-08-31,183048.66
p43,2036,2036-09-02,207644.77000000002
p43,2036,2036-09-03,218308.21
p43,2036,2036-09-04,225450.54
p43,2036,2036-09-05,219474.32
p43,2036,2036-09-06,198412.22999999998
p43,2037,2037-07-15,226617.86000000002
p43,2037,2037-07-16,232854.39
p43,2037,2037-07-17,238657.9
p43,2037,2037-07-26,220723.38999999998
p43,2037,2037-08-02,206658.32
p43,2037,2037-08-23,186899.95
p43,2037,2037-08-25,213930.94
p43,2037,2037-08-26,220759.01
p43,2037,2037-08-29,190971.21
p43,2037,2037-08-30,191127.37
p43,2037,2037-08-31,216871.7
p43,2037,2037-09-01,219649.39
p43,2037,2037-09-05,180138.69
p43,2037,2037-09-18,195861.41999999998
p43,2038,2038-07-13,236522.93
p43,2038,2038-07-14,240422.47
p43,2038,2038-07-20,226621.54
p43,2038,2038-08-09,234872.31
p43,2038,2038-08-16,213858.65
p43,2038,2038-08-17,220740.44
p43,2038,2038-08-19,208078.27999999997
p43,2038,2038-08-20,227762.13
p43,2038,2038-08-22,193499.75
p43,2038,2038-08-23,217219.69
p43,2038,2038-08-24,214678.79
p43,2038,2038-08-26,214544.53
p43,2038,2038-08-28,196616.25
p43,2038,2038-09-04,185742.69
p43,2038,2038-09-05,188905.45
p43,2038,2038-09-06,189819.72999999998
p43,2038,2038-09-10,189795.1
p43,2038,2038-09-11,181288.71000000002
p43,2038,2038-09-13,215799.37
p43,2038,2038-09-17,218714.5
p43,2038,2038-09-18,201223.83000000002
p43,2038,2038-09-19,200876.68
p43,2039,2039-07-15,236615.61000000002
p43,2039,2039-07-22,241045.19
p43,2039,2039-07-23,218675.05
p43,2039,2039-07-24,196857.51
p43,2039,2039-07-25,230235.85
p43,2039,2039-07-28,236091.86000000002
p43,2039,2039-07-29,229530.13
p43,2039,2039-07-30,213598.88
p43,2039,2039-08-26,227234.31
p43,2039,2039-08-27,199162.82
p43,2039,2039-08-28,192812.58000000002
p43,2039,2039-08-31,192885.41
p43,2039,2039-09-01,206728.63
p43,2039,2039-09-02,218867.22
p43,2039,2039-09-03,199396.74
p43,2039,2039-09-07,201423.71
p43,2040,2040-06-08,217318.25
p43,2040,2040-06-09,187488.46000000002
p43,2040,2040-07-01,196188.73
p43,2040,2040-07-08,210391.77
p43,2040,2040-07-09,239912.82
p43,2040,2040-07-13,230370.43
p43,2040,2040-07-24,205861.88
p43,2040,2040-07-25,206723.93000000002
p43,2040,2040-07-27,221287.83
p43,2040,2040-07-30,222645.28
p43,2040,2040-07-31,221849.06
p43,2040,2040-08-01,228232.62
p43,2040,2040-08-02,223747.0
p43,2040,2040-08-04,189177.96
p43,2040,2040-08-05,192119.51
p43,2040,2040-08-07,224049.52000000002
p43,2040,2040-08-08,220129.96999999997
p43,2040,2040-08-09,219097.72999999998
p43,2040,2040-08-10,221499.49
p43,2040,2040-08-11,199815.01
p43,2040,2040-08-12,195727.43
p43,2040,2040-08-13,217346.7
p43,2040,2040-08-14,214484.53
p43,2040,2040-08-15,205162.19999999998
p43,2040,2040-08-21,200551.73
p43,2040,2040-08-23,207076.44
p43,2040,2040-08-24,205561.17
p43,2040,2040-08-25,181807.09
p43,2040,2040-08-26,187214.66
p43,2040,2040-08-27,206193.86
p43,2040,2040-08-28,206734.86
p43,2040,2040-08-29,199508.44
p43,2040,2040-08-30,195066.32
p43,2040,2040-08-31,206492.97
p43,2040,2040-09-02,183193.84
p43,2040,2040-09-09,184471.68
p43,2040,2040-09-10,196946.77000000002
p43,2040,2040-09-18,189558.28
p43,2041,2041-07-09,228993.96
p43,2041,2041-07-17,238488.07
p43,2041,2041-07-18,242831.33
p43,2041,2041-07-19,240988.51
p43,2041,2041-07-20,222140.75
p43,2041,2041-07-21,221557.63
p43,2041,2041-07-22,250064.74
p43,2041,2041-07-23,238814.23
p43,2041,2041-07-29,224210.47
p43,2041,2041-07-30,232015.47
p43,2041,2041-07-31,238442.49
p43,2041,2041-08-01,233523.27
p43,2041,2041-08-02,228012.7
p43,2041,2041-08-03,203320.35
p43,2041,2041-08-04,206870.54
p43,2041,2041-08-05,229288.31
p43,2041,2041-08-06,242835.27
p43,2041,2041-08-07,234843.28999999998
p43,2041,2041-08-08,225942.69
p43,2041,2041-08-09,215056.75
p43,2041,2041-08-21,205124.59
p43,2041,2041-08-22,216642.26
p43,2041,2041-08-23,219758.57
