rb,Year,Date,Load_sum
p43,2054,2054-01-15,232852.3816634325
p43,2054,2054-01-16,232911.5875032873
p43,2055,2055-01-14,232176.34932196722
p43,2055,2055-01-15,233028.6751249203
p43,2055,2055-01-17,210164.86087120886
p43,2055,2055-01-19,233010.09277605117
p43,2055,2055-01-20,232221.07516631155
p43,2055,2055-01-21,231802.20888888772
p43,2055,2055-01-22,232424.22768464056
p43,2055,2055-01-28,233191.74348650945
p43,2055,2055-01-29,233641.13365587953
p43,2056,2056-01-06,231614.95666970752
p43,2056,2056-01-07,230773.54884828237
p43,2056,2056-01-11,230704.45916065288
p43,2056,2056-01-12,232829.84009343176
p43,2056,2056-01-13,233860.27025532338
p43,2056,2056-01-14,232480.71635183538
p43,2056,2056-01-15,210746.42554235976
p43,2056,2056-01-16,209963.06715327647
p43,2056,2056-01-17,221315.174296448
p43,2056,2056-01-18,233396.19256886042
p43,2056,2056-01-19,234711.48693871126
p43,2056,2056-01-20,234321.7161416813
p43,2056,2056-01-21,233112.20887906488
p43,2056,2056-01-22,210490.92146381055
p43,2056,2056-01-23,210782.39579788173
p43,2056,2056-01-24,232538.00711258064
p43,2056,2056-01-25,233421.3540091179
p43,2056,2056-01-26,234436.27098059506
p43,2056,2056-01-27,234231.07225710092
p43,2056,2056-01-28,233545.25217707688
p43,2056,2056-01-29,211620.49664438763
p43,2056,2056-01-30,212065.747208823
p43,2057,2057-01-04,231909.09445155997
p43,2057,2057-01-05,231551.88747732318
p43,2057,2057-01-06,209527.2593991428
p43,2057,2057-01-07,208980.9690068185
p43,2057,2057-01-08,231384.96930550196
p43,2057,2057-01-09,231589.1889405148
p43,2057,2057-01-10,231495.47520595533
p43,2057,2057-01-11,232193.07973849805
p43,2057,2057-01-12,233490.8903332839
p43,2057,2057-01-13,212085.03504164255
p43,2057,2057-01-14,211209.31952279035
p43,2057,2057-01-15,223175.8107116831
p43,2057,2057-01-16,233154.40238720874
p43,2057,2057-01-17,233522.38259969212
p43,2057,2057-01-18,235082.58326340077
p43,2057,2057-01-19,235420.1917247465
p43,2057,2057-01-20,212355.96784430926
p43,2057,2057-01-21,210804.80944782493
p43,2057,2057-01-22,232689.65575298123
p43,2057,2057-01-23,233687.57573931417
p43,2057,2057-01-24,234181.8557235175
p43,2057,2057-01-25,234430.47665306105
p43,2057,2057-01-26,234319.05150742884
p43,2057,2057-01-27,211690.06983830314
p43,2057,2057-01-28,211184.48652960153
p43,2057,2057-01-29,233426.39925251756
p43,2057,2057-01-30,234425.34661657808
p43,2057,2057-01-31,234866.62916790292
p43,2057,2057-02-01,225218.56903027926
p43,2057,2057-02-02,224254.58331911382
p43,2057,2057-02-06,224625.44218485343
p43,2057,2057-02-07,224538.17200664233
p43,2057,2057-02-08,225269.33683783878
p43,2057,2057-02-09,224411.3268667158
p43,2058,2058-01-01,220759.43820436753
