rb,Year,Date,Load_sum
p43,2022,2022-01-07,223398.23697791042
p43,2022,2022-01-10,229866.83302535483
p43,2022,2022-01-16,215328.23170186314
p43,2022,2022-01-17,219233.270488997
p43,2022,2022-01-24,221129.33450757017
p43,2023,2023-12-18,230835.67812624478
p43,2023,2023-12-19,230560.07342154003
p43,2023,2023-12-23,213947.13651021794
p43,2024,2024-01-18,222290.59228759454
p43,2024,2024-01-20,210207.99952523984
p43,2029,2029-02-03,202890.6005203138
p43,2034,2034-01-15,205803.1165964731
p43,2034,2034-01-18,227921.9736625347
p43,2034,2034-01-19,223874.96522889863
p43,2034,2034-02-07,215573.77093480204
p43,2036,2036-01-19,204816.6596653563
p43,2036,2036-01-30,223051.48538014537
p43,2036,2036-01-31,225683.52770943052
p43,2036,2036-02-01,218942.98702346563
p43,2036,2036-02-02,213063.80066323964
p43,2036,2036-02-03,208939.98852262128
p43,2049,2049-01-15,216824.16039060563
p43,2059,2059-01-30,218300.14298373612
p43,2062,2062-01-17,215958.8884153737
p43,2063,2063-12-23,200943.22233484662
p43,2076,2076-02-01,189667.7907048485
p43,2076,2076-02-02,198337.61255747356
p43,2076,2076-02-03,208042.90680628864
