rb,Year,Date,Load_sum
p88,2060,2060-08-03,190007.18
p88,2060,2060-08-04,189382.81
p88,2060,2060-08-10,190660.62
p88,2060,2060-08-11,189950.37
p88,2061,2061-07-25,187273.98
p88,2061,2061-07-26,187027.36
p88,2061,2061-07-27,186606.59000000003
p88,2061,2061-07-29,187087.87
p88,2061,2061-08-01,189723.38
p88,2061,2061-08-02,189805.95
p88,2061,2061-08-04,190666.41
p88,2061,2061-08-05,191028.57
p88,2061,2061-08-06,184297.51
p88,2061,2061-08-07,183430.66999999998
p88,2061,2061-08-08,190199.77999999997
p88,2061,2061-08-09,190409.84
p88,2061,2061-08-10,189927.78
p88,2061,2061-08-11,189880.93
p88,2061,2061-08-12,189338.19
p88,2062,2062-06-18,176532.56
p88,2062,2062-06-19,168133.28
p88,2062,2062-06-20,183742.72
p88,2062,2062-06-25,177383.33000000002
p88,2062,2062-06-26,184412.94999999998
p88,2062,2062-06-27,183950.2
p88,2062,2062-07-11,186219.43000000002
p88,2062,2062-07-12,185932.18000000002
p88,2062,2062-07-13,185893.45
p88,2062,2062-07-19,186855.66999999998
p88,2062,2062-07-20,187268.28000000003
p88,2062,2062-07-21,186346.14
p88,2062,2062-07-23,179957.97
p88,2062,2062-07-24,187330.4
p88,2062,2062-07-25,186821.99
p88,2062,2062-07-27,187220.23
p88,2062,2062-07-28,186520.46999999997
p88,2062,2062-07-30,180909.7
p88,2062,2062-07-31,188826.11
p88,2062,2062-08-01,191190.44
p88,2062,2062-08-02,190450.31
p88,2062,2062-08-03,190905.0
p88,2062,2062-08-04,190739.82
p88,2062,2062-08-05,183923.99
p88,2062,2062-08-06,184154.95
p88,2062,2062-08-07,190730.22
p88,2062,2062-08-08,190029.23
p88,2062,2062-08-09,189233.51
p88,2062,2062-08-11,189928.38
p88,2062,2062-08-12,183958.17
p88,2062,2062-08-13,184061.65
p88,2062,2062-08-14,190160.86
p88,2062,2062-08-15,189561.43
p88,2062,2062-08-16,189684.72
p88,2062,2062-08-17,189867.09
p88,2062,2062-08-18,188533.19999999998
p88,2063,2063-06-19,168602.85
p88,2063,2063-06-20,184759.54
p88,2063,2063-06-21,184950.23
p88,2063,2063-06-22,184249.04
p88,2063,2063-06-23,176956.76
p88,2063,2063-06-24,177227.93
p88,2063,2063-06-25,184845.61
p88,2063,2063-06-26,184034.16999999998
p88,2063,2063-06-28,183952.75999999998
p88,2063,2063-07-01,181216.52
p88,2063,2063-07-02,188881.82
p88,2063,2063-07-03,187863.72
p88,2063,2063-07-04,171615.91
p88,2063,2063-07-06,186732.48
p88,2063,2063-07-07,179607.32
p88,2063,2063-07-08,179712.40999999997
p88,2063,2063-07-09,186656.68
p88,2063,2063-07-10,185843.03000000003
p88,2063,2063-07-14,179459.12
p88,2063,2063-07-15,179684.03999999998
p88,2063,2063-07-16,186572.93
p88,2063,2063-07-17,186294.53
p88,2063,2063-07-18,186584.47000000003
p88,2063,2063-07-19,187290.81
p88,2063,2063-07-20,186331.62
p88,2063,2063-07-21,179311.2
p88,2063,2063-07-22,179940.28
p88,2063,2063-07-23,187008.62
p88,2063,2063-07-24,186881.59
p88,2063,2063-07-25,187910.86
p88,2063,2063-07-26,189232.38
p88,2063,2063-07-27,188140.71
p88,2063,2063-07-28,180114.19
p88,2063,2063-07-29,181026.39
p88,2063,2063-07-30,188609.21
p88,2063,2063-07-31,187995.28999999998
p88,2063,2063-08-01,190843.79
p88,2063,2063-08-02,191288.36
p88,2063,2063-08-03,190212.62000000002
p88,2063,2063-08-04,183409.62
p88,2063,2063-08-05,183501.33000000002
p88,2063,2063-08-06,191217.22999999998
p88,2063,2063-08-07,191748.22
p88,2063,2063-08-08,191730.3
p88,2063,2063-08-09,191384.86
p88,2063,2063-08-10,190296.65000000002
p88,2063,2063-08-11,184123.40000000002
