rb,Year,Date,Load_sum
p88,2060,2060-08-03,193988.03348212317
p88,2060,2060-08-04,193350.79904122377
p88,2060,2060-08-10,194656.69277165335
p88,2060,2060-08-11,193931.77402180264
p88,2061,2061-07-25,191273.96633387555
p88,2061,2061-07-26,191022.29312821804
p88,2061,2061-07-27,190592.74918893946
p88,2061,2061-07-29,191084.73882503383
p88,2061,2061-08-01,193777.20513253327
p88,2061,2061-08-02,193861.75678119838
p88,2061,2061-08-04,194741.04028406477
p88,2061,2061-08-05,195111.15888731228
p88,2061,2061-08-06,188236.45708052852
p88,2061,2061-08-07,187351.30041729918
p88,2061,2061-08-08,194265.3102878164
p88,2061,2061-08-09,194480.07865285632
p88,2061,2061-08-10,193987.93179878843
p88,2061,2061-08-11,193940.29783621273
p88,2061,2061-08-12,193386.17177407924
p88,2062,2062-06-18,180369.49635527818
p88,2062,2062-06-19,171787.85139069246
p88,2062,2062-06-20,187736.79023886294
p88,2062,2062-06-25,181240.18133404106
p88,2062,2062-06-26,188422.85781321395
p88,2062,2062-06-27,187950.25660135667
p88,2062,2062-07-11,190271.821022285
p88,2062,2062-07-12,189978.53335434227
p88,2062,2062-07-13,189939.17356743204
p88,2062,2062-07-19,190923.62039812663
p88,2062,2062-07-20,191345.42783277127
p88,2062,2062-07-21,190403.42494537536
p88,2062,2062-07-23,183876.57957513435
p88,2062,2062-07-24,191409.7595783236
p88,2062,2062-07-25,190890.49234769034
p88,2062,2062-07-27,191297.83431712896
p88,2062,2062-07-28,190583.0474052114
p88,2062,2062-07-30,184850.48547690123
p88,2062,2062-07-31,192939.5560716149
p88,2062,2062-08-01,195355.61043897027
p88,2062,2062-08-02,194599.57465504855
p88,2062,2062-08-03,195064.38972081812
p88,2062,2062-08-04,194895.8296375784
p88,2062,2062-08-05,187931.70190978752
p88,2062,2062-08-06,188167.90568498976
p88,2062,2062-08-07,194886.67662768188
p88,2062,2062-08-08,194170.62810311315
p88,2062,2062-08-09,193357.78347262103
p88,2062,2062-08-11,194068.23355842277
p88,2062,2062-08-12,187968.10297630273
p88,2062,2062-08-13,188074.0496275511
p88,2062,2062-08-14,194306.43510818272
p88,2062,2062-08-15,193694.15457675705
p88,2062,2062-08-16,193820.3500274828
p88,2062,2062-08-17,194006.91379220897
p88,2062,2062-08-18,192644.15592045235
p88,2063,2063-06-19,172338.20085074776
p88,2063,2063-06-20,188853.04889681263
p88,2063,2063-06-21,189048.1758802249
p88,2063,2063-06-22,188331.6609872087
p88,2063,2063-06-23,180878.0007024033
p88,2063,2063-06-24,181155.382942369
p88,2063,2063-06-25,188942.08607580396
p88,2063,2063-06-26,188112.87418096687
p88,2063,2063-06-28,188030.08190546156
p88,2063,2063-07-01,185233.81708991897
p88,2063,2063-07-02,193069.26148564965
p88,2063,2063-07-03,192028.80590862222
p88,2063,2063-07-04,175420.96702400723
p88,2063,2063-07-06,190873.1281013535
p88,2063,2063-07-07,183590.17991509498
p88,2063,2063-07-08,183697.80646044906
p88,2063,2063-07-09,190796.28976772074
p88,2063,2063-07-10,189964.80787359513
p88,2063,2063-07-14,183440.13430322416
p88,2063,2063-07-15,183670.2498762095
p88,2063,2063-07-16,190712.18045631595
p88,2063,2063-07-17,190427.81758544382
p88,2063,2063-07-18,190724.40450978625
p88,2063,2063-07-19,191446.6315689989
p88,2063,2063-07-20,190466.3715670809
p88,2063,2063-07-21,183290.37273495487
p88,2063,2063-07-22,183933.61933618184
p88,2063,2063-07-23,191159.03796408378
p88,2063,2063-07-24,191029.4029184307
p88,2063,2063-07-25,192081.73317753416
p88,2063,2063-07-26,193432.802773907
p88,2063,2063-07-27,192317.1164576151
p88,2063,2063-07-28,184112.62824233074
p88,2063,2063-07-29,185045.28637583024
p88,2063,2063-07-30,192796.66564134604
p88,2063,2063-07-31,192169.33122703238
p88,2063,2063-08-01,195081.2951239173
p88,2063,2063-08-02,195535.95559303497
p88,2063,2063-08-03,194436.54656058474
p88,2063,2063-08-04,187482.68788372824
p88,2063,2063-08-05,187576.64501361744
p88,2063,2063-08-06,195464.12350292134
p88,2063,2063-08-07,196007.12659019523
p88,2063,2063-08-08,195989.02854121485
p88,2063,2063-08-09,195636.13501735605
p88,2063,2063-08-10,194523.9705936865
p88,2063,2063-08-11,188213.79769451445
p88,2063,2063-08-12,188504.32858180703
p88,2063,2063-08-13,194609.17309388696
p88,2063,2063-08-14,194032.64531101368
p88,2063,2063-08-15,194321.24162667137
p88,2063,2063-08-16,194275.7661295998
p88,2063,2063-08-18,187173.54830746856
p88,2063,2063-08-19,188325.4171701037
p88,2063,2063-08-20,194385.56663261505
p88,2063,2063-08-21,193305.22941437346
p88,2063,2063-08-23,193709.2496467292
p88,2064,2064-06-14,180913.40850630339
p88,2064,2064-06-15,181651.8355297192
p88,2064,2064-06-16,188671.05977200248
p88,2064,2064-06-17,188416.32367394667
p88,2064,2064-06-18,188770.1615002637
p88,2064,2064-06-19,173541.25213559615
p88,2064,2064-06-20,188392.76368766397
p88,2064,2064-06-21,180898.15133508114
p88,2064,2064-06-22,181719.64822231483
p88,2064,2064-06-23,188781.63035091572
p88,2064,2064-06-24,188388.46563923723
p88,2064,2064-06-25,189483.94385574825
p88,2064,2064-06-26,190415.20779972163
p88,2064,2064-06-27,189298.81098124402
p88,2064,2064-06-28,181047.06989953874
p88,2064,2064-06-29,181385.79005701494
p88,2064,2064-06-30,189122.02967752467
p88,2064,2064-07-01,192444.53948547738
p88,2064,2064-07-02,192102.74016316293
p88,2064,2064-07-03,191973.81253868015
p88,2064,2064-07-04,175098.50257848887
p88,2064,2064-07-07,191335.4091103968
p88,2064,2064-07-08,191877.31358753066
