rb,Year,Date,Load_sum
p87,2020,2020-07-13,174806.75999999998
p87,2020,2020-07-14,178733.64
p87,2020,2020-07-15,178965.57
p87,2020,2020-07-16,180226.56
p87,2020,2020-08-21,168861.05
p87,2021,2021-07-24,167012.37
p87,2026,2026-07-28,177320.38
p87,2026,2026-07-29,181421.29
p87,2026,2026-07-30,183110.13
p87,2026,2026-07-31,181982.94
p87,2026,2026-08-01,168381.27
p87,2028,2028-06-29,170040.15
p87,2028,2028-08-15,175909.58000000002
p87,2030,2030-08-19,176876.90999999997
p87,2030,2030-08-20,180286.40000000002
p87,2030,2030-08-21,180250.09999999998
p87,2030,2030-08-24,165718.43
p87,2030,2030-08-25,165092.0
p87,2030,2030-08-26,177678.64
p87,2030,2030-08-27,178084.97999999998
p87,2030,2030-08-28,179247.48
p87,2030,2030-08-29,179433.45
p87,2030,2030-08-30,175317.15
p87,2030,2030-09-03,171908.1
p87,2030,2030-09-04,175513.64
p87,2030,2030-09-05,173278.31
p87,2030,2030-09-06,172439.69999999998
p87,2030,2030-09-07,157070.66
p87,2035,2035-08-17,182769.23
p87,2035,2035-08-18,172374.22
p87,2038,2038-07-07,179720.11
p87,2038,2038-07-20,177952.15000000002
p87,2038,2038-07-30,175082.43
p87,2038,2038-07-31,168216.0
p87,2038,2038-08-26,177735.46999999997
p87,2038,2038-08-27,174840.68000000002
p87,2038,2038-08-28,162591.4
p87,2039,2039-07-29,180219.09000000003
p87,2039,2039-07-31,170671.77999999997
p87,2039,2039-08-01,182463.04
p87,2039,2039-08-07,165601.75
p87,2039,2039-08-10,175372.89
p87,2039,2039-08-11,179149.0
p87,2039,2039-08-12,181242.4
p87,2039,2039-08-13,170376.36
p87,2039,2039-08-17,175216.09
p87,2039,2039-08-18,175866.78
p87,2039,2039-08-19,176822.29
p87,2040,2040-07-11,180877.8
p87,2040,2040-07-12,177046.98
p87,2040,2040-07-14,168113.09000000003
p87,2040,2040-07-15,170285.05
p87,2040,2040-07-16,180434.75
p87,2040,2040-07-17,179051.83
p87,2040,2040-07-19,174689.5
p87,2040,2040-07-20,181675.25
p87,2040,2040-08-05,166703.7
p87,2040,2040-08-06,177831.75
p87,2040,2040-08-09,175987.71
p87,2040,2040-08-15,171956.52
p87,2040,2040-08-16,177275.63999999998
p87,2040,2040-08-17,177241.85
p87,2040,2040-08-18,163987.8
p87,2040,2040-08-19,159919.9
p87,2040,2040-08-21,169892.47
p87,2040,2040-08-25,164506.11
p87,2040,2040-08-26,167008.53999999998
p87,2040,2040-08-28,176296.93
p87,2040,2040-08-29,179743.88
p87,2040,2040-08-30,182926.01
p87,2040,2040-08-31,179168.02000000002
p87,2040,2040-09-01,162302.33
p87,2040,2040-09-02,162442.81
p87,2040,2040-09-03,159027.79
p87,2040,2040-09-04,175268.15
p87,2046,2046-07-18,178615.22999999998
p87,2046,2046-07-19,180099.39
p87,2046,2046-07-21,167194.45
p87,2046,2046-08-03,176340.55
p87,2046,2046-08-04,167768.11
p87,2046,2046-08-08,175716.07
p87,2046,2046-08-09,173455.34000000003
p87,2046,2046-08-14,176889.18
p87,2046,2046-08-18,166992.03999999998
p87,2046,2046-08-19,168329.07
p87,2047,2047-08-09,177038.05000000002
p87,2047,2047-08-10,167312.15
p87,2047,2047-08-11,170114.39
p87,2047,2047-08-12,182297.83
p87,2047,2047-08-13,182562.43
p87,2047,2047-08-14,184116.24
