rb,Year,Date,Load_sum
p87,2020,2020-07-14,177914.34
p87,2020,2020-08-21,170184.91
p87,2026,2026-07-28,175706.0
p87,2026,2026-07-29,180401.87
p87,2026,2026-07-30,181741.32
p87,2026,2026-08-01,166055.04
p87,2030,2030-08-20,178044.19
p87,2030,2030-08-21,178351.06
p87,2030,2030-08-27,172837.09000000003
p87,2030,2030-08-28,176643.54
p87,2030,2030-08-29,177144.35
p87,2030,2030-09-04,171896.11
p87,2035,2035-08-18,171782.84
p87,2038,2038-07-07,179352.75
p87,2038,2038-07-10,167990.41
p87,2038,2038-07-28,172486.89
p87,2038,2038-07-30,175878.4
p87,2039,2039-07-29,179646.62
p87,2039,2039-07-30,170434.43
p87,2039,2039-07-31,171348.39
p87,2039,2039-08-01,182757.72000000003
p87,2039,2039-08-11,176644.83000000002
p87,2039,2039-08-12,180301.03999999998
p87,2039,2039-08-17,174779.61
p87,2039,2039-08-18,176585.24
p87,2039,2039-08-19,177507.5
p87,2040,2040-07-14,166827.6
p87,2040,2040-07-15,167414.39
p87,2040,2040-07-16,179223.57
p87,2040,2040-07-17,179158.11000000002
p87,2040,2040-07-19,174661.39
p87,2040,2040-07-20,180566.77
p87,2040,2040-08-05,164242.23
p87,2040,2040-08-06,176385.05
p87,2040,2040-08-15,171415.64
p87,2040,2040-08-16,176781.84
p87,2040,2040-08-17,177702.97999999998
p87,2040,2040-08-18,164881.57
p87,2040,2040-08-25,164603.36
p87,2040,2040-08-26,165202.28
p87,2040,2040-08-28,174563.97
p87,2040,2040-08-29,182318.88
p87,2040,2040-08-30,184693.34999999998
p87,2040,2040-08-31,177963.06999999998
p87,2040,2040-09-01,161554.73
p87,2040,2040-09-03,157647.89
p87,2040,2040-09-04,174012.62
p87,2046,2046-07-17,175698.47
p87,2046,2046-07-18,177749.39
p87,2046,2046-07-19,179050.42
p87,2046,2046-07-21,167561.54
p87,2046,2046-08-03,176440.33000000002
p87,2046,2046-08-04,168054.42
p87,2046,2046-08-08,176638.38999999998
p87,2046,2046-08-09,178345.54
p87,2046,2046-08-14,177099.22999999998
p87,2046,2046-08-20,180371.97
p87,2047,2047-08-09,177772.21
p87,2047,2047-08-10,165955.72
p87,2047,2047-08-11,169114.32
p87,2047,2047-08-12,180468.61
p87,2047,2047-08-13,181003.52999999997
p87,2047,2047-08-14,183130.91999999998
p87,2047,2047-08-15,181396.94
p87,2047,2047-08-16,178581.27
p87,2047,2047-08-17,167004.75
p87,2047,2047-08-18,165710.72
p87,2047,2047-08-21,176947.12
p87,2047,2047-08-22,179172.92
p87,2047,2047-08-23,178239.11
p87,2048,2048-07-28,175225.72
p87,2048,2048-07-29,179277.85
p87,2048,2048-08-02,166271.32
p87,2048,2048-08-03,178708.51
p87,2050,2050-07-31,170500.69
p87,2050,2050-08-01,183889.85
p87,2050,2050-08-02,183969.35
p87,2050,2050-08-03,184009.07
p87,2050,2050-08-04,182726.36000000002
p87,2050,2050-08-10,177179.4
p87,2050,2050-08-11,182375.22999999998
p87,2050,2050-08-12,180848.2
p87,2051,2051-06-19,153140.92
p87,2051,2051-07-01,162294.16999999998
p87,2051,2051-07-02,163618.89
p87,2051,2051-07-03,175777.36000000002
p87,2051,2051-07-10,180881.51
p87,2051,2051-07-11,179731.84
p87,2051,2051-07-12,176856.44
p87,2051,2051-07-27,172576.25
p87,2051,2051-07-31,178641.86
p87,2051,2051-08-01,183141.65
p87,2051,2051-08-02,183891.6
p87,2051,2051-08-03,186135.52
p87,2051,2051-08-04,188244.24
p87,2051,2051-08-05,171069.56
p87,2051,2051-08-10,177948.74000000002
p87,2051,2051-08-18,176599.47
p87,2051,2051-08-19,165837.65000000002
p87,2051,2051-08-20,167786.38
p87,2051,2051-08-21,178376.51
p87,2051,2051-08-22,179769.79
p87,2051,2051-08-23,179066.97
p87,2051,2051-08-24,177834.25
p87,2051,2051-08-25,175362.91999999998
p87,2051,2051-08-26,165173.4
p87,2051,2051-08-27,151510.5
p87,2051,2051-08-29,161849.53
p87,2051,2051-08-31,166217.89
p87,2051,2051-09-01,166786.04
p87,2052,2052-06-28,168573.7
p87,2052,2052-06-29,161481.45
p87,2052,2052-06-30,159849.63
p87,2052,2052-07-06,164390.81
p87,2052,2052-07-30,174660.94
p87,2052,2052-08-01,174122.74
p87,2055,2055-07-29,178631.6
p87,2055,2055-08-07,165855.24
p87,2055,2055-08-08,169957.40000000002
p87,2055,2055-08-09,178622.28
p87,2055,2055-08-10,179888.15000000002
p87,2056,2056-08-05,167339.61
p87,2060,2060-07-07,180312.46000000002
p87,2060,2060-07-09,180651.95
p87,2060,2060-07-11,169107.34
p87,2060,2060-07-12,180909.22999999998
p87,2060,2060-07-13,182239.28
p87,2060,2060-07-14,186628.97999999998
p87,2060,2060-07-15,187061.15000000002
p87,2060,2060-07-16,186108.73
p87,2060,2060-07-17,174446.18
