rb,Year,Date,Load_sum
p54,2020,2020-07-01,311844.22
p54,2020,2020-07-08,326167.44
p54,2020,2020-07-09,323837.89
p54,2020,2020-07-10,327727.25999999995
p54,2020,2020-07-11,301602.73000000004
p54,2020,2020-07-12,292104.23
p54,2020,2020-07-13,324080.79
p54,2020,2020-07-14,325233.38999999996
p54,2020,2020-07-15,327819.07999999996
p54,2020,2020-07-16,327483.33
p54,2020,2020-07-17,313821.75
p54,2020,2020-07-18,286636.55
p54,2020,2020-07-19,296405.29
p54,2020,2020-07-20,324212.99
p54,2020,2020-07-29,303592.81
p54,2020,2020-07-30,311978.95
p54,2020,2020-07-31,308775.02
p54,2020,2020-08-01,280503.4
p54,2020,2020-08-08,290101.20999999996
p54,2020,2020-08-09,294427.43
p54,2020,2020-08-10,317453.11
p54,2020,2020-08-13,303003.69999999995
p54,2023,2023-08-17,318862.85
p54,2023,2023-08-25,321522.94
p54,2023,2023-08-26,304441.66
p54,2024,2024-08-28,299871.03
p54,2024,2024-08-29,312240.15
p54,2024,2024-08-30,281506.29000000004
p54,2026,2026-07-28,317953.85
p54,2027,2027-08-01,294987.51
p54,2027,2027-08-02,330319.78
p54,2027,2027-08-03,327982.07
p54,2027,2027-08-16,318990.37
p54,2027,2027-08-20,285928.06999999995
p54,2027,2027-08-21,277310.0
p54,2027,2027-08-22,279065.44000000006
p54,2028,2028-07-14,327410.29
p54,2028,2028-07-31,318020.52
p54,2028,2028-08-07,305442.47
p54,2028,2028-08-08,318285.06
p54,2028,2028-08-14,326894.98
p54,2028,2028-08-15,334685.83
p54,2028,2028-08-16,338186.25
p54,2028,2028-08-17,332058.96
p54,2028,2028-08-18,315857.63
p54,2028,2028-08-22,293975.48
p54,2030,2030-08-26,315094.76
p54,2030,2030-08-27,320051.02999999997
p54,2030,2030-08-28,315202.32999999996
p54,2030,2030-09-01,256967.21000000002
p54,2030,2030-09-05,305977.58999999997
p54,2030,2030-09-06,306897.14999999997
p54,2031,2031-08-02,286879.58999999997
p54,2036,2036-08-05,313961.69
p54,2036,2036-08-06,324877.05
p54,2037,2037-07-25,293498.23
p54,2037,2037-07-26,302649.33999999997
p54,2037,2037-07-27,328575.59
p54,2037,2037-08-16,295961.14
p54,2038,2038-08-24,319269.98000000004
