rb,Year,Date,Load_sum
p54,2077,2077-01-14,100582.3
p54,2077,2077-01-15,102483.20000000001
p54,2077,2077-01-22,103349.20000000001
p54,2078,2078-01-09,88875.56
p54,2078,2078-01-10,95685.14
p54,2078,2078-01-14,96629.19
p54,2078,2078-01-15,89038.75
p54,2078,2078-01-16,89934.84
p54,2078,2078-01-17,60884.5
p54,2078,2078-01-18,99011.44
p54,2079,2079-01-05,92875.84
p54,2079,2079-01-10,91793.13
p54,2079,2079-01-11,94532.32
p54,2079,2079-01-12,96923.31
p54,2079,2079-01-13,96940.54000000001
p54,2079,2079-01-14,85127.34
p54,2079,2079-01-19,94837.99999999999
p54,2079,2079-01-20,95766.68000000001
p54,2079,2079-01-21,86959.8
p54,2079,2079-01-22,84599.49
p54,2080,2080-01-05,89771.23000000001
p54,2080,2080-01-06,83891.94
p54,2080,2080-01-07,83980.95
p54,2080,2080-01-08,90536.95999999999
p54,2080,2080-01-09,89283.13
p54,2080,2080-01-10,88029.01000000001
p54,2080,2080-01-11,87669.5
p54,2080,2080-01-12,90400.95
p54,2080,2080-01-13,83331.70999999999
p54,2080,2080-01-14,82356.96
p54,2080,2080-01-15,52108.37999999999
p54,2080,2080-01-16,91720.80000000002
p54,2080,2080-01-17,91377.03
p54,2080,2080-01-18,90436.54
p54,2080,2080-01-19,92016.53
p54,2080,2080-01-20,83207.43000000001
p54,2080,2080-01-21,81043.9
p54,2080,2080-01-23,90568.54
p54,2080,2080-01-24,91904.06
p54,2080,2080-01-31,91102.18000000001
p54,2080,2080-12-31,197478.11
p54,2081,2081-01-01,49137.61
p54,2081,2081-01-02,86826.93
p54,2081,2081-01-03,85822.09
p54,2081,2081-01-04,77868.18000000001
p54,2081,2081-01-05,76378.91
p54,2081,2081-01-06,84576.20999999999
p54,2081,2081-01-07,85666.15999999999
p54,2081,2081-01-08,87593.45
p54,2081,2081-01-09,88560.34
p54,2081,2081-01-10,89152.92
p54,2081,2081-01-11,79551.45000000001
p54,2081,2081-01-12,78310.54000000001
p54,2081,2081-01-13,86596.85
p54,2081,2081-01-14,86738.99
p54,2081,2081-01-15,86999.18000000001
p54,2081,2081-01-16,86328.9
p54,2081,2081-01-17,89455.65000000001
p54,2081,2081-01-18,81179.55
p54,2081,2081-01-19,77665.60999999999
p54,2081,2081-01-21,83150.02
p54,2081,2081-01-22,84580.26
p54,2081,2081-01-23,86437.35
p54,2081,2081-01-24,90741.23999999999
p54,2081,2081-01-25,80953.63
p54,2081,2081-01-26,80178.04000000001
p54,2081,2081-01-31,85730.65
p54,2081,2081-02-01,78059.7
p54,2081,2081-12-27,196889.93
p54,2082,2082-01-01,41761.42999999999
p54,2082,2082-01-02,83191.57999999999
p54,2082,2082-01-03,75499.69
p54,2082,2082-01-04,76433.59
p54,2082,2082-01-05,83427.26
p54,2082,2082-01-06,83267.84000000001
p54,2082,2082-01-07,81837.89
p54,2082,2082-01-08,83414.75
p54,2082,2082-01-09,85675.42
p54,2082,2082-01-10,75465.51
p54,2082,2082-01-11,74522.76000000001
p54,2082,2082-01-12,83652.65
p54,2082,2082-01-13,84274.52
p54,2082,2082-01-14,81385.99
p54,2082,2082-01-15,80690.12
p54,2082,2082-01-16,82548.63
p54,2082,2082-01-17,76070.83
p54,2082,2082-01-18,76454.91
p54,2082,2082-01-19,45468.86
p54,2082,2082-01-20,85756.43999999999
p54,2082,2082-01-21,84273.78
p54,2082,2082-01-22,81830.20999999999
p54,2082,2082-01-23,83450.98
p54,2082,2082-01-24,75937.12
p54,2082,2082-01-25,73180.33
p54,2082,2082-01-26,82693.14
p54,2082,2082-01-27,83059.5
p54,2082,2082-01-28,85408.11
p54,2082,2082-01-29,84303.35
p54,2082,2082-01-30,85385.20999999999
p54,2082,2082-01-31,73694.56999999999
p54,2082,2082-02-01,73943.72
p54,2082,2082-02-02,80574.29000000001
p54,2082,2082-02-05,80184.95
p54,2082,2082-02-06,81279.99
p54,2082,2082-02-13,83796.57
p54,2082,2082-02-14,75912.92
p54,2082,2082-12-29,191853.16999999998
p54,2082,2082-12-30,193815.24
p54,2082,2082-12-31,194454.28
p54,2083,2083-01-01,40800.69
p54,2083,2083-01-02,71094.99
p54,2083,2083-01-03,71090.31
p54,2083,2083-01-04,79332.13
p54,2083,2083-01-05,78237.11
p54,2083,2083-01-06,79452.51
p54,2083,2083-01-07,80062.35999999999
p54,2083,2083-01-08,81841.11
p54,2083,2083-01-09,71996.35
p54,2083,2083-01-10,68906.56
p54,2083,2083-01-11,76311.94
p54,2083,2083-01-12,78966.79
p54,2083,2083-01-13,80603.14
p54,2083,2083-01-14,81687.77
p54,2083,2083-01-15,85308.33
p54,2083,2083-01-16,75230.78
p54,2083,2083-01-17,72879.54000000001
p54,2083,2083-01-18,40039.04
p54,2083,2083-01-19,78671.29
p54,2083,2083-01-20,78688.23999999999
p54,2083,2083-01-21,79498.7
p54,2083,2083-01-22,81145.02
p54,2083,2083-01-23,74854.45
p54,2083,2083-01-24,75455.79999999999
p54,2083,2083-01-25,78010.0
p54,2083,2083-01-26,78926.84
p54,2083,2083-01-27,79610.57
p54,2083,2083-01-28,81364.0
p54,2083,2083-01-29,80016.04000000001
p54,2083,2083-01-30,73197.41
p54,2083,2083-01-31,71318.14
p54,2083,2083-02-01,76109.09999999999
p54,2083,2083-02-02,75356.05
p54,2083,2083-02-04,73306.85999999999
p54,2083,2083-02-05,76484.81999999999
p54,2083,2083-02-06,71345.04999999999
p54,2083,2083-02-07,72389.25
p54,2083,2083-02-08,78707.91
p54,2083,2083-02-09,77726.15
p54,2083,2083-12-28,187326.77
p54,2083,2083-12-29,190051.97999999998
p54,2083,2083-12-30,191417.87
p54,2083,2083-12-31,134947.24
p54,2084,2084-01-01,40433.119999999995
p54,2084,2084-01-02,68606.37000000001
p54,2084,2084-01-03,74625.33
p54,2084,2084-01-04,73885.01999999999
p54,2084,2084-01-05,72550.93000000001
p54,2084,2084-01-06,74379.84999999999
p54,2084,2084-01-07,76090.59
p54,2084,2084-01-08,69894.57999999999
p54,2084,2084-01-09,71385.68000000001
p54,2084,2084-01-10,78326.93000000001
p54,2084,2084-01-11,77338.67000000001
p54,2084,2084-01-12,76781.68000000001
p54,2084,2084-01-13,76294.45
p54,2084,2084-01-14,76187.0
p54,2084,2084-01-15,69939.85
p54,2084,2084-01-16,69983.55
p54,2084,2084-01-17,37976.79
p54,2084,2084-01-18,79244.42
p54,2084,2084-01-19,79565.14
p54,2084,2084-01-20,77031.12000000001
p54,2084,2084-01-21,76500.79999999999
p54,2084,2084-01-22,69649.29000000001
p54,2084,2084-01-23,70606.46
p54,2084,2084-01-24,76903.37
p54,2084,2084-01-25,74274.48999999999
p54,2084,2084-01-26,77898.67
p54,2084,2084-01-27,76809.07
p54,2084,2084-01-28,76765.73000000001
p54,2084,2084-01-29,66828.44
p54,2084,2084-01-30,68138.22
p54,2084,2084-01-31,72852.81999999999
p54,2084,2084-02-01,72687.56999999999
p54,2084,2084-02-02,76621.70999999999
p54,2084,2084-02-03,77444.19
p54,2084,2084-02-04,75215.82
p54,2084,2084-02-05,68284.19
p54,2084,2084-02-06,66923.81
p54,2084,2084-02-08,71792.02
p54,2084,2084-02-09,73797.75
p54,2084,2084-02-10,74323.31000000001
p54,2084,2084-02-11,76036.76000000001
p54,2084,2084-02-12,71198.04
p54,2084,2084-02-13,68668.67
p54,2084,2084-12-23,187459.55999999997
p54,2084,2084-12-24,187841.16999999998
p54,2084,2084-12-26,183632.14
p54,2084,2084-12-27,186581.96
p54,2084,2084-12-28,187720.04
