rb,Year,Date,Load_sum
p55,2021,2021-02-11,290122.35752766643
p55,2022,2022-01-10,322422.9614940432
p55,2022,2022-01-11,308114.3755849997
p55,2022,2022-01-17,273103.6725615775
p55,2023,2023-12-24,318033.86249277135
p55,2023,2023-12-25,286772.99713971536
p55,2023,2023-12-29,302460.41669179796
p55,2023,2023-12-30,286025.6559792775
p55,2025,2025-01-20,299863.94797883934
p55,2025,2025-12-25,259166.24038251882
p55,2029,2029-12-16,274072.436560493
p55,2029,2029-12-22,309523.26194187417
p55,2029,2029-12-23,299874.5416801602
p55,2034,2034-01-18,291420.0416212749
p55,2034,2034-01-19,283084.6898676254
p55,2036,2036-01-19,268687.1488991614
p55,2036,2036-02-03,266759.83274865604
p55,2036,2036-02-04,267805.76525609987
p55,2037,2037-01-12,279922.4084431005
p55,2040,2040-12-22,266333.04068322445
p55,2051,2051-02-03,246719.7876707319
p55,2054,2054-01-06,266692.04075567704
p55,2054,2054-01-07,252202.495341379
p55,2059,2059-01-30,251395.70211502642
p55,2062,2062-01-10,259260.45897647346
p55,2062,2062-01-11,248216.5968871991
p55,2063,2063-12-24,274312.50145352446
p55,2063,2063-12-25,231282.43656014363
p55,2063,2063-12-29,228949.9676495975
p55,2065,2065-01-20,257839.85978603738
p55,2069,2069-12-22,250942.70254610045
p55,2069,2069-12-23,254336.1955172254
p55,2076,2076-02-03,230528.82376983596
p55,2080,2080-12-22,214832.3201825678
p55,2094,2094-01-06,217916.7923690889
p55,2094,2094-01-07,207303.45835984164
