rb,Year,Date,Load_sum
p35,2020,2020-07-22,47353.50202191774
p35,2020,2020-07-23,47698.994763721166
p35,2020,2020-07-28,46080.97949502782
p35,2021,2021-07-05,43199.735849232966
p35,2021,2021-07-06,46675.76366724067
p35,2021,2021-08-25,46001.22303688091
p35,2023,2023-07-07,48216.48527869526
p35,2023,2023-08-03,48878.24206482543
p35,2023,2023-08-04,49132.888426907906
p35,2023,2023-08-05,46234.56915346174
p35,2023,2023-08-06,46393.141854478934
p35,2023,2023-08-07,49761.89806391918
p35,2023,2023-08-08,48396.253444361995
p35,2024,2024-08-10,45129.07303024406
p35,2024,2024-08-11,45153.51395416666
p35,2025,2025-07-02,48541.93080020837
p35,2025,2025-07-03,49303.40868968682
p35,2025,2025-07-04,45369.29744051308
p35,2025,2025-07-05,46804.84585844843
p35,2025,2025-07-06,46636.96410154256
p35,2025,2025-07-07,49694.06992069654
p35,2025,2025-07-08,49756.54193370138
p35,2025,2025-07-09,50000.88521430095
p35,2025,2025-07-10,50361.15149199394
p35,2025,2025-07-11,48972.08310669452
p35,2025,2025-07-21,49677.272179519234
p35,2025,2025-07-22,49614.10107843878
p35,2025,2025-07-23,48180.06723827022
p35,2025,2025-07-26,45615.74452763755
p35,2025,2025-08-25,46925.35599049091
p35,2026,2026-06-17,49316.5991022332
p35,2026,2026-07-02,49442.97609146709
p35,2026,2026-08-18,48164.064540403466
p35,2026,2026-08-19,47992.96643186047
p35,2027,2027-07-25,47189.387107676506
p35,2027,2027-07-26,50600.80741205071
p35,2027,2027-07-27,51534.223991271974
p35,2028,2028-06-05,49493.9613567564
p35,2028,2028-06-23,51557.3258349499
p35,2028,2028-06-24,47601.99387632586
p35,2028,2028-06-25,47876.89760337778
p35,2028,2028-06-26,51167.03998837963
p35,2028,2028-07-21,50809.861132331374
p35,2028,2028-07-22,47726.15309321822
p35,2028,2028-07-23,46558.06559079441
p35,2028,2028-07-25,51235.19696886205
p35,2028,2028-07-26,51046.40277753118
p35,2028,2028-07-27,51056.52775310686
p35,2028,2028-07-30,47909.977136095105
p35,2028,2028-07-31,51097.54645541825
p35,2028,2028-08-05,46066.19719545085
p35,2028,2028-08-06,45280.034942093946
