rb,Year,Date,Load_sum
p35,2040,2040-12-17,69727.36898403768
p35,2040,2040-12-18,69470.21333592586
p35,2040,2040-12-20,69556.88341128491
p35,2040,2040-12-21,69714.85563159433
p35,2040,2040-12-22,66100.23620206876
p35,2040,2040-12-23,66301.06654131574
p35,2040,2040-12-24,70024.14917400264
p35,2040,2040-12-25,67085.9272058861
p35,2040,2040-12-26,70413.8010530488
p35,2040,2040-12-27,70089.18437134616
p35,2040,2040-12-28,69703.6518707905
p35,2040,2040-12-29,65991.09405734207
p35,2040,2040-12-30,66167.5602068997
p35,2040,2040-12-31,69899.9153728976
p35,2041,2041-01-01,65183.40091883164
p35,2041,2041-01-02,67211.0924910978
p35,2041,2041-01-03,67066.55128541183
p35,2041,2041-01-04,66851.9597494898
p35,2041,2041-12-15,66652.54307754875
p35,2041,2041-12-16,70644.84312773493
p35,2041,2041-12-17,70692.43628893959
p35,2041,2041-12-18,70573.09855506691
p35,2041,2041-12-19,70624.11281557211
p35,2041,2041-12-20,70883.65064340901
p35,2041,2041-12-21,67413.41401842263
p35,2041,2041-12-22,67394.9742134899
p35,2041,2041-12-23,71093.16067713876
p35,2041,2041-12-24,71054.15107391925
p35,2041,2041-12-25,67885.7797374367
p35,2041,2041-12-26,71163.82138930936
p35,2041,2041-12-27,71055.95722142827
p35,2041,2041-12-28,67408.29620459431
p35,2041,2041-12-29,67364.22291481835
p35,2041,2041-12-30,71024.08815741225
p35,2041,2041-12-31,71135.51380007814
p35,2042,2042-01-01,66134.9046569863
p35,2042,2042-01-02,67883.16159821521
p35,2042,2042-01-03,67915.11743879048
p35,2042,2042-01-04,66754.76971464997
p35,2042,2042-01-05,66690.532529601
p35,2042,2042-01-06,67893.57845680317
p35,2042,2042-01-07,67622.17035376014
p35,2042,2042-01-08,67663.15951633015
p35,2042,2042-01-09,67645.22525960507
p35,2042,2042-01-10,67487.60617313853
p35,2042,2042-01-12,66216.55911773452
p35,2042,2042-01-13,67715.82130089839
p35,2042,2042-01-14,67707.6019924688
p35,2042,2042-02-10,65757.2961160466
p35,2042,2042-02-11,65942.93944561211
p35,2042,2042-02-13,66064.18017011338
p35,2042,2042-02-14,66312.3163717946
p35,2042,2042-02-15,64623.71538035897
p35,2042,2042-02-16,64591.38576776243
p35,2042,2042-02-17,64465.2671034036
p35,2042,2042-02-18,66354.15166807528
p35,2042,2042-12-10,70816.99052623533
p35,2042,2042-12-11,71048.21355126548
p35,2042,2042-12-12,71057.5153325266
p35,2042,2042-12-13,67341.5687708031
p35,2042,2042-12-14,67659.02395260568
p35,2042,2042-12-15,71769.57065744494
p35,2042,2042-12-16,72038.8083234341
p35,2042,2042-12-17,71885.4261136005
p35,2042,2042-12-18,71623.66941579722
p35,2042,2042-12-19,71654.7331796937
p35,2042,2042-12-20,68069.26404433763
p35,2042,2042-12-21,68244.95851525007
p35,2042,2042-12-22,72173.84852237054
p35,2042,2042-12-23,72489.24356369438
p35,2042,2042-12-24,72364.86003859882
p35,2042,2042-12-25,69081.36676177861
p35,2042,2042-12-26,72414.71605035273
p35,2042,2042-12-27,68412.3498275557
p35,2042,2042-12-28,68273.17025356862
p35,2042,2042-12-29,72106.07799292284
p35,2042,2042-12-30,72503.43310646695
p35,2042,2042-12-31,72721.63816980444
p35,2043,2043-01-01,67609.34631074948
p35,2043,2043-01-02,69244.83643103031
p35,2043,2043-01-03,67727.58368947175
p35,2043,2043-01-04,67902.95327356861
p35,2043,2043-01-05,69096.25748496754
p35,2043,2043-01-06,68919.91356821742
p35,2043,2043-01-07,68783.16556616985
p35,2043,2043-01-08,68974.62582529016
p35,2043,2043-01-09,68879.13920398535
p35,2043,2043-01-10,67181.0191031401
p35,2043,2043-01-11,67102.24422334283
p35,2043,2043-01-12,68624.48541512758
p35,2043,2043-01-13,68427.40305325728
p35,2043,2043-01-14,68241.16214736142
p35,2043,2043-01-15,68406.38318466283
p35,2043,2043-01-16,68551.35231875128
p35,2043,2043-01-17,66948.14834461884
p35,2043,2043-01-18,66683.55852023394
p35,2043,2043-01-19,66276.61537864892
p35,2043,2043-01-24,66960.11759170117
p35,2043,2043-01-25,66870.58893339417
p35,2043,2043-01-28,68675.57203390436
p35,2043,2043-01-29,68465.08080213556
p35,2043,2043-01-31,67033.15117059465
p35,2043,2043-02-01,64984.40158243093
p35,2043,2043-02-02,66540.90663616186
p35,2043,2043-02-03,66455.08919698672
p35,2043,2043-02-04,66162.41247584992
p35,2043,2043-02-05,66273.28288167877
p35,2043,2043-02-06,66380.09587807233
p35,2043,2043-02-07,64594.73995711914
p35,2043,2043-02-08,65029.56913787531
p35,2043,2043-02-09,66959.61979126868
p35,2043,2043-02-10,66977.068940554
p35,2043,2043-02-11,66964.9036218892
p35,2043,2043-02-12,66884.06827018064
p35,2043,2043-02-13,67057.45959938868
p35,2043,2043-02-14,65228.46706085853
p35,2043,2043-02-15,65579.10397563188
p35,2043,2043-02-16,65844.50146514921
p35,2043,2043-02-17,67788.01203653123
p35,2043,2043-02-18,67664.59731023828
p35,2043,2043-02-19,67726.64116368037
p35,2043,2043-02-20,67601.52736041599
p35,2043,2043-02-21,65968.96747012467
p35,2043,2043-02-22,65941.5514728244
p35,2043,2043-02-23,67727.69643416326
p35,2043,2043-02-24,67606.18833264655
p35,2043,2043-02-25,67604.5268289786
p35,2043,2043-02-26,67642.60343568912
p35,2043,2043-12-06,68013.61654254822
p35,2043,2043-12-07,71935.19311845931
p35,2043,2043-12-08,72010.41247950346
p35,2043,2043-12-09,72050.44039829298
p35,2043,2043-12-10,72186.17146567482
p35,2043,2043-12-11,72455.72954114286
p35,2043,2043-12-12,68552.71777356153
p35,2043,2043-12-13,68443.4740242813
p35,2043,2043-12-14,72537.36349414471
p35,2043,2043-12-15,72672.27756834692
p35,2043,2043-12-16,72707.65600919245
p35,2043,2043-12-17,72877.0509370914
p35,2043,2043-12-18,73027.1327521202
p35,2043,2043-12-19,69205.62583535214
p35,2043,2043-12-20,69281.34060943054
p35,2043,2043-12-21,73337.22711976775
p35,2043,2043-12-22,73313.3020291241
p35,2043,2043-12-23,73236.73481507252
p35,2043,2043-12-24,73338.99328462646
p35,2043,2043-12-25,70591.79200557651
p35,2043,2043-12-26,70109.43252092632
p35,2043,2043-12-27,69932.74832191336
p35,2043,2043-12-28,73674.50267346826
p35,2043,2043-12-29,73556.76235793186
p35,2043,2043-12-30,73622.21288104264
p35,2043,2043-12-31,73812.79728653503
p35,2044,2044-01-01,68620.64478025843
p35,2044,2044-01-02,69085.19732338407
p35,2044,2044-01-03,69257.73298504567
p35,2044,2044-01-04,70714.35310414268
p35,2044,2044-01-05,70243.95606479376
p35,2044,2044-01-06,69850.97681128194
p35,2044,2044-01-07,69647.16559777338
p35,2044,2044-01-08,69670.09468432209
p35,2044,2044-01-09,68024.81917501651
p35,2044,2044-01-10,68147.44940149979
p35,2044,2044-01-11,69955.70177095455
p35,2044,2044-01-12,69911.1259571733
p35,2044,2044-01-13,69503.18362917309
p35,2044,2044-01-14,69480.50249549883
p35,2044,2044-01-15,69444.84177923501
p35,2044,2044-01-16,67712.93592527785
p35,2044,2044-01-17,67940.69914615601
p35,2044,2044-01-18,67687.43596955304
p35,2044,2044-01-19,69624.50662177138
p35,2044,2044-01-20,69512.3811024456
p35,2044,2044-01-21,69533.5663200495
p35,2044,2044-01-22,69344.02186580135
p35,2044,2044-01-23,67857.15095381868
p35,2044,2044-01-24,67989.7000654246
p35,2044,2044-01-25,69528.9105523777
p35,2044,2044-01-26,69680.57059878019
p35,2044,2044-01-27,69802.45702000987
p35,2044,2044-01-28,69934.31253402804
p35,2044,2044-01-29,69530.93172950885
p35,2044,2044-01-30,67797.25478674349
p35,2044,2044-01-31,67988.53337062986
p35,2044,2044-02-01,67348.9867095403
p35,2044,2044-02-02,67070.0820932292
p35,2044,2044-02-03,67222.77571899781
p35,2044,2044-02-04,67424.68534586062
p35,2044,2044-02-05,67475.73471901481
p35,2044,2044-02-06,65838.40185849604
p35,2044,2044-02-07,65939.72082562666
p35,2044,2044-02-08,67801.44082366074
p35,2044,2044-02-09,67583.13485125494
p35,2044,2044-02-10,67818.11304811733
p35,2044,2044-02-11,68360.0543240748
p35,2044,2044-02-12,68268.45041284498
p35,2044,2044-02-13,66722.49222004983
p35,2044,2044-02-14,66760.61773544703
p35,2044,2044-02-15,66751.705036223
p35,2044,2044-02-16,68701.10075765966
p35,2044,2044-02-17,68682.44934893296
p35,2044,2044-02-18,68708.991525596
p35,2044,2044-02-19,68906.9570411674
p35,2044,2044-02-20,67200.60963314344
p35,2044,2044-02-21,67438.66163217304
p35,2044,2044-02-22,68963.22761402564
p35,2044,2044-02-23,68691.51998760588
p35,2044,2044-02-24,68453.53778109126
p35,2044,2044-02-25,68344.65511871551
p35,2044,2044-02-26,68199.85237479763
p35,2044,2044-02-27,66170.3349797283
p35,2044,2044-02-28,66355.52657409158
p35,2044,2044-02-29,67942.5013537164
p35,2044,2044-03-01,64947.4808519495
p35,2044,2044-12-01,72323.92071911154
p35,2044,2044-12-02,72259.86365890532
p35,2044,2044-12-03,68707.27984826519
p35,2044,2044-12-04,69120.2722438427
p35,2044,2044-12-05,73176.13880833157
p35,2044,2044-12-06,73205.90055125018
p35,2044,2044-12-07,73023.13431603732
p35,2044,2044-12-08,73162.73721861106
p35,2044,2044-12-09,73235.68268126543
p35,2044,2044-12-10,69357.20253511198
p35,2044,2044-12-11,69731.43385027719
p35,2044,2044-12-12,73849.77874687467
p35,2044,2044-12-13,73717.62707600505
p35,2044,2044-12-14,73738.52436515027
p35,2044,2044-12-15,73907.53091422169
p35,2044,2044-12-16,74069.27733146709
p35,2044,2044-12-17,70090.72770108104
p35,2044,2044-12-18,70203.55569681308
p35,2044,2044-12-19,74617.44482030964
p35,2044,2044-12-20,74866.68900426957
p35,2044,2044-12-21,74798.92034175966
p35,2044,2044-12-22,74725.03048259832
p35,2044,2044-12-23,74850.14528722326
p35,2044,2044-12-24,70843.53469946072
p35,2044,2044-12-25,69147.53694114888
p35,2044,2044-12-26,72005.88622398494
p35,2044,2044-12-27,75125.38894428762
p35,2044,2044-12-28,75036.68728427429
p35,2044,2044-12-29,75027.62093256172
p35,2044,2044-12-30,74915.59210327633
p35,2044,2044-12-31,70862.84157315793
p35,2045,2045-01-01,68639.64194906462
p35,2045,2045-01-02,69690.4608625163
p35,2045,2045-01-03,71236.26012754568
p35,2045,2045-01-04,71262.86393331773
p35,2045,2045-01-05,71238.49302811848
p35,2045,2045-01-06,71022.53724048487
p35,2045,2045-01-07,69321.21949450852
p35,2045,2045-01-08,69449.75430777241
p35,2045,2045-01-09,70757.39226213844
p35,2045,2045-01-10,70489.08789520239
p35,2045,2045-01-11,70703.81211087311
p35,2045,2045-01-12,71028.95745333379
p35,2045,2045-01-13,70843.93470957883
p35,2045,2045-01-14,69226.39349780946
p35,2045,2045-01-15,69263.42217860105
p35,2045,2045-01-16,68895.9868948672
p35,2045,2045-01-17,70782.44927304173
p35,2045,2045-01-18,70496.25496678868
p35,2045,2045-01-19,70432.12492898153
p35,2045,2045-01-20,70534.6983766478
p35,2045,2045-01-21,69285.72935990586
p35,2045,2045-01-22,69297.0303935062
p35,2045,2045-01-23,70650.78447197872
p35,2045,2045-01-24,70490.55074034436
p35,2045,2045-01-25,70383.91094912078
p35,2045,2045-01-26,70485.49196873265
p35,2045,2045-01-27,70359.50995218178
p35,2045,2045-01-28,68953.48341123333
p35,2045,2045-01-29,69177.12804128476
p35,2045,2045-01-30,70846.95641393849
p35,2045,2045-01-31,70787.21297697972
p35,2045,2045-02-01,68419.99478280685
p35,2045,2045-02-02,68201.45632606497
p35,2045,2045-02-03,68114.73226278176
p35,2045,2045-02-04,66671.30585631295
p35,2045,2045-02-05,67276.2631085783
p35,2045,2045-02-06,69147.53847238034
p35,2045,2045-02-07,68949.50055666639
p35,2045,2045-02-08,69062.97998726857
p35,2045,2045-02-09,69039.42432275903
p35,2045,2045-02-10,69145.14647637984
p35,2045,2045-02-11,67664.16661178647
p35,2045,2045-02-12,67686.20258893238
p35,2045,2045-02-13,69772.41811964821
p35,2045,2045-02-14,69947.44129697775
p35,2045,2045-02-15,69952.15986122878
p35,2045,2045-02-16,69785.15408916898
p35,2045,2045-02-17,69544.85867553289
p35,2045,2045-02-18,67854.83382839971
p35,2045,2045-02-19,68093.796961447
p35,2045,2045-02-20,67911.63971713037
p35,2045,2045-02-21,69863.09510079434
p35,2045,2045-02-22,69946.96747263803
p35,2045,2045-02-23,69840.80231358168
p35,2045,2045-02-24,69410.20322496357
p35,2045,2045-02-25,67486.54416707155
p35,2045,2045-02-26,67465.09626963326
p35,2045,2045-02-27,68985.9933681601
p35,2045,2045-02-28,68948.26163476921
p35,2045,2045-03-01,66419.59137256608
p35,2045,2045-03-02,66319.91245864103
p35,2045,2045-03-03,65693.32400448181
p35,2045,2045-11-26,66360.80526162095
p35,2045,2045-11-27,70066.7338047382
p35,2045,2045-11-28,70231.60761543697
p35,2045,2045-11-29,70252.53458638329
p35,2045,2045-11-30,70511.88642666278
p35,2045,2045-12-01,73572.07357054464
p35,2045,2045-12-02,69558.27885833725
p35,2045,2045-12-03,69862.96048059684
p35,2045,2045-12-04,73944.34263442647
p35,2045,2045-12-05,73868.59001099244
p35,2045,2045-12-06,74141.16569711438
p35,2045,2045-12-07,74477.39304727028
p35,2045,2045-12-08,74514.84034179641
p35,2045,2045-12-09,70549.1007535204
p35,2045,2045-12-10,70612.9013212662
p35,2045,2045-12-11,74777.87244998857
p35,2045,2045-12-12,74607.26172868173
p35,2045,2045-12-13,74615.46147634917
p35,2045,2045-12-14,75276.0492931302
p35,2045,2045-12-15,75540.66526009068
p35,2045,2045-12-16,71570.459984035
p35,2045,2045-12-17,71618.81076896697
p35,2045,2045-12-18,75710.81809459253
p35,2045,2045-12-19,75752.07638264015
p35,2045,2045-12-20,75887.88809313749
p35,2045,2045-12-21,76056.44004665248
p35,2045,2045-12-22,76051.63827588216
p35,2045,2045-12-23,72211.72416003013
p35,2045,2045-12-24,72438.33039791176
p35,2045,2045-12-25,73292.91375385746
p35,2045,2045-12-26,76444.05150907832
p35,2045,2045-12-27,76214.18110775847
p35,2045,2045-12-28,76067.4581506002
p35,2045,2045-12-29,75797.75238717243
p35,2045,2045-12-30,71980.63870311958
p35,2045,2045-12-31,72411.0314420113
p35,2046,2046-01-01,71215.42740155297
p35,2046,2046-01-02,72662.97470000257
p35,2046,2046-01-03,72511.19108358143
p35,2046,2046-01-04,72406.34686503003
p35,2046,2046-01-05,71914.48213886592
p35,2046,2046-01-06,70599.12785330933
p35,2046,2046-01-07,70920.02462492569
p35,2046,2046-01-08,72433.67723993793
p35,2046,2046-01-09,72183.28125713293
p35,2046,2046-01-10,71920.54206899443
p35,2046,2046-01-11,72012.50060579408
p35,2046,2046-01-12,72042.05679609734
p35,2046,2046-01-13,70409.9310554246
p35,2046,2046-01-14,70440.77138924522
p35,2046,2046-01-15,70239.0717590659
p35,2046,2046-01-16,72170.23739472467
p35,2046,2046-01-17,72085.05832157713
p35,2046,2046-01-18,71666.88719340424
p35,2046,2046-01-19,71376.89963222278
p35,2046,2046-01-20,69927.69291099459
p35,2046,2046-01-21,70138.6590641608
p35,2046,2046-01-22,71431.1491992543
p35,2046,2046-01-23,71494.83527996913
p35,2046,2046-01-24,71781.01314633778
p35,2046,2046-01-25,71689.49299203578
p35,2046,2046-01-26,71572.42692976505
p35,2046,2046-01-27,70045.92305269814
p35,2046,2046-01-28,70150.35457314482
p35,2046,2046-01-29,71478.70447187558
p35,2046,2046-01-30,71753.32017212932
p35,2046,2046-01-31,72156.27653734876
p35,2046,2046-02-01,69889.21887680101
p35,2046,2046-02-02,69544.3670915036
p35,2046,2046-02-03,67945.95502531921
p35,2046,2046-02-04,68084.22883810734
p35,2046,2046-02-05,69960.1278163783
p35,2046,2046-02-06,70079.59817348476
p35,2046,2046-02-07,69974.58805913838
p35,2046,2046-02-08,70299.05214515561
p35,2046,2046-02-09,70354.11743629519
p35,2046,2046-02-10,68878.57123350922
p35,2046,2046-02-11,68975.47251157534
p35,2046,2046-02-12,70374.69260778558
p35,2046,2046-02-13,70635.33260548652
p35,2046,2046-02-14,70636.71491686582
p35,2046,2046-02-15,70530.92781175139
p35,2046,2046-02-16,70614.54338405596
p35,2046,2046-02-17,69233.58915204863
p35,2046,2046-02-18,69362.14130661434
p35,2046,2046-02-19,69417.15607509925
p35,2046,2046-02-20,70985.62861202288
p35,2046,2046-02-21,70958.69546459956
p35,2046,2046-02-22,70654.8480259832
p35,2046,2046-02-23,70756.18332515188
p35,2046,2046-02-24,69100.76859874712
p35,2046,2046-02-25,69180.5029831383
p35,2046,2046-02-26,70884.52218001515
p35,2046,2046-02-27,70479.43714227072
p35,2046,2046-02-28,70251.98925686574
p35,2046,2046-03-01,67488.81304185408
p35,2046,2046-03-02,67280.5334706202
p35,2046,2046-03-03,64626.94402590078
p35,2046,2046-03-04,64774.00533106809
p35,2046,2046-03-05,66834.66447138441
p35,2046,2046-03-06,66678.23970113306
p35,2046,2046-11-23,70791.70837445951
p35,2046,2046-11-24,67181.90276942897
p35,2046,2046-11-25,67619.55106467291
p35,2046,2046-11-26,71391.36942605244
p35,2046,2046-11-27,71069.76865179716
p35,2046,2046-11-28,71221.38590554209
p35,2046,2046-11-29,71168.57165632995
p35,2046,2046-11-30,71174.92885290475
p35,2046,2046-12-01,70765.3256529774
p35,2046,2046-12-02,71028.44291564586
p35,2046,2046-12-03,75127.56961096411
p35,2046,2046-12-04,75090.44696998013
p35,2046,2046-12-05,75107.5229957472
p35,2046,2046-12-06,75336.26696391568
p35,2046,2046-12-07,75249.39977274869
p35,2046,2046-12-08,71480.2944078571
p35,2046,2046-12-09,72009.88873647983
p35,2046,2046-12-10,76265.97249824238
p35,2046,2046-12-11,76256.44958494155
p35,2046,2046-12-12,76112.83436923903
p35,2046,2046-12-13,76117.80184497527
p35,2046,2046-12-14,76419.68294508153
p35,2046,2046-12-15,72533.3412435647
p35,2046,2046-12-16,72839.63851683949
p35,2046,2046-12-17,77093.48386258367
p35,2046,2046-12-18,77132.56489872224
p35,2046,2046-12-19,77231.34755497002
p35,2046,2046-12-20,77243.28727336481
p35,2046,2046-12-21,77161.60344469179
p35,2046,2046-12-22,73085.1919878747
p35,2046,2046-12-23,73320.31577170968
p35,2046,2046-12-24,77399.91921150187
p35,2046,2046-12-25,74282.9246560674
p35,2046,2046-12-26,77930.6679491177
p35,2046,2046-12-27,77699.40587335026
p35,2046,2046-12-28,77296.25579814636
p35,2046,2046-12-29,73050.73228583764
p35,2046,2046-12-30,73227.43995915703
p35,2046,2046-12-31,77452.94924064312
p35,2047,2047-01-01,72152.69228779092
p35,2047,2047-01-02,74126.74433483003
p35,2047,2047-01-03,74066.6469088737
p35,2047,2047-01-04,73838.88944668435
p35,2047,2047-01-05,72069.24099329345
p35,2047,2047-01-06,72111.49477604617
p35,2047,2047-01-07,73406.31070831222
p35,2047,2047-01-08,73436.72624713209
p35,2047,2047-01-09,73258.08364307194
p35,2047,2047-01-10,73220.36915139285
p35,2047,2047-01-11,73396.59149214032
p35,2047,2047-01-12,72059.0794096846
p35,2047,2047-01-13,71792.56578570193
p35,2047,2047-01-14,72958.15273386565
p35,2047,2047-01-15,73003.50544956655
p35,2047,2047-01-16,72898.14552785398
p35,2047,2047-01-17,72690.71863247025
p35,2047,2047-01-18,72501.4188761103
p35,2047,2047-01-19,71344.78730804868
p35,2047,2047-01-20,71471.32321355236
p35,2047,2047-01-21,71091.89568469215
p35,2047,2047-01-22,72719.49421292573
p35,2047,2047-01-23,72581.34176061656
p35,2047,2047-01-24,72492.80492726101
p35,2047,2047-01-25,72585.74869683369
p35,2047,2047-01-26,71496.08255314858
p35,2047,2047-01-27,71724.23130100568
p35,2047,2047-01-28,73245.82180641977
p35,2047,2047-01-29,72924.83626519816
p35,2047,2047-01-30,73008.66611677405
p35,2047,2047-01-31,73198.14316978696
p35,2047,2047-02-01,70813.73979657819
p35,2047,2047-02-02,69062.51929985275
p35,2047,2047-02-03,69362.28420295988
p35,2047,2047-02-04,71129.54475415616
p35,2047,2047-02-05,71281.63285756916
p35,2047,2047-02-06,71198.77313188915
p35,2047,2047-02-07,70946.06360693058
