rb,Year,Date,Load_sum
p17,2020,2020-01-08,55279.59269142504
p17,2020,2020-01-09,53948.33620184934
p17,2020,2020-01-27,56141.01050617879
p17,2020,2020-01-28,55811.29317750686
p17,2020,2020-01-29,55326.792664267196
p17,2021,2021-02-10,54425.522524922126
p17,2022,2022-01-06,54259.81063834265
p17,2022,2022-01-16,53072.78820560771
p17,2022,2022-01-21,55447.746556333565
p17,2022,2022-01-22,55228.04062411071
p17,2022,2022-02-03,52463.241407210444
p17,2022,2022-02-04,54581.054415433064
p17,2022,2022-02-05,52433.529179214966
p17,2022,2022-02-09,54290.08663823987
p17,2023,2023-12-17,54268.21531961915
p17,2023,2023-12-18,56582.699347143454
p17,2023,2023-12-20,59015.56783206426
p17,2023,2023-12-21,60863.38536802965
p17,2023,2023-12-22,61183.485522344956
p17,2023,2023-12-23,58027.14487820884
p17,2023,2023-12-24,59471.29416761125
p17,2023,2023-12-25,55440.63560031197
p17,2024,2024-01-17,55706.9451811407
p17,2025,2025-01-30,57972.772367227924
p17,2025,2025-01-31,58029.82044496007
p17,2025,2025-02-01,54986.00050047402
p17,2025,2025-02-02,54151.06727227776
p17,2025,2025-02-03,55600.602832169956
p17,2025,2025-02-04,56029.35697815407
p17,2025,2025-11-23,52761.10085403547
p17,2025,2025-11-26,56343.67993392493
p17,2025,2025-11-27,52129.48347903885
p17,2025,2025-11-28,54270.74082539641
p17,2025,2025-12-01,59843.795927631545
p17,2025,2025-12-02,57973.860611398544
p17,2029,2029-02-01,62782.37238779476
p17,2029,2029-02-02,66588.86077559317
p17,2029,2029-02-03,64801.251627314785
p17,2029,2029-02-04,61454.55656130787
p17,2029,2029-02-05,58668.56619743531
p17,2029,2029-12-21,60557.704588846915
p17,2029,2029-12-22,55640.53781132788
p17,2030,2030-12-19,65410.323298574134
p17,2030,2030-12-20,68122.95807655001
p17,2030,2030-12-21,63067.435561623126
p17,2030,2030-12-22,61837.6615599814
p17,2030,2030-12-23,61610.41917045221
p17,2030,2030-12-28,59796.70569885138
p17,2030,2030-12-29,64435.43451617252
p17,2030,2030-12-30,63382.03515163595
p17,2033,2033-02-16,61218.245012242216
p17,2033,2033-02-17,60761.44438281116
p17,2034,2034-02-07,62316.2280221184
p17,2034,2034-02-08,61917.60605125672
p17,2034,2034-02-09,58353.71110103957
p17,2036,2036-01-29,65901.73648988144
p17,2036,2036-01-30,65770.40196305614
p17,2036,2036-02-01,62785.86955433602
p17,2036,2036-02-02,62986.23257153582
p17,2036,2036-02-03,60801.825808598776
p17,2036,2036-12-26,63808.70988240515
p17,2037,2037-01-11,60315.2419963314
p17,2037,2037-01-12,65624.85767821073
p17,2037,2037-01-13,64303.38733027689
p17,2037,2037-01-25,63277.68031472301
p17,2038,2038-01-11,66175.0325357571
p17,2038,2038-01-12,64597.47064083934
p17,2044,2044-01-05,71240.6320196144
p17,2045,2045-01-14,66783.80849077349
p17,2046,2046-02-17,69420.08934336026
p17,2048,2048-12-14,77038.89450029329
p17,2048,2048-12-15,76696.1339331546
p17,2048,2048-12-16,72827.79183070111
p17,2051,2051-02-25,72579.29233472302
p17,2053,2053-12-06,74613.96250402599
p17,2053,2053-12-07,76254.47771846796
p17,2053,2053-12-08,78384.69071954218
p17,2054,2054-02-06,78124.10878054342
p17,2054,2054-03-01,73637.11413643372
p17,2054,2054-03-02,73708.95501216315
p17,2056,2056-12-17,77008.49408074167
p17,2059,2059-03-02,74816.87487373978
p17,2059,2059-03-03,79058.52377509001
p17,2060,2060-01-08,83390.45510640294
p17,2061,2061-02-10,82107.33125641348
p17,2062,2062-01-16,80295.31766402538
p17,2062,2062-02-04,80504.68062672415
p17,2062,2062-02-09,82254.3319521569
p17,2063,2063-12-17,85788.25293117635
p17,2063,2063-12-21,91465.78792224205
p17,2063,2063-12-22,87121.04961801405
p17,2063,2063-12-23,87371.7211666492
p17,2063,2063-12-24,94788.07044540683
p17,2063,2063-12-25,83533.60908541446
p17,2065,2065-01-30,88275.9938460314
p17,2065,2065-02-01,83622.11829642131
p17,2065,2065-02-02,84383.34334646164
p17,2065,2065-02-03,84667.1049130121
p17,2065,2065-02-04,85373.15807824093
p17,2065,2065-11-23,85218.28343257101
p17,2065,2065-11-26,82454.73223056376
p17,2065,2065-12-02,88196.59115360006
p17,2069,2069-02-01,95283.88196635233
p17,2069,2069-02-02,99103.44594828291
p17,2069,2069-02-03,98519.12970466887
p17,2069,2069-02-04,95861.08632998951
p17,2069,2069-12-21,88062.95118693294
p17,2069,2069-12-22,84970.380481242
p17,2070,2070-12-19,99429.71789717914
p17,2070,2070-12-20,97400.99061257423
p17,2070,2070-12-21,96264.99602960555
p17,2070,2070-12-22,99881.74359893671
p17,2070,2070-12-28,91314.57068305621
p17,2070,2070-12-29,104418.12174811406
p17,2070,2070-12-30,97074.26614960158
p17,2074,2074-02-08,94390.25826646521
p17,2076,2076-01-29,100667.65996956878
p17,2076,2076-01-30,100303.3147278369
p17,2076,2076-02-01,93617.41337917953
p17,2076,2076-02-02,96040.51794452508
p17,2076,2076-02-03,95192.48143216864
p17,2077,2077-01-11,94741.37387770503
p17,2077,2077-01-12,100170.15993656864
p17,2077,2077-01-25,98982.40191481455
p17,2084,2084-01-05,109041.32509416212
p17,2085,2085-01-14,102659.68884064452
p17,2088,2088-12-15,117337.64181490274
p17,2093,2093-12-06,113903.91574582731
p17,2093,2093-12-07,122908.16657460204
p17,2093,2093-12-08,119598.76004477538
p17,2094,2094-02-06,117187.43373332846
p17,2094,2094-03-01,117071.58632780108
p17,2094,2094-03-02,113201.4726610453
p17,2096,2096-12-17,124748.13675214682
p17,2099,2099-03-02,118756.63407603095
p17,2099,2099-03-03,121054.23907747312
