rb,Year,Date,Load_sum
p40,2020,2020-07-06,124161.54288443446
p40,2020,2020-07-11,119977.3368874414
p40,2020,2020-07-29,121045.15969106939
p40,2020,2020-07-30,122253.51973704441
p40,2020,2020-08-06,125491.77035299409
p40,2020,2020-08-07,132784.91441376886
p40,2020,2020-08-08,117898.19620087132
p40,2021,2021-07-11,119124.72084661524
p40,2023,2023-08-16,137639.0159685248
p40,2023,2023-08-18,134418.46083953424
p40,2024,2024-08-28,126890.1476581906
p40,2025,2025-07-07,125100.14404267682
p40,2027,2027-07-30,137111.82557348808
p40,2027,2027-08-01,131813.46924597822
p40,2028,2028-06-21,127760.59529708514
p40,2028,2028-06-24,116745.09206100127
p40,2028,2028-07-14,136726.61614862428
p40,2028,2028-07-31,137589.16380206903
p40,2028,2028-08-14,142195.75596311648
p40,2028,2028-08-15,145994.29655515018
p40,2028,2028-08-16,147626.88562691605
p40,2029,2029-06-20,121695.05610061034
p40,2029,2029-07-05,132809.02983691567
p40,2029,2029-07-06,135497.716832239
p40,2029,2029-07-07,125466.28832685875
p40,2029,2029-07-08,123988.4845846449
p40,2029,2029-07-09,139271.20875947634
p40,2029,2029-07-10,140932.49093737113
p40,2029,2029-08-04,135550.89722817915
p40,2029,2029-08-05,118611.00532221125
p40,2030,2030-07-02,140365.15288745658
p40,2030,2030-07-03,144514.2732986213
p40,2030,2030-08-25,127155.58401842519
p40,2030,2030-08-26,141744.38830133624
p40,2030,2030-08-27,142060.1099089167
p40,2030,2030-08-28,136981.66368879873
p40,2030,2030-08-30,130651.69094400876
p40,2030,2030-08-31,122666.56462319018
p40,2031,2031-08-25,134309.90359958267
p40,2034,2034-07-04,118453.91790871965
p40,2034,2034-08-07,135008.18963122333
p40,2034,2034-08-16,123604.00820995528
p40,2034,2034-08-24,134566.5893435479
p40,2034,2034-08-27,134989.4592474002
p40,2035,2035-07-11,147069.63838442994
p40,2035,2035-07-12,147580.70952108782
p40,2035,2035-08-08,154827.386477961
p40,2035,2035-08-11,139877.8235595397
p40,2036,2036-07-17,146913.81208406924
p40,2037,2037-07-16,148035.26221153134
p40,2037,2037-07-17,148937.35100847032
p40,2037,2037-07-18,139149.7621032265
p40,2037,2037-07-19,138392.98860464868
p40,2037,2037-07-23,148066.8634515085
p40,2037,2037-07-24,152588.7611615287
p40,2037,2037-07-25,141280.7998935488
p40,2037,2037-07-26,143520.9884312595
p40,2037,2037-07-27,147399.39983083165
p40,2038,2038-07-19,148985.44407813612
p40,2038,2038-07-20,151803.47754207678
p40,2038,2038-07-21,150666.7125247721
p40,2038,2038-08-23,143670.5384266858
p40,2038,2038-08-24,147435.83413858077
p40,2038,2038-09-05,117495.03430277319
p40,2038,2038-09-06,115883.70314538448
p40,2039,2039-07-29,154788.35033690944
p40,2039,2039-07-30,143246.90944707303
p40,2040,2040-07-02,152870.51177643245
p40,2040,2040-07-05,152924.94291470046
p40,2040,2040-07-06,153681.05954129872
p40,2040,2040-07-07,143988.96085257817
p40,2040,2040-07-08,143907.212505003
p40,2040,2040-07-09,158539.14269997706
p40,2040,2040-07-13,151387.7792395486
p40,2040,2040-07-14,141170.0920283155
p40,2040,2040-07-15,141042.39862310607
p40,2040,2040-07-16,150073.9489496827
p40,2040,2040-07-26,147051.80170173667
p40,2040,2040-08-01,146991.68272146463
p40,2040,2040-08-04,134161.46947037152
p40,2040,2040-08-05,139256.88310513564
p40,2040,2040-08-07,145414.48897784372
p40,2040,2040-08-08,152330.71559548742
p40,2040,2040-08-09,145989.86308660102
p40,2040,2040-08-10,148259.19058711315
p40,2040,2040-08-11,137180.4053385407
p40,2040,2040-08-12,142382.3655095154
p40,2040,2040-08-14,152903.39882144553
p40,2040,2040-08-15,146711.62750310212
p40,2040,2040-08-16,144113.66432580896
p40,2040,2040-08-25,130434.75884536214
p40,2040,2040-08-28,154491.17279832435
p40,2040,2040-08-30,142155.3619921185
p40,2040,2040-09-02,127307.8006593021
p40,2041,2041-07-07,145027.30350258536
p40,2041,2041-07-30,154163.0890301393
p40,2041,2041-08-03,145341.37466512647
p40,2041,2041-08-04,147277.4302838572
p40,2041,2041-08-05,161194.1991951106
p40,2041,2041-08-06,160670.9340118545
p40,2041,2041-08-21,144663.32637051743
p40,2042,2042-06-29,130669.09540219314
p40,2042,2042-06-30,144715.78016198424
p40,2042,2042-07-08,159162.10424933466
p40,2042,2042-07-09,160299.4150693946
p40,2042,2042-07-16,145421.15984281764
p40,2042,2042-07-17,150304.4232847363
p40,2042,2042-07-18,155044.79499970825
p40,2042,2042-07-19,144290.49851482932
p40,2042,2042-07-20,149182.62919203073
p40,2042,2042-07-21,163169.91783544654
p40,2042,2042-07-24,145557.89873285958
p40,2042,2042-07-25,153612.01312546385
p40,2042,2042-07-27,136630.6444319457
p40,2042,2042-07-30,152826.9542941176
p40,2042,2042-07-31,158990.3388411545
p40,2042,2042-08-01,152690.8788249067
p40,2042,2042-08-11,148759.7992044569
p40,2043,2043-07-03,130844.29181663634
p40,2043,2043-07-14,149316.9917599425
p40,2043,2043-07-16,148776.05479884095
p40,2043,2043-07-17,156781.31196366888
p40,2043,2043-07-18,143586.95414939115
p40,2043,2043-07-20,153575.5101146267
p40,2043,2043-07-21,148002.05574479848
p40,2043,2043-07-25,139085.56329206782
p40,2043,2043-07-26,148129.72547985183
p40,2043,2043-07-27,150690.09417680965
p40,2043,2043-08-16,143478.5523920136
p40,2043,2043-08-17,155548.93354049692
p40,2043,2043-08-20,160847.82165299662
p40,2043,2043-08-21,156819.91326399177
p40,2043,2043-08-22,127197.21839293816
p40,2043,2043-08-23,135378.04278725502
p40,2043,2043-08-24,152884.18636137762
p40,2043,2043-08-26,154452.7112996273
p40,2044,2044-07-19,151201.82764251542
p40,2044,2044-07-20,159433.52659234166
p40,2044,2044-08-01,156634.02710608163
p40,2044,2044-08-02,161988.87949916552
p40,2044,2044-08-03,159724.9102128712
p40,2045,2045-07-16,143163.6586330195
p40,2045,2045-07-19,149968.10383740556
p40,2045,2045-07-20,168828.9283559992
p40,2045,2045-07-21,162505.94078995203
p40,2045,2045-07-22,153026.34105147756
p40,2045,2045-07-23,153163.01456793133
p40,2045,2045-07-24,169179.07803313778
p40,2045,2045-07-25,159938.80503688025
p40,2045,2045-07-30,136447.24342415878
p40,2045,2045-08-02,161969.94541037054
p40,2045,2045-08-03,162760.6059713293
p40,2045,2045-08-08,158344.13696626812
p40,2046,2046-06-20,139643.33573574317
p40,2046,2046-06-30,132379.50127132333
p40,2046,2046-07-13,162114.40986720385
p40,2046,2046-07-14,144735.6522416329
p40,2046,2046-07-15,141970.90834397913
p40,2046,2046-07-16,158917.8186350981
p40,2046,2046-07-17,162525.75961601123
p40,2046,2046-07-18,155313.399588127
p40,2046,2046-07-19,167321.07091813767
p40,2046,2046-07-20,159284.94279809273
p40,2046,2046-07-25,159689.5647498995
p40,2046,2046-07-26,160030.16702947454
p40,2046,2046-07-28,148100.71523015865
p40,2046,2046-07-29,154533.73945664472
p40,2046,2046-07-30,169746.7790635932
p40,2046,2046-07-31,168883.3514337436
p40,2046,2046-08-09,165117.7707316649
p40,2046,2046-08-10,164143.1059425269
p40,2046,2046-08-23,147239.04630846294
p40,2046,2046-08-24,155978.2857289515
p40,2047,2047-08-09,164164.4886130165
p40,2047,2047-08-10,155175.7744474088
p40,2047,2047-08-11,157470.5728079156
p40,2047,2047-08-12,162857.04312007283
p40,2047,2047-08-13,166644.95394433773
p40,2047,2047-08-14,167432.77432896406
p40,2047,2047-08-20,165174.130640889
p40,2047,2047-08-21,166307.88912336298
p40,2047,2047-08-27,159995.95877955976
p40,2048,2048-07-20,161064.1877784629
p40,2048,2048-08-02,151662.16796844907
p40,2048,2048-08-03,174198.99938382366
p40,2048,2048-08-04,171118.43382026395
p40,2049,2049-08-07,145722.8961335267
p40,2049,2049-08-08,160959.03300795326
p40,2050,2050-08-11,174499.6061792443
p40,2050,2050-08-12,170689.7957783093
p40,2051,2051-06-30,158431.75142290644
p40,2051,2051-07-16,162980.48069165976
p40,2051,2051-07-17,181429.52635804616
p40,2051,2051-07-18,181083.34134081902
p40,2051,2051-07-19,178219.90543086483
p40,2051,2051-07-20,180494.2250074516
p40,2051,2051-07-21,164918.02231075364
p40,2051,2051-07-23,157825.20442924957
p40,2051,2051-07-26,171827.10541354213
p40,2051,2051-07-27,174525.5430998752
p40,2051,2051-07-31,170945.38408908845
p40,2051,2051-08-01,180255.2656232876
p40,2051,2051-08-02,183380.17596344242
p40,2051,2051-08-18,155885.38616624658
p40,2051,2051-08-22,163608.02341351606
p40,2051,2051-08-23,172693.17568200064
p40,2051,2051-08-24,159347.3030107651
p40,2051,2051-08-26,140103.0565846855
p40,2051,2051-08-31,161488.7803844685
p40,2051,2051-09-01,161547.877668962
p40,2051,2051-09-02,149171.9146230746
p40,2052,2052-06-18,156392.82396997328
p40,2052,2052-06-19,133129.60765853297
p40,2052,2052-06-24,153642.72144971843
p40,2052,2052-06-26,146148.75259741864
p40,2052,2052-06-27,164020.38990784148
p40,2052,2052-06-28,158316.33927862893
p40,2052,2052-06-29,144697.1390570217
p40,2052,2052-06-30,143683.39774669005
p40,2052,2052-07-01,170106.81271904556
p40,2052,2052-07-02,173803.2149709547
p40,2052,2052-07-03,177194.49977268084
p40,2052,2052-07-04,148997.6783755455
p40,2052,2052-07-05,176962.78143465763
p40,2052,2052-07-06,164119.75679863253
p40,2052,2052-07-13,153126.7078265773
p40,2052,2052-07-14,151935.42244685497
p40,2052,2052-07-15,169549.70145598537
p40,2052,2052-07-16,173985.21715104338
p40,2052,2052-07-17,175044.59048816562
p40,2052,2052-07-18,176782.33353232878
p40,2052,2052-07-19,175281.65634818742
p40,2052,2052-07-20,158291.6655374857
