rb,Year,Date,Load_sum
p40,2020,2020-07-06,125737.70163055195
p40,2020,2020-07-10,131606.42546088077
p40,2020,2020-07-13,124977.26458529322
p40,2020,2020-07-17,123654.25436745367
p40,2020,2020-07-19,113415.71994936895
p40,2020,2020-07-29,123629.6944754762
p40,2020,2020-07-30,122948.03000970298
p40,2020,2020-08-03,121419.1751384624
p40,2020,2020-08-06,126948.86877867964
p40,2020,2020-08-07,133563.20210406272
p40,2020,2020-08-09,114564.56641531872
p40,2020,2020-08-19,129359.89682144797
p40,2020,2020-08-24,122262.07672861728
p40,2020,2020-09-06,104251.12295880131
p40,2021,2021-07-11,118204.84115976113
p40,2023,2023-07-19,132294.49859661446
p40,2023,2023-08-15,133007.3009543959
p40,2023,2023-08-16,136905.1914743447
p40,2023,2023-08-17,139875.31761480638
p40,2023,2023-08-18,136502.72573533567
p40,2023,2023-08-25,127686.16005420976
p40,2024,2024-08-27,133377.09554595934
p40,2024,2024-08-28,127782.07507276276
p40,2024,2024-08-29,124229.4538583235
p40,2024,2024-08-31,99809.24806743415
p40,2024,2024-09-06,101214.95855143975
p40,2025,2025-07-07,127482.71083224846
p40,2025,2025-08-08,121763.16771143864
p40,2025,2025-08-31,116529.19282712268
p40,2025,2025-09-01,103930.83041803002
p40,2025,2025-09-06,114407.05827411343
p40,2026,2026-07-29,131269.4836313913
p40,2027,2027-07-30,137593.21765234656
p40,2027,2027-08-01,132370.25802357885
p40,2027,2027-08-02,145511.72735204734
p40,2027,2027-08-03,136307.3506064851
p40,2027,2027-08-21,123214.66463751649
p40,2028,2028-06-19,107949.76341683953
p40,2028,2028-06-20,128285.43192786082
p40,2028,2028-06-21,129793.35145583077
p40,2028,2028-06-22,125223.0752261066
p40,2028,2028-06-23,123037.77769213621
p40,2028,2028-06-24,118737.29061152287
p40,2028,2028-06-25,116226.83234267958
p40,2028,2028-07-13,137830.04657262462
p40,2028,2028-07-14,140282.91541688985
p40,2028,2028-07-15,133021.89578553376
p40,2028,2028-07-30,123875.54194568231
p40,2028,2028-07-31,138939.43931697993
p40,2028,2028-08-01,141053.3265751709
p40,2028,2028-08-02,140700.09924178995
p40,2028,2028-08-07,133979.70387019648
p40,2028,2028-08-10,137072.79110985575
p40,2028,2028-08-11,141022.503152756
p40,2028,2028-08-13,132119.4291210362
p40,2028,2028-08-14,142441.39212059713
p40,2028,2028-08-15,143768.00835388055
p40,2028,2028-08-16,145864.39114689312
p40,2029,2029-06-20,122842.82435331016
p40,2029,2029-07-05,135245.59301631112
p40,2029,2029-07-06,136308.62317543654
p40,2029,2029-07-07,127524.15737321172
p40,2029,2029-07-08,124856.75681047706
p40,2029,2029-07-09,140419.23924712115
p40,2029,2029-07-10,141072.11162788962
p40,2029,2029-07-29,127769.04655591023
p40,2029,2029-08-04,135892.00359975832
p40,2029,2029-08-05,119610.33645812585
p40,2029,2029-08-31,136674.26721405634
p40,2030,2030-07-01,141397.48762661614
p40,2030,2030-07-02,142371.14502329158
p40,2030,2030-07-03,145300.37662963913
p40,2030,2030-07-04,119273.36123939055
p40,2030,2030-08-25,129555.95485485785
p40,2030,2030-08-26,141614.3084642333
p40,2030,2030-08-27,141620.8797470359
p40,2030,2030-08-28,136322.94628830114
p40,2030,2030-08-30,132695.32190395735
p40,2030,2030-08-31,123459.48365763295
p40,2030,2030-09-01,120041.46897134875
p40,2030,2030-09-02,112882.05570229146
p40,2030,2030-09-03,126503.3684811088
p40,2030,2030-09-04,131829.8336677487
p40,2030,2030-09-05,133293.16239891454
p40,2031,2031-07-05,124317.00840394087
p40,2031,2031-07-06,125485.63096284236
p40,2031,2031-07-17,141459.67721316015
p40,2031,2031-07-30,132270.09650261188
p40,2031,2031-08-21,136703.20300572025
p40,2031,2031-08-22,138834.51035423332
p40,2031,2031-08-24,124602.54532328271
p40,2031,2031-08-25,138521.08492382086
p40,2031,2031-08-26,137874.21104176002
p40,2031,2031-08-27,137255.2529254479
p40,2034,2034-07-04,120715.85182916294
p40,2034,2034-07-05,146601.95140407077
p40,2034,2034-07-31,138160.84265077845
p40,2034,2034-08-07,142146.2047751423
p40,2034,2034-08-12,136466.16618803088
p40,2034,2034-08-16,127363.75412779136
p40,2034,2034-08-18,135788.25647096807
p40,2034,2034-08-23,130710.22488912784
p40,2034,2034-08-24,144151.38387181002
p40,2034,2034-08-25,142492.24150637505
p40,2034,2034-08-26,134294.0183866577
p40,2034,2034-08-27,132442.98515444
p40,2034,2034-08-28,130952.85078662
p40,2035,2035-07-11,149379.58763638756
p40,2035,2035-07-12,150469.69301999913
p40,2035,2035-07-13,149140.95219282008
p40,2035,2035-07-28,131795.36956777022
p40,2035,2035-08-07,149799.11837865564
p40,2035,2035-08-08,155562.32696167432
p40,2035,2035-08-09,155457.09805381493
p40,2035,2035-08-10,152159.9229065557
p40,2035,2035-08-11,138580.3659179702
p40,2035,2035-08-12,142125.57979136304
p40,2035,2035-08-13,156220.15004340146
p40,2035,2035-08-27,143764.64175503355
p40,2035,2035-08-28,145936.41623525394
p40,2035,2035-08-29,141887.14514502874
p40,2035,2035-08-30,143382.8435719088
p40,2035,2035-09-04,136635.07544020738
p40,2036,2036-07-17,145671.76884326208
p40,2036,2036-07-18,152059.76758364358
p40,2036,2036-08-06,143133.1097953599
p40,2037,2037-07-15,142297.71280906806
p40,2037,2037-07-16,149553.62082036427
p40,2037,2037-07-17,151694.0996717039
p40,2037,2037-07-18,140403.91443907042
p40,2037,2037-07-19,140222.23359680787
p40,2037,2037-07-23,149283.53397362697
p40,2037,2037-07-24,154566.29631778566
p40,2037,2037-07-25,145468.56092133463
p40,2037,2037-07-26,144167.3539196622
p40,2037,2037-07-27,151046.53929904994
p40,2037,2037-08-03,153236.63271205817
p40,2037,2037-08-24,142712.47709370955
p40,2037,2037-08-25,143265.5262709229
p40,2037,2037-08-28,143173.63744665435
p40,2037,2037-08-29,131240.0818010329
p40,2038,2038-07-18,132183.92384701496
p40,2038,2038-07-19,150755.9240179738
p40,2038,2038-07-20,154239.21274038055
p40,2038,2038-07-21,153115.2079944278
p40,2038,2038-08-17,148877.2438624795
p40,2038,2038-08-18,146981.42392697465
p40,2038,2038-08-22,129674.72281071884
p40,2038,2038-08-23,147246.38730965537
p40,2038,2038-08-24,150680.00303018474
p40,2038,2038-08-25,136954.0761091253
p40,2038,2038-08-29,124222.80266702427
p40,2038,2038-08-30,140274.2415262851
p40,2038,2038-09-03,132270.9549108078
