rb,Year,Date,Load_sum
p39,2020,2020-01-31,93395.77
p39,2021,2021-02-11,93269.17000000001
p39,2022,2022-01-07,93885.68000000001
p39,2022,2022-01-10,106347.87
p39,2022,2022-01-11,98210.2
p39,2022,2022-01-16,93966.23
p39,2022,2022-02-04,95352.79
p39,2022,2022-02-05,86425.15000000001
p39,2022,2022-02-06,84824.85
p39,2022,2022-02-09,91395.64
p39,2023,2023-12-18,99508.25
p39,2023,2023-12-19,102249.25
p39,2023,2023-12-20,102919.83
p39,2023,2023-12-21,101367.74
p39,2023,2023-12-22,104255.5
p39,2023,2023-12-23,96474.01
p39,2023,2023-12-24,101174.28
p39,2023,2023-12-25,98596.85999999999
p39,2023,2023-12-26,96994.91
p39,2023,2023-12-29,99564.68000000001
p39,2023,2023-12-30,91774.78
p39,2024,2024-01-18,94538.85
p39,2024,2024-01-19,95358.39
p39,2024,2024-01-20,89941.17000000001
p39,2025,2025-01-20,92081.21999999999
p39,2025,2025-01-31,96004.03
p39,2025,2025-02-01,84019.58
p39,2025,2025-12-01,101426.59999999999
p39,2025,2025-12-02,99080.66
p39,2025,2025-12-13,93177.76
p39,2028,2028-02-11,94631.84
p39,2029,2029-02-03,92748.53
p39,2029,2029-02-04,89107.62000000001
p39,2029,2029-02-05,92452.15999999999
p39,2029,2029-12-15,90649.23000000001
p39,2029,2029-12-21,101039.01999999999
p39,2029,2029-12-22,95635.83
p39,2029,2029-12-23,93117.9
p39,2030,2030-12-21,92615.01
p39,2030,2030-12-22,95419.83
p39,2030,2030-12-23,98310.0
p39,2030,2030-12-29,92606.3
p39,2030,2030-12-30,102296.79000000001
p39,2033,2033-02-17,94088.56
p39,2034,2034-01-31,94722.57999999999
p39,2034,2034-02-09,98086.56999999999
p39,2036,2036-01-19,90422.51
p39,2036,2036-01-31,96698.99
p39,2036,2036-02-01,90584.5
p39,2036,2036-02-02,94059.51
p39,2036,2036-02-03,91228.19
p39,2036,2036-02-04,92619.17000000001
p39,2037,2037-01-11,92395.5
p39,2037,2037-01-12,97386.59
p39,2050,2050-01-08,92193.15000000001
p39,2054,2054-01-06,95194.42
p39,2057,2057-12-31,95934.62999999999
p39,2058,2058-01-01,86182.16
p39,2059,2059-03-04,90510.97
p39,2061,2061-02-11,91888.3
p39,2062,2062-01-10,103171.63
p39,2062,2062-01-16,89334.98999999999
p39,2063,2063-12-18,97387.68
p39,2063,2063-12-19,99735.42
p39,2063,2063-12-20,100174.92
p39,2063,2063-12-21,99186.1
p39,2063,2063-12-22,96377.18
p39,2063,2063-12-23,94778.22
p39,2063,2063-12-24,106442.81
p39,2063,2063-12-25,96444.54999999999
p39,2063,2063-12-29,92042.89
p39,2064,2064-01-18,91863.39
p39,2064,2064-01-20,86611.76
p39,2065,2065-01-20,97502.48000000001
p39,2065,2065-01-31,86755.33
p39,2065,2065-12-02,97634.29000000001
p39,2065,2065-12-13,91093.93000000001
p39,2069,2069-02-03,90993.76000000001
p39,2069,2069-12-21,93524.63999999998
p39,2069,2069-12-22,94422.23999999999
p39,2069,2069-12-23,97780.8
p39,2070,2070-12-22,100821.29
p39,2070,2070-12-23,97351.12999999999
p39,2070,2070-12-30,101319.23
p39,2074,2074-02-09,96321.84
p39,2076,2076-01-31,94801.0
p39,2076,2076-02-02,91536.36
p39,2076,2076-02-03,96411.18000000001
p39,2076,2076-02-04,90745.05
p39,2090,2090-01-08,92043.75
p39,2098,2098-01-01,85242.2
