rb,Year,Date,Load_sum
p40,2020,2020-01-31,103311.22478011058
p40,2021,2021-02-11,103131.17749100487
p40,2022,2022-01-07,106657.114874911
p40,2022,2022-01-10,120247.07747896123
p40,2022,2022-01-11,111594.34344521604
p40,2022,2022-01-16,106932.87839500506
p40,2022,2022-01-17,97599.75490633592
p40,2022,2022-02-04,108201.78571975426
p40,2022,2022-02-05,97601.19438835248
p40,2022,2022-02-06,96057.83705492964
p40,2022,2022-02-09,102972.1042362457
p40,2023,2023-12-18,112928.18256789303
p40,2023,2023-12-19,116057.11174699888
p40,2023,2023-12-20,116330.75464756895
p40,2023,2023-12-21,114738.89486716336
p40,2023,2023-12-22,118579.48238157536
p40,2023,2023-12-23,109290.31055445447
p40,2023,2023-12-24,115523.06054146276
p40,2023,2023-12-25,112470.11288097224
p40,2023,2023-12-26,109864.54668091347
p40,2023,2023-12-29,113731.66890768993
p40,2023,2023-12-30,104807.36565690507
p40,2024,2024-01-18,108931.7357961795
p40,2024,2024-01-19,109955.29903355971
p40,2024,2024-01-20,103812.26553055749
p40,2025,2025-01-20,106939.87607441546
p40,2025,2025-01-31,111080.76912177794
p40,2025,2025-02-01,97083.44125567231
p40,2025,2025-12-01,117104.3501015445
p40,2025,2025-12-02,114471.76992469752
p40,2025,2025-12-13,107892.30778132052
p40,2028,2028-02-06,100104.81768518638
p40,2028,2028-02-11,112569.63319118305
p40,2029,2029-02-03,111359.15296538844
p40,2029,2029-02-04,107088.71492725358
p40,2029,2029-12-15,108700.3806006237
p40,2029,2029-12-21,121018.40767094359
p40,2029,2029-12-22,114627.12525233117
p40,2029,2029-12-23,111886.46686624312
p40,2030,2030-12-22,115165.31757316724
p40,2030,2030-12-23,118909.63091249045
p40,2030,2030-12-30,123455.27845639683
p40,2033,2033-02-17,116755.8548468629
p40,2033,2033-02-18,114349.87023999558
p40,2034,2034-02-09,123160.02111575843
p40,2036,2036-01-30,126098.88563556192
p40,2036,2036-01-31,123477.71335501157
p40,2036,2036-02-01,115841.04904726642
p40,2036,2036-02-02,119652.78662765675
p40,2036,2036-02-03,116631.9607027566
p40,2036,2036-02-04,118455.42068192085
p40,2037,2037-01-12,124676.08733538487
p40,2050,2050-01-08,135091.26405974926
p40,2057,2057-12-31,149536.79547834952
p40,2058,2058-01-01,134027.42015777537
p40,2059,2059-03-04,141579.54312786675
p40,2061,2061-02-11,145699.26393716768
p40,2062,2062-01-10,166166.52810036938
p40,2063,2063-12-18,160393.34976455517
p40,2063,2063-12-21,163438.2068677239
p40,2063,2063-12-22,158652.0732794691
p40,2063,2063-12-23,155630.81192510153
p40,2063,2063-12-24,176034.27346885414
p40,2063,2063-12-25,159261.41373598023
p40,2063,2063-12-29,152058.58181745376
p40,2065,2065-01-20,160839.91239237296
p40,2069,2069-02-03,156766.07164962415
p40,2069,2069-12-21,161636.69069739524
p40,2069,2069-12-22,163208.03962310188
p40,2069,2069-12-23,169266.42376950054
p40,2070,2070-12-22,175714.36611140074
p40,2070,2070-12-23,169825.25373621084
p40,2070,2070-12-30,175925.80826846848
p40,2074,2074-02-09,173805.27646994853
p40,2076,2076-01-31,176175.79238251026
p40,2076,2076-02-02,169362.63495813997
p40,2076,2076-02-03,179091.3302288138
p40,2076,2076-02-04,168499.18333753227
