rb,Year,Date,Load_sum
p41,2021,2021-02-11,103453.27605534843
p41,2022,2022-01-07,106101.4990004283
p41,2022,2022-01-10,119885.5500148512
p41,2022,2022-01-11,111059.649474824
p41,2022,2022-01-13,105755.8325266412
p41,2022,2022-01-16,105592.64110773763
p41,2022,2022-01-17,97051.03870907781
p41,2022,2022-02-04,107044.16379918659
p41,2022,2022-02-06,95295.56024622655
p41,2022,2022-02-09,102217.4997560434
p41,2023,2023-12-18,113151.22741560596
p41,2023,2023-12-19,116580.74215012045
p41,2023,2023-12-20,117379.51492340115
p41,2023,2023-12-21,115145.61056890817
p41,2023,2023-12-22,118866.07581247654
p41,2023,2023-12-23,109770.88700590766
p41,2023,2023-12-24,115324.01466958635
p41,2023,2023-12-25,112334.0691611025
p41,2023,2023-12-26,110388.5833424016
p41,2023,2023-12-29,113516.99867970253
p41,2023,2023-12-30,104843.25179876058
p41,2024,2024-01-18,107931.7650389029
p41,2024,2024-01-19,108784.79454139507
p41,2024,2024-01-20,102162.21196380963
p41,2025,2025-01-20,105216.6500863791
p41,2025,2025-01-31,110099.40457090957
p41,2025,2025-12-13,107682.19468465177
p41,2025,2025-12-18,111298.44205719681
p41,2029,2029-02-03,109718.10158564604
p41,2029,2029-12-21,121679.83720692393
p41,2029,2029-12-22,115297.72377623759
p41,2029,2029-12-23,112715.08989454598
p41,2030,2030-12-22,115702.76026578358
p41,2030,2030-12-23,118981.48998979044
p41,2030,2030-12-30,123592.6618402283
p41,2033,2033-02-17,117279.60093310178
p41,2033,2033-02-18,114363.41176385756
p41,2034,2034-01-31,118632.7553423466
p41,2034,2034-02-09,122960.75035361186
p41,2036,2036-01-19,115410.43414900958
p41,2036,2036-01-31,123044.03280059138
p41,2036,2036-02-01,115377.36634793456
p41,2036,2036-02-02,119896.73954992618
p41,2036,2036-02-03,116188.39919323617
p41,2036,2036-02-04,117943.91714017834
p41,2037,2037-01-12,125177.58069487865
p41,2050,2050-01-02,129871.45987168924
p41,2050,2050-01-09,128104.85791055053
p41,2061,2061-02-11,146331.5796481585
p41,2062,2062-01-10,164466.09164359176
p41,2063,2063-12-18,160710.55606458755
p41,2063,2063-12-19,164578.06540388937
p41,2063,2063-12-20,165329.51538661326
p41,2063,2063-12-21,164183.55091348692
p41,2063,2063-12-22,158117.2002770026
p41,2063,2063-12-23,156770.5854561424
p41,2063,2063-12-24,174934.96787012584
p41,2063,2063-12-25,157980.09136129825
p41,2065,2065-01-20,160988.9634245106
p41,2069,2069-12-22,164037.74995459322
p41,2069,2069-12-23,170437.08446805394
p41,2070,2070-12-22,176897.4580999267
p41,2070,2070-12-23,171324.12789521526
p41,2076,2076-01-31,174133.19757615658
p41,2076,2076-02-02,167524.33509207034
p41,2076,2076-02-03,176576.13017762604
