rb,Year,Date,Load_sum
p39,2020,2020-01-31,93489.10999999999
p39,2021,2021-02-11,93025.29000000001
p39,2022,2022-01-07,94285.23000000001
p39,2022,2022-01-10,106112.61
p39,2022,2022-01-11,98474.84
p39,2022,2022-01-16,94101.78
p39,2022,2022-02-04,95618.85
p39,2022,2022-02-05,86585.79000000001
p39,2022,2022-02-06,85040.19
p39,2022,2022-02-09,91247.34999999999
p39,2023,2023-12-18,98630.40999999999
p39,2023,2023-12-19,101157.81999999999
p39,2023,2023-12-20,101719.47
p39,2023,2023-12-21,100367.92
p39,2023,2023-12-22,103640.68
p39,2023,2023-12-23,95932.66
p39,2023,2023-12-24,100604.32
p39,2023,2023-12-25,97849.64
p39,2023,2023-12-29,98950.91999999998
p39,2023,2023-12-30,91484.59
p39,2024,2024-01-18,94328.25000000001
p39,2024,2024-01-19,94835.70000000001
p39,2024,2024-01-20,89265.91
p39,2025,2025-01-20,91755.43000000001
p39,2025,2025-01-31,95951.01
p39,2025,2025-02-01,83852.23000000001
p39,2025,2025-12-02,97924.7
p39,2025,2025-12-13,91806.92000000001
p39,2028,2028-02-11,93807.81999999999
p39,2029,2029-02-03,92476.54000000001
p39,2029,2029-02-04,88975.38
p39,2029,2029-12-21,99421.86
p39,2029,2029-12-22,94162.37
p39,2029,2029-12-23,91990.43
p39,2030,2030-12-22,94125.73000000001
p39,2030,2030-12-23,96631.95000000001
p39,2030,2030-12-30,100884.09000000001
p39,2033,2033-02-17,91993.9
p39,2034,2034-02-09,97957.77
p39,2036,2036-01-31,96522.59
p39,2036,2036-02-01,90458.36
p39,2036,2036-02-02,93746.89000000001
p39,2036,2036-02-03,91301.72
p39,2036,2036-02-04,92580.19
p39,2037,2037-01-12,96204.25
p39,2050,2050-01-08,91977.79
p39,2062,2062-01-10,100046.15
p39,2063,2063-12-21,97241.45999999999
p39,2063,2063-12-22,94427.76
p39,2063,2063-12-23,92735.04
p39,2063,2063-12-24,104572.23
p39,2063,2063-12-25,94136.78
p39,2063,2063-12-29,90501.20000000001
p39,2069,2069-12-22,91510.02
p39,2069,2069-12-23,95261.34999999999
p39,2070,2070-12-22,97747.47
p39,2070,2070-12-23,95016.59
p39,2076,2076-02-02,87902.79999999999
p39,2076,2076-02-03,92837.8
