rb,Year,Date,Load_sum
p13,2020,2020-07-21,159664.7695449967
p13,2020,2020-07-22,161662.03212646974
p13,2020,2020-07-23,161515.6362514012
p13,2020,2020-07-24,161265.7588763344
p13,2020,2020-07-25,159230.25606284456
p13,2020,2020-07-26,158211.67786763172
p13,2020,2020-07-27,159957.45211053264
p13,2020,2020-08-02,152835.37016040628
p13,2020,2020-08-11,159673.90283297264
p13,2020,2020-08-12,158794.17663644528
p13,2021,2021-06-22,163171.43348530072
p13,2021,2021-06-24,162972.83673307695
p13,2021,2021-06-25,165097.80860917206
p13,2021,2021-06-26,157886.9491823424
p13,2021,2021-07-04,147441.9796494179
p13,2021,2021-07-05,155240.9929430092
p13,2021,2021-08-06,157998.98345621012
p13,2021,2021-08-07,161778.15987662028
p13,2021,2021-08-08,156280.74030666696
p13,2021,2021-08-09,160631.22098799827
p13,2021,2021-08-10,158861.20075633685
p13,2023,2023-07-13,164576.22398302297
p13,2023,2023-08-05,159462.32918815064
p13,2023,2023-08-06,162640.76719688642
p13,2024,2024-07-03,169076.82865641467
p13,2024,2024-07-04,163867.48001319915
p13,2024,2024-07-05,176739.24624443208
p13,2024,2024-07-06,169130.49836463566
p13,2024,2024-08-08,166356.2881516603
p13,2025,2025-06-17,171195.8781823789
p13,2025,2025-06-18,176796.1560392799
p13,2025,2025-06-19,163777.589013225
p13,2025,2025-06-20,167282.89241675613
p13,2025,2025-07-02,170329.2512193024
p13,2025,2025-07-03,175301.46182269786
p13,2025,2025-07-04,167691.2277929732
p13,2025,2025-07-05,176171.98148115588
p13,2025,2025-07-06,174350.7199535236
p13,2025,2025-07-07,175887.46914376167
p13,2025,2025-07-08,177523.9007486435
p13,2025,2025-07-09,180160.20710181922
p13,2025,2025-07-10,177795.8546778864
p13,2025,2025-07-11,174756.75905997233
p13,2025,2025-07-13,168896.38637202955
p13,2025,2025-07-14,175258.7648186839
p13,2025,2025-07-15,174326.62655179892
p13,2025,2025-07-16,168641.77978081504
p13,2025,2025-08-24,163706.55076363537
p13,2025,2025-08-25,171055.7470824477
p13,2026,2026-06-26,171611.66376569888
p13,2026,2026-06-27,169692.17747925263
p13,2026,2026-08-01,167930.4848310881
p13,2027,2027-07-14,179342.81492874323
p13,2027,2027-07-15,179980.3932711369
p13,2028,2028-06-23,177439.8011644836
p13,2028,2028-06-24,176452.1912129448
p13,2028,2028-07-09,177460.83383105253
p13,2028,2028-07-16,176649.99941961392
p13,2028,2028-07-17,188951.30790364297
p13,2028,2028-07-18,187312.70933475383
p13,2028,2028-07-19,179929.7614672347
p13,2028,2028-07-20,183121.71279804182
p13,2028,2028-07-21,181802.49798528187
p13,2028,2028-07-22,173418.26508589427
p13,2029,2029-07-05,186560.52270763667
p13,2029,2029-07-06,190920.40275970675
p13,2029,2029-07-07,189712.92371086654
p13,2029,2029-07-08,184066.25415257862
p13,2029,2029-07-18,181340.52865653153
p13,2029,2029-07-19,192766.28233335243
