rb,Year,Date,Load_sum
p13,2020,2020-07-17,159281.50549810764
p13,2020,2020-07-21,161914.47092801647
p13,2020,2020-07-22,164522.2808427413
p13,2020,2020-07-23,162751.12816505556
p13,2020,2020-07-24,163995.05633604084
p13,2020,2020-07-25,161532.33899843885
p13,2020,2020-07-26,159597.14954352812
p13,2020,2020-07-27,161842.07095121095
p13,2020,2020-07-28,163895.92930362758
p13,2020,2020-08-02,154489.17557154794
p13,2020,2020-08-03,157322.04567572015
p13,2020,2020-08-08,152638.018230642
p13,2020,2020-08-10,158507.52385432864
p13,2020,2020-08-11,162016.4166066678
p13,2020,2020-08-12,160658.948828121
p13,2021,2021-06-22,165058.2166735849
p13,2021,2021-06-23,164505.47500395478
p13,2021,2021-06-24,164233.1586812582
p13,2021,2021-06-25,166802.183719104
p13,2021,2021-06-26,159572.8925632515
p13,2021,2021-06-27,151983.69316368797
p13,2021,2021-07-04,148539.11273529785
p13,2021,2021-07-05,156433.9942485065
p13,2021,2021-07-06,164691.37310139212
p13,2021,2021-07-20,160674.7243435345
p13,2021,2021-07-21,163999.39958622682
p13,2021,2021-07-22,163254.95347367658
p13,2021,2021-07-23,163043.55917702767
p13,2021,2021-07-28,160167.5085587148
p13,2021,2021-08-06,160074.3092421606
p13,2021,2021-08-07,162671.37052113123
p13,2021,2021-08-08,158809.21730528638
p13,2021,2021-08-09,162558.24262616766
p13,2021,2021-08-10,159888.295620154
p13,2021,2021-08-27,159210.19486780599
p13,2021,2021-08-28,154026.63238115216
p13,2022,2022-07-12,162348.03403574074
p13,2022,2022-07-21,166011.58446795298
p13,2022,2022-07-22,163980.96203749924
p13,2022,2022-07-30,159804.48428713056
p13,2022,2022-07-31,162697.92470740777
p13,2022,2022-08-01,159282.29977902776
p13,2023,2023-07-05,167041.1144222836
p13,2023,2023-07-13,168687.70658278957
p13,2023,2023-07-14,168857.28034302336
p13,2023,2023-08-05,162548.78482297002
p13,2023,2023-08-06,164053.8216717677
p13,2024,2024-06-28,169626.05940531718
p13,2024,2024-07-03,167231.76135601028
p13,2024,2024-07-04,164970.8699701163
p13,2024,2024-07-05,179635.21094239037
p13,2024,2024-07-06,170900.0778897507
p13,2024,2024-07-11,171363.80194356714
p13,2024,2024-08-08,169428.7091163764
p13,2024,2024-08-09,166689.68056546134
p13,2024,2024-08-10,155039.78561248956
p13,2025,2025-06-15,164376.26893920577
p13,2025,2025-06-16,170972.58013991048
p13,2025,2025-06-17,173102.25219872393
p13,2025,2025-06-18,179112.92130825043
p13,2025,2025-06-19,165145.35347131168
p13,2025,2025-06-20,168810.70756954775
p13,2025,2025-07-02,172248.19735053438
p13,2025,2025-07-03,177459.2050548292
p13,2025,2025-07-04,170162.05859252915
p13,2025,2025-07-05,178880.3278920274
p13,2025,2025-07-06,176417.26202365314
p13,2025,2025-07-07,179010.27062197673
p13,2025,2025-07-08,180243.06822154723
p13,2025,2025-07-09,183322.4295792907
p13,2025,2025-07-10,180423.89397311944
p13,2025,2025-07-11,178092.3938251096
p13,2025,2025-07-12,172376.23547512543
p13,2025,2025-07-13,172858.15479864553
p13,2025,2025-07-14,178894.3639614608
p13,2025,2025-07-15,176899.86762850807
p13,2025,2025-07-16,169810.40478429187
p13,2025,2025-08-24,165034.63705957512
p13,2025,2025-08-25,172469.33819557662
p13,2026,2026-06-23,172614.76730301764
p13,2026,2026-06-26,174301.410940047
