rb,Year,Date,Load_sum
p12,2022,2022-01-07,92681.92000000001
p12,2022,2022-02-05,84077.02
p12,2025,2025-02-01,86674.18
p12,2025,2025-02-04,87888.12
p12,2025,2025-02-05,89499.47
p12,2027,2027-01-16,89451.07
p12,2027,2027-12-25,85812.1
p12,2028,2028-12-26,92365.12
p12,2028,2028-12-27,96208.86
p12,2028,2028-12-28,95628.11
p12,2028,2028-12-29,94552.15
p12,2029,2029-02-05,89062.70000000001
p12,2029,2029-02-06,97043.78
p12,2029,2029-02-07,95503.54000000001
p12,2029,2029-02-08,92031.24
p12,2030,2030-02-15,90691.14
p12,2030,2030-12-20,93058.99
p12,2030,2030-12-21,95916.68
p12,2030,2030-12-22,98240.1
p12,2030,2030-12-23,103408.25
p12,2030,2030-12-24,99098.35999999999
p12,2030,2030-12-29,87527.83
p12,2030,2030-12-30,95781.23
p12,2038,2038-12-21,91234.64
p12,2038,2038-12-22,93809.08
p12,2038,2038-12-23,92833.4
p12,2047,2047-01-13,89361.42
p12,2047,2047-01-14,93354.36
p12,2047,2047-01-15,92564.93
p12,2053,2053-01-12,87682.86
p12,2053,2053-01-13,92718.34
p12,2053,2053-01-14,95319.42
p12,2053,2053-12-09,94197.91
p12,2062,2062-01-07,86677.36
p12,2067,2067-01-16,88349.28
p12,2068,2068-12-27,95044.01
p12,2068,2068-12-28,94482.91
p12,2068,2068-12-29,89201.48
p12,2069,2069-02-05,88792.94
p12,2069,2069-02-06,96350.35
p12,2069,2069-02-07,94945.97
p12,2069,2069-02-08,91665.45000000001
p12,2070,2070-02-15,85962.6
p12,2070,2070-12-20,85670.43
p12,2070,2070-12-21,94361.62
p12,2070,2070-12-22,100538.08
p12,2070,2070-12-23,101649.25
p12,2070,2070-12-24,97729.95
p12,2070,2070-12-30,95024.53
p12,2087,2087-01-13,92143.15
p12,2093,2093-01-13,92362.53
p12,2093,2093-01-14,94926.48999999999
p12,2093,2093-12-09,93516.0
