rb,Year,Date,Load_sum
p13,2022,2022-01-07,113987.11708627139
p13,2022,2022-02-05,103781.06306516555
p13,2025,2025-02-01,112132.08671018007
p13,2027,2027-01-16,119850.84092458413
p13,2028,2028-12-26,127632.63397657782
p13,2028,2028-12-27,132362.7972123415
p13,2028,2028-12-28,131444.38573444824
p13,2028,2028-12-29,130051.94900616688
p13,2029,2029-02-05,123725.6070073926
p13,2029,2029-02-06,134629.6391364447
p13,2029,2029-02-07,132501.89044946604
p13,2029,2029-02-08,127678.53144290842
p13,2030,2030-02-15,127511.80343017352
p13,2030,2030-12-20,132888.9024885823
p13,2030,2030-12-21,136729.86198935017
p13,2030,2030-12-22,140007.5943207747
p13,2030,2030-12-23,147064.90064739413
p13,2030,2030-12-24,141079.55037707603
p13,2030,2030-12-30,137018.64337306112
p13,2038,2038-12-21,150078.8685139674
p13,2038,2038-12-22,154678.60770044598
p13,2038,2038-12-23,153130.2626919088
p13,2047,2047-01-13,168783.99569162758
p13,2053,2053-01-12,184225.4620869848
p13,2053,2053-01-13,195196.30596000864
p13,2053,2053-01-14,200930.32189009732
p13,2053,2053-12-09,199811.86452205732
p13,2062,2062-01-07,210998.25370803417
p13,2068,2068-12-27,258706.74695952336
p13,2069,2069-02-05,241649.21124017524
p13,2069,2069-02-06,260338.93736238347
p13,2069,2069-02-07,255818.11384493054
p13,2069,2069-02-08,248293.55386319448
p13,2070,2070-12-21,264636.26375968335
p13,2070,2070-12-22,282614.0895610478
p13,2070,2070-12-23,284440.863286746
p13,2070,2070-12-24,273579.30849242595
p13,2070,2070-12-30,267280.95116316417
p13,2093,2093-01-13,385940.6367933153
p13,2093,2093-01-14,396362.93107331014
