rb,Year,Date,Load_sum
p130,2020,2020-12-25,30702.57
p130,2020,2020-12-26,32675.42
p130,2021,2021-01-03,33091.31
p130,2021,2021-01-04,36104.18
p130,2021,2021-01-05,35807.28
p130,2021,2021-01-12,35879.47
p130,2022,2022-01-17,34228.45
p130,2022,2022-01-18,36352.19
p130,2022,2022-01-26,36079.53
p130,2028,2028-01-14,35888.81
p130,2034,2034-01-16,36435.770000000004
p130,2034,2034-01-17,35205.83
p130,2034,2034-01-19,35926.05
p130,2034,2034-01-27,36300.55
p130,2035,2035-02-06,35308.94
p130,2035,2035-02-07,34866.06
p130,2043,2043-01-18,32513.32
p130,2043,2043-01-22,36096.66
p130,2043,2043-01-28,35744.46
p130,2043,2043-02-13,34302.0
p130,2043,2043-02-14,31804.13
p130,2043,2043-02-16,35025.16
p130,2043,2043-03-03,32294.84
p130,2044,2044-01-14,36203.33
p130,2044,2044-01-16,33618.7
p130,2044,2044-01-25,35745.229999999996
p130,2047,2047-03-06,34039.37
p130,2051,2051-01-24,36029.27
p130,2055,2055-02-14,31486.82
p130,2055,2055-02-24,34873.47
p130,2056,2056-02-14,35140.41
p130,2058,2058-01-07,35651.67
p130,2060,2060-12-25,29572.13
p130,2061,2061-01-05,35026.37
p130,2074,2074-01-16,36492.86
p130,2095,2095-02-24,34349.75
