rb,Year,Date,Load_sum
p126,2020,2020-03-01,219536.07
p126,2020,2020-12-25,233137.28
p126,2021,2021-01-11,257566.63
p126,2021,2021-01-12,260054.15
p126,2021,2021-01-13,255603.01
p126,2022,2022-01-11,270442.59
p126,2022,2022-01-17,259395.94
p126,2022,2022-01-18,268573.06
p126,2022,2022-01-22,238923.05
p126,2022,2022-01-27,255335.14
p126,2023,2023-02-13,238669.63
p126,2024,2024-01-20,233192.96
p126,2024,2024-01-21,237940.78
p126,2024,2024-01-22,256922.98
p126,2025,2025-01-21,277324.57
p126,2027,2027-01-24,235737.46
p126,2027,2027-01-25,262028.76
p126,2027,2027-01-27,257992.80000000002
p126,2027,2027-01-28,256186.94
p126,2028,2028-01-14,254889.4
p126,2028,2028-01-15,233897.8
p126,2033,2033-03-15,236851.82
p126,2034,2034-01-16,258354.1
p126,2034,2034-01-19,271149.45
p126,2034,2034-01-20,265146.42
p126,2034,2034-01-21,236761.64
p126,2034,2034-01-27,257110.3
p126,2034,2034-02-15,239035.2
p126,2035,2035-02-06,253253.43
p126,2035,2035-02-07,242046.2
p126,2036,2036-02-05,253269.72
p126,2040,2040-01-29,236392.14
p126,2043,2043-01-28,250999.75
p126,2044,2044-01-16,236915.11000000002
p126,2045,2045-01-24,254685.07
p126,2045,2045-01-28,241758.13
p126,2049,2049-01-17,234147.29
p126,2051,2051-01-24,255654.29
p126,2054,2054-01-04,238093.77
p126,2054,2054-02-12,240627.7
p126,2055,2055-02-16,263890.69
p126,2055,2055-02-20,232897.18
p126,2055,2055-02-21,225371.29
p126,2055,2055-02-24,249297.46
p126,2056,2056-02-14,258107.47
p126,2058,2058-01-07,253645.22
p126,2059,2059-01-21,263232.36
p126,2059,2059-01-31,259703.9
p126,2060,2060-12-25,219750.28
p126,2061,2061-01-12,252206.34
p126,2061,2061-01-13,247842.15
p126,2062,2062-01-17,255801.85
p126,2062,2062-01-18,262615.1
p126,2065,2065-01-21,266665.45
p126,2067,2067-01-25,249334.21
p126,2067,2067-01-27,247416.9
p126,2074,2074-01-19,261967.09
p126,2076,2076-02-05,244057.63
p126,2085,2085-01-24,248927.35
p126,2094,2094-01-04,249828.21
p126,2096,2096-02-14,253597.72
p126,2098,2098-01-07,250980.52000000002
