rb,Year,Date,Load_sum
p31,2020,2020-06-05,86381.75646405562
p31,2020,2020-06-06,83527.26325272552
p31,2020,2020-06-07,84353.38598869159
p31,2020,2020-06-13,84979.35782477229
p31,2020,2020-06-14,86962.28026252273
p31,2020,2020-06-15,90021.84669425772
p31,2020,2020-06-16,89594.27438863192
p31,2020,2020-06-17,90320.54424692984
p31,2020,2020-06-18,92780.4699351294
p31,2020,2020-06-19,91240.9760407165
p31,2020,2020-06-22,88792.0153881089
p31,2020,2020-06-23,91407.5715244085
p31,2020,2020-06-24,93163.12756674184
p31,2020,2020-06-25,94089.04646015621
p31,2020,2020-06-26,92957.89870247949
p31,2020,2020-06-27,90138.41851456706
p31,2020,2020-06-28,91177.86501739855
p31,2020,2020-06-29,94498.06788192557
p31,2020,2020-06-30,92594.6528763427
p31,2020,2020-07-01,93068.78051236426
p31,2020,2020-07-02,93347.70452071493
p31,2020,2020-07-03,88093.0827284425
p31,2020,2020-07-04,85122.87716202531
p31,2020,2020-07-05,91843.3960172678
p31,2020,2020-07-06,94974.88432745416
p31,2020,2020-07-08,91285.28844327602
p31,2020,2020-07-09,94053.85474803668
p31,2020,2020-07-10,95148.96651012276
p31,2020,2020-07-11,90614.64994512225
p31,2020,2020-07-12,90381.64698787824
p31,2020,2020-07-14,92324.00819755626
p31,2020,2020-07-15,94764.36737189232
p31,2020,2020-07-16,96501.29590202057
p31,2020,2020-07-17,96342.85518544153
p31,2020,2020-07-18,93032.97681703143
p31,2020,2020-07-19,92085.50270335402
p31,2020,2020-07-20,94376.53100706573
p31,2020,2020-07-25,90154.18173218839
p31,2020,2020-07-26,91135.56950621078
p31,2020,2020-07-27,94703.2308915431
p31,2020,2020-07-28,92937.82059004897
p31,2020,2020-07-30,93277.5346606608
p31,2020,2020-08-04,95353.82540262252
p31,2020,2020-08-05,95088.88819031265
p31,2021,2021-06-07,90758.90341015931
p31,2021,2021-06-08,94184.62409007744
p31,2021,2021-06-09,95379.02551537295
p31,2021,2021-06-10,94827.61139875435
p31,2021,2021-06-11,94194.45715224309
p31,2021,2021-06-12,88144.17126135474
p31,2021,2021-06-18,83472.23678388709
p31,2021,2021-06-19,82344.68447413777
p31,2021,2021-06-20,90472.89121959236
p31,2021,2021-06-21,96298.96370914666
p31,2021,2021-06-22,97546.85942192083
p31,2021,2021-06-23,92888.55904517397
p31,2021,2021-07-20,96481.67580364375
p31,2021,2021-07-21,98222.23211978283
p31,2021,2021-07-22,98865.42713420223
p31,2021,2021-07-23,96219.60948261568
p31,2022,2022-06-28,92848.3600695896
p31,2022,2022-08-15,97447.3984169602
p31,2023,2023-06-18,89721.24682666548
p31,2023,2023-06-19,88794.29156994527
p31,2023,2023-06-20,95761.51811104512
p31,2023,2023-06-21,96133.18432280753
p31,2023,2023-06-30,93787.55676829469
p31,2023,2023-07-01,93291.21328802346
p31,2023,2023-07-02,92461.48573895846
p31,2023,2023-07-03,96501.31799021713
p31,2023,2023-07-04,92263.3403841778
p31,2023,2023-09-04,90204.74278556484
p31,2023,2023-09-05,95136.1644865525
p31,2023,2023-09-06,94255.60279300994
p31,2025,2025-06-08,96270.8221022859
p31,2025,2025-06-14,93529.5255523838
p31,2025,2025-06-15,95908.10259088603
p31,2025,2025-06-16,101528.26778934825
p31,2025,2025-06-17,101224.01841333165
p31,2025,2025-06-21,93474.89120151477
p31,2025,2025-06-22,94323.5530796051
p31,2025,2025-07-04,94447.14476941343
p31,2025,2025-07-05,99743.98274182453
p31,2025,2025-07-06,100592.70774159208
p31,2025,2025-07-07,104215.41758904065
p31,2025,2025-07-09,101783.5845095014
p31,2025,2025-07-11,102944.0928051244
p31,2025,2025-08-06,104527.71287906903
p31,2026,2026-06-15,99414.7241570317
p31,2026,2026-06-16,101422.9071129977
p31,2026,2026-07-12,99256.13369675983
p31,2026,2026-07-26,100696.07408072962
p31,2026,2026-07-27,104530.01562706921
p31,2026,2026-07-28,105496.5655068643
p31,2026,2026-07-29,106833.35474705082
p31,2026,2026-07-30,107818.46639549966
p31,2026,2026-07-31,106462.47185011332
p31,2026,2026-08-19,105413.27130178022
p31,2026,2026-08-20,107021.19064591144
p31,2027,2027-06-17,102301.65286257386
p31,2027,2027-06-18,95600.58852177889
p31,2027,2027-06-23,102968.10933074377
p31,2027,2027-06-24,105375.0738813975
p31,2027,2027-06-25,103182.67312339097
p31,2027,2027-07-02,106823.70658062295
p31,2027,2027-07-03,102991.8837935521
p31,2027,2027-07-04,96076.66221708502
p31,2027,2027-07-05,100041.13292195712
p31,2027,2027-07-06,105290.4180491686
p31,2027,2027-07-07,106549.5787764122
p31,2027,2027-08-01,102220.90921391231
p31,2027,2027-08-18,106076.9987647674
p31,2028,2028-06-22,106530.90496039792
p31,2029,2029-05-23,97907.76157401934
p31,2029,2029-06-16,99961.60717161908
p31,2029,2029-06-17,103613.66949837003
p31,2029,2029-06-18,108148.22784181371
p31,2029,2029-06-19,99399.81280813408
p31,2029,2029-06-21,107754.42939754117
p31,2029,2029-07-01,108899.98214133384
p31,2029,2029-07-02,115511.55722961205
p31,2029,2029-07-03,113413.01830289069
p31,2029,2029-07-14,105871.31670531948
p31,2029,2029-07-16,110700.07366051784
p31,2029,2029-07-17,111862.77149659579
p31,2029,2029-07-18,115314.91889532788
p31,2029,2029-07-19,111488.87599532667
p31,2030,2030-06-05,110439.83181194813
p31,2030,2030-06-06,109236.50325300606
p31,2030,2030-06-07,108389.65063318823
p31,2030,2030-06-08,104764.71591829894
p31,2030,2030-06-09,104406.8700978312
p31,2030,2030-06-17,105090.77595823357
p31,2030,2030-06-18,112063.65487351242
p31,2030,2030-06-19,102260.53010328002
p31,2030,2030-06-21,109002.74045390007
p31,2030,2030-06-23,104376.17804618734
p31,2030,2030-06-24,115538.30178888026
p31,2030,2030-06-25,117157.79626310055
p31,2030,2030-06-26,115883.26469676575
p31,2030,2030-06-27,115254.60945938584
p31,2030,2030-06-28,114013.51156243782
p31,2030,2030-06-29,109410.36483144146
p31,2030,2030-06-30,107600.74369556096
p31,2031,2031-06-18,110465.93547209066
p31,2031,2031-06-23,108790.91714363876
p31,2031,2031-06-24,110342.51391784269
p31,2031,2031-06-25,112976.97646145469
p31,2031,2031-06-26,113201.96563703966
p31,2031,2031-07-07,117586.93486776778
p31,2032,2032-06-18,104201.80215793266
p31,2032,2032-06-19,101746.21249114927
p31,2032,2032-06-20,106869.94265918268
p31,2032,2032-06-30,112191.46444978678
p31,2032,2032-07-05,108272.30057753477
p31,2032,2032-07-06,123789.73049109589
p31,2032,2032-07-07,122456.8360930545
p31,2033,2033-06-23,114155.58976432648
p31,2033,2033-06-27,115766.04069109952
p31,2033,2033-06-28,118877.0192450091
p31,2033,2033-06-29,118622.34221206454
p31,2033,2033-07-06,119051.39870571764
p31,2033,2033-07-07,122348.84080400423
p31,2033,2033-07-08,122591.11249089657
p31,2033,2033-07-09,116335.69129482964
p31,2033,2033-07-25,118515.63896233222
p31,2033,2033-07-26,119699.43318920885
p31,2033,2033-07-27,120025.70667847707
p31,2033,2033-08-11,120812.71355382766
p31,2033,2033-08-24,118560.23620234532
p31,2034,2034-06-06,115900.65280468808
p31,2034,2034-06-10,111222.39528334493
p31,2034,2034-06-11,113108.44845059716
p31,2034,2034-06-12,116952.29010137798
p31,2034,2034-06-13,119505.03212569232
p31,2034,2034-06-14,118482.98856816311
p31,2034,2034-06-15,114117.21510701373
p31,2034,2034-06-16,115704.48499464705
p31,2034,2034-06-17,114160.04651613173
p31,2034,2034-06-23,118261.3635175349
p31,2034,2034-06-24,117487.84976581353
p31,2034,2034-06-25,121031.77132756718
p31,2034,2034-06-26,129182.24485543856
p31,2034,2034-06-27,130414.97554450904
p31,2034,2034-06-28,130153.42551741222
p31,2034,2034-06-29,126987.72749444272
p31,2034,2034-06-30,127493.83160712026
p31,2034,2034-07-01,126252.00824540874
p31,2034,2034-07-02,123771.52392228079
p31,2034,2034-07-03,127828.21509915823
p31,2034,2034-07-04,116608.76499100086
p31,2034,2034-07-05,122716.83069699438
p31,2034,2034-07-06,121695.46141074089
p31,2034,2034-07-07,119001.17004951816
p31,2034,2034-07-08,109648.41094544559
