rb,Year,Date,Load_sum
p31,2020,2020-06-14,71157.3
p31,2020,2020-06-17,73753.41
p31,2020,2020-06-18,75529.01000000001
p31,2020,2020-06-23,74574.42
p31,2020,2020-06-24,75871.25
p31,2020,2020-06-25,76522.52
p31,2020,2020-06-26,75825.58
p31,2020,2020-06-27,73843.86
p31,2020,2020-06-28,74461.1
p31,2020,2020-06-29,77089.64
p31,2020,2020-07-04,69274.39
p31,2020,2020-07-05,74759.86
p31,2020,2020-07-16,78633.14
p31,2020,2020-07-17,78605.04000000001
p31,2020,2020-07-18,75834.84
p31,2020,2020-07-19,74723.47
p31,2020,2020-07-26,74482.70000000001
p31,2020,2020-07-27,77051.78
p31,2021,2021-06-08,75340.75
p31,2021,2021-06-09,76063.83
p31,2021,2021-06-10,75775.43
p31,2021,2021-06-11,75353.9
p31,2021,2021-06-20,72038.62
p31,2021,2021-06-21,76753.19
p31,2021,2021-06-22,77729.42
p31,2021,2021-06-23,74256.26
p31,2021,2021-07-21,78193.33
p31,2021,2021-07-22,78784.6
p31,2025,2025-06-08,71656.39
p31,2025,2025-06-16,75286.47
p31,2025,2025-07-04,70031.78
p31,2025,2025-07-05,74013.86
p31,2025,2025-07-06,74691.61
p31,2026,2026-07-30,78403.79000000001
p31,2027,2027-06-24,75171.13
p31,2029,2029-06-18,74359.91
p31,2029,2029-07-01,74718.67
p31,2029,2029-07-02,79274.58
p31,2029,2029-07-03,78201.91
p31,2029,2029-07-15,73895.48000000001
p31,2029,2029-07-16,76599.81
p31,2029,2029-07-17,77602.95999999999
p31,2029,2029-07-18,79186.5
p31,2029,2029-07-19,76733.56
p31,2030,2030-06-05,74739.64
p31,2030,2030-06-18,75719.1
p31,2030,2030-06-23,71246.39
p31,2030,2030-06-24,77734.44
p31,2030,2030-06-25,78972.11
p31,2030,2030-06-26,78124.89
p31,2030,2030-06-27,77778.42
p31,2030,2030-06-28,77263.14
p31,2030,2030-06-29,74134.48000000001
p31,2031,2031-06-25,74667.57
p31,2032,2032-07-05,70322.65000000001
p31,2032,2032-07-06,80599.18
p31,2032,2032-07-07,79570.94
p31,2033,2033-06-27,73817.23999999999
p31,2033,2033-07-07,77940.51000000001
p31,2033,2033-07-08,78100.43
p31,2034,2034-06-23,74207.82
p31,2034,2034-06-24,73795.78
p31,2034,2034-06-25,75990.33
p31,2034,2034-06-26,81144.69
p31,2034,2034-06-27,81694.68
p31,2034,2034-06-28,81154.83
p31,2034,2034-06-29,79417.54000000001
p31,2034,2034-06-30,79615.01000000001
p31,2034,2034-07-01,78887.98999999999
p31,2034,2034-07-02,77349.44
p31,2034,2034-07-03,79806.16
p31,2034,2034-07-04,73162.31
p31,2034,2034-07-10,75479.25
p31,2034,2034-07-11,77918.55
p31,2034,2034-07-12,78211.67
p31,2034,2034-07-13,76885.04
p31,2034,2034-07-26,77825.9
p31,2034,2034-07-31,75956.35
p31,2034,2034-08-06,74581.35
p31,2034,2034-08-07,80383.28
p31,2034,2034-08-08,78882.76000000001
p31,2034,2034-08-17,78980.68
p31,2035,2035-07-25,76907.56
p31,2035,2035-07-26,79319.48999999999
p31,2035,2035-07-27,80524.71
p31,2035,2035-07-28,77308.38
p31,2035,2035-07-29,76646.64
p31,2035,2035-07-30,77939.16
p31,2035,2035-08-03,77167.48
p31,2035,2035-08-04,73753.43
p31,2035,2035-08-05,73677.31
p31,2035,2035-08-06,78778.04000000001
p31,2035,2035-08-07,79525.61
p31,2035,2035-08-08,79590.29000000001
p31,2036,2036-06-05,73498.11
p31,2036,2036-06-06,75046.59
p31,2036,2036-06-19,70530.56
p31,2036,2036-06-20,77030.39
p31,2036,2036-06-21,74945.22
p31,2036,2036-07-05,75724.77
p31,2036,2036-07-20,75051.77
p31,2036,2036-07-21,79567.01000000001
p31,2036,2036-07-22,79764.43000000001
p31,2036,2036-07-23,78606.89
p31,2036,2036-07-24,78024.04
p31,2036,2036-07-25,76440.14
p31,2036,2036-07-26,73476.49
p31,2036,2036-08-01,78145.8
p31,2036,2036-08-12,74649.2
p31,2036,2036-08-13,75389.33
p31,2036,2036-08-14,76396.28
p31,2036,2036-08-15,76012.5
p31,2037,2037-06-30,75589.41
p31,2037,2037-07-01,77131.86
p31,2037,2037-07-02,77414.47
p31,2037,2037-07-03,71687.83
p31,2037,2037-07-14,77367.25
p31,2037,2037-07-15,77171.66
p31,2038,2038-06-24,74812.63
p31,2038,2038-06-25,75098.56
p31,2038,2038-06-26,72509.22
p31,2038,2038-06-27,72991.85
p31,2038,2038-06-28,77619.45000000001
p31,2038,2038-06-29,78385.61
p31,2038,2038-06-30,77845.87
p31,2038,2038-07-11,75366.35
p31,2038,2038-07-12,79884.98000000001
p31,2038,2038-07-13,78999.79
p31,2038,2038-07-14,77746.05
p31,2038,2038-07-15,78388.12
p31,2038,2038-07-19,77627.98
p31,2038,2038-07-20,77800.5
p31,2039,2039-06-26,72340.28
p31,2039,2039-06-27,76615.62
p31,2039,2039-06-28,76914.93000000001
p31,2039,2039-06-29,75929.37
p31,2039,2039-06-30,76698.2
p31,2039,2039-07-01,80251.38
p31,2039,2039-07-02,76613.51999999999
p31,2040,2040-05-23,70059.70999999999
p31,2040,2040-05-24,71278.1
p31,2040,2040-05-29,70553.61
p31,2040,2040-05-30,71341.29000000001
p31,2040,2040-06-15,72319.92
p31,2040,2040-06-16,69548.32
p31,2040,2040-07-18,78033.47
p31,2040,2040-07-20,77314.51000000001
p31,2040,2040-07-21,74289.4
p31,2040,2040-07-22,73849.37
p31,2040,2040-07-24,76523.49
p31,2040,2040-07-25,78778.39
p31,2040,2040-07-26,77874.18
p31,2040,2040-07-27,78020.9
p31,2040,2040-07-28,74996.68
p31,2040,2040-07-29,73614.35
p31,2040,2040-08-02,75508.27
p31,2040,2040-08-03,77625.01
p31,2040,2040-08-04,74844.36
p31,2040,2040-08-05,74685.73999999999
p31,2041,2041-06-10,73517.79
p31,2041,2041-06-11,74057.75
p31,2041,2041-07-13,74845.54000000001
p31,2041,2041-07-23,78347.73
p31,2042,2042-05-31,68907.98
p31,2042,2042-06-01,71345.85
p31,2042,2042-06-13,74651.55
p31,2042,2042-06-15,68716.86
p31,2042,2042-06-17,72435.99
p31,2042,2042-06-18,74141.39
p31,2042,2042-06-19,69709.74
p31,2042,2042-06-20,75159.73000000001
p31,2042,2042-06-23,73872.25
p31,2042,2042-06-24,75589.0
p31,2042,2042-06-25,75988.88
p31,2042,2042-06-26,75565.22
p31,2042,2042-06-27,74579.55
p31,2042,2042-06-30,75955.7
p31,2042,2042-07-01,77972.45999999999
p31,2042,2042-07-02,78940.22
p31,2042,2042-07-03,77158.54000000001
p31,2042,2042-07-13,73362.13
p31,2042,2042-07-31,75845.1
p31,2042,2042-08-01,79121.33
p31,2042,2042-08-12,78102.12
p31,2042,2042-08-13,76108.89
p31,2042,2042-08-15,77759.54000000001
p31,2042,2042-08-16,74590.86
p31,2042,2042-08-17,73847.0
p31,2042,2042-08-18,77499.01000000001
p31,2042,2042-08-25,74050.39
p31,2042,2042-08-26,75906.87
p31,2042,2042-08-27,76518.9
p31,2043,2043-07-02,77076.93
p31,2043,2043-07-03,72604.48999999999
p31,2043,2043-07-04,69222.0
p31,2043,2043-07-05,74226.91
p31,2043,2043-07-08,74174.65
p31,2043,2043-07-09,77246.8
p31,2043,2043-07-10,78445.92
p31,2043,2043-07-11,75537.22
p31,2043,2043-07-12,75778.61
p31,2043,2043-07-13,79606.54000000001
p31,2043,2043-07-14,80537.15
p31,2043,2043-07-15,80544.56
p31,2043,2043-07-16,78791.63
p31,2043,2043-07-19,74166.9
p31,2043,2043-07-20,78197.47
p31,2043,2043-07-22,78785.03
p31,2043,2043-07-23,78065.78
p31,2043,2043-07-24,77367.32
p31,2043,2043-07-25,75313.68
p31,2043,2043-08-02,74475.96
p31,2043,2043-08-04,79325.72
p31,2043,2043-08-10,77676.52
p31,2043,2043-08-11,77931.22
p31,2044,2044-06-14,73570.67
p31,2044,2044-06-15,74713.70999999999
p31,2044,2044-07-20,76470.95999999999
p31,2045,2045-05-22,71169.08
p31,2045,2045-05-23,71573.42
p31,2045,2045-06-19,69356.51
p31,2045,2045-06-20,75392.20000000001
p31,2045,2045-06-21,74358.51000000001
p31,2045,2045-06-28,75929.89
p31,2045,2045-06-29,75102.43
p31,2045,2045-06-30,75653.19
p31,2045,2045-07-01,74562.26000000001
p31,2045,2045-07-02,73812.37
p31,2045,2045-07-03,77431.07
p31,2045,2045-07-04,71852.17
p31,2045,2045-07-05,76354.26000000001
p31,2045,2045-07-06,76664.39
p31,2045,2045-07-07,77487.31
p31,2045,2045-07-08,74162.24
p31,2045,2045-07-10,75660.76000000001
p31,2045,2045-07-11,77142.67
p31,2045,2045-07-12,77724.15
p31,2045,2045-07-14,77472.99
p31,2045,2045-07-15,74826.98000000001
p31,2045,2045-07-16,73511.99
p31,2045,2045-07-17,78348.6
p31,2045,2045-07-18,77671.62
p31,2045,2045-07-19,77979.19
p31,2045,2045-07-20,78783.91
p31,2046,2046-06-04,73808.85
p31,2046,2046-06-05,75809.97
p31,2046,2046-06-06,76288.09
p31,2046,2046-06-12,75060.28
p31,2046,2046-06-13,75270.5
p31,2046,2046-06-14,76945.63
p31,2046,2046-06-15,75374.71
p31,2046,2046-06-18,73563.04000000001
p31,2046,2046-06-19,70370.93
p31,2046,2046-06-20,76406.65
p31,2046,2046-06-21,75607.95999999999
p31,2046,2046-07-12,78405.51
p31,2046,2046-07-13,79119.47
p31,2046,2046-07-14,75915.36
p31,2046,2046-07-15,74756.87
p31,2046,2046-07-17,78250.35
p31,2046,2046-07-18,79230.31
p31,2046,2046-07-25,78372.45999999999
p31,2047,2047-06-19,69855.38
p31,2047,2047-06-25,74925.43000000001
p31,2047,2047-06-26,76042.98000000001
p31,2047,2047-06-27,72672.09
p31,2047,2047-06-30,69891.39
p31,2047,2047-07-01,77966.56
p31,2047,2047-07-02,78265.20000000001
p31,2047,2047-07-03,77929.84
p31,2047,2047-07-04,70005.93
p31,2047,2047-07-08,76133.83
p31,2047,2047-07-09,77962.95
p31,2047,2047-07-10,77780.88
p31,2047,2047-08-20,79973.33
p31,2047,2047-08-21,79044.17
p31,2047,2047-08-22,77300.66
p31,2048,2048-06-10,71159.11
p31,2048,2048-06-15,74801.05
p31,2048,2048-06-16,76667.28
p31,2048,2048-06-17,75735.23000000001
p31,2048,2048-06-18,75008.44
p31,2048,2048-06-19,69956.64
p31,2048,2048-06-25,74252.25
p31,2048,2048-07-30,77887.87
p31,2048,2048-07-31,78674.85
p31,2048,2048-08-01,75384.72
p31,2049,2049-07-08,76796.57
p31,2049,2049-07-09,79393.42
p31,2049,2049-07-10,76953.01
p31,2049,2049-07-11,75319.23
p31,2049,2049-07-12,78326.35
p31,2049,2049-07-13,78914.03
p31,2049,2049-07-14,80631.48
p31,2049,2049-07-15,80731.25
p31,2049,2049-07-16,79543.65
p31,2049,2049-07-17,75141.75
p31,2049,2049-07-18,74520.18
p31,2049,2049-07-19,78376.23
p31,2049,2049-07-20,79348.07
p31,2049,2049-07-25,75151.13
p31,2049,2049-07-28,77716.9
p31,2049,2049-07-29,77023.03
p31,2049,2049-08-02,76072.3
p31,2049,2049-08-03,77580.05
p31,2049,2049-08-04,79308.58
p31,2049,2049-08-05,80018.45
p31,2049,2049-08-06,78285.37
p31,2050,2050-06-04,69885.61
p31,2050,2050-06-05,74016.43
p31,2050,2050-06-06,77602.66
p31,2050,2050-06-07,75443.97
p31,2050,2050-06-08,75672.45999999999
p31,2050,2050-06-09,75913.95000000001
p31,2050,2050-06-10,75169.19
p31,2050,2050-06-18,70026.22
p31,2050,2050-06-19,66709.1
p31,2050,2050-06-20,68196.4
p31,2050,2050-06-21,74711.81
p31,2050,2050-06-22,75893.98
p31,2050,2050-06-23,75712.33
p31,2050,2050-07-13,78574.23999999999
p31,2050,2050-07-14,80135.17
p31,2050,2050-07-15,79899.28
p31,2050,2050-07-16,76084.6
p31,2050,2050-07-17,75613.15
p31,2050,2050-07-18,79333.23999999999
p31,2050,2050-07-19,78957.92
p31,2050,2050-07-20,79144.58
p31,2050,2050-08-14,75846.24
p31,2051,2051-06-16,74770.32
p31,2051,2051-06-23,75980.76000000001
p31,2051,2051-06-24,73326.33
p31,2051,2051-06-25,73747.1
p31,2051,2051-06-26,77620.12
p31,2051,2051-06-27,78166.15
p31,2051,2051-06-28,76686.42
p31,2051,2051-06-29,76001.19
p31,2051,2051-06-30,75713.01999999999
p31,2051,2051-07-05,78257.02
p31,2051,2051-07-06,78149.76
p31,2051,2051-07-07,78238.74
p31,2051,2051-07-08,75768.6
p31,2051,2051-07-09,75281.14
p31,2051,2051-07-15,75105.4
p31,2051,2051-07-16,76656.93
p31,2051,2051-07-17,78219.93
p31,2051,2051-07-19,78446.76
p31,2051,2051-07-20,79627.35
p31,2051,2051-07-23,74140.85
p31,2051,2051-08-05,76078.64
p31,2051,2051-08-06,75419.12
p31,2051,2051-08-07,79177.48999999999
p31,2051,2051-08-08,79787.68
p31,2051,2051-08-09,79054.32
