rb,Year,Date,Load_sum
p31,2025,2025-02-01,86753.97202005988
p31,2025,2025-02-02,85122.36960219589
p31,2030,2030-12-23,99800.09264129275
p31,2030,2030-12-24,100581.00099905072
p31,2036,2036-12-18,109926.05712511149
p31,2051,2051-01-01,132664.91884557874
p31,2051,2051-02-02,154618.01819309458
p31,2051,2051-02-03,152458.33639460447
p31,2051,2051-02-04,139234.96988204206
p31,2065,2065-02-01,185102.62560660907
p31,2065,2065-02-02,185531.98001805294
p31,2070,2070-12-23,212169.60172767797
p31,2091,2091-02-02,331185.6026465785
p31,2091,2091-02-03,319349.60234169284
