rb,Year,Date,Load_sum
p127,2020,2020-03-01,393398.76991710614
p127,2020,2020-12-25,384011.46316923306
p127,2021,2021-01-04,457853.81327774964
p127,2021,2021-01-05,448629.63611062
p127,2021,2021-01-11,460225.763575525
p127,2021,2021-01-12,460825.2787843166
p127,2021,2021-01-13,450354.594681248
p127,2022,2022-01-11,469028.16275272483
p127,2022,2022-01-17,432993.57284917147
p127,2022,2022-01-18,471240.69260630844
p127,2022,2022-01-22,424335.9227402317
p127,2022,2022-01-27,456204.0383947608
p127,2024,2024-01-21,420071.56183371716
p127,2024,2024-01-22,455346.926643154
p127,2025,2025-01-21,469018.1550410659
p127,2027,2027-01-25,452519.8387000188
p127,2027,2027-01-27,444502.9149714328
p127,2027,2027-02-16,445374.2340131989
p127,2028,2028-01-14,456735.8316747358
p127,2034,2034-01-16,442585.70002537087
p127,2034,2034-01-19,470930.65576420084
p127,2034,2034-01-20,469976.6666070634
p127,2034,2034-01-21,421472.6470774122
p127,2034,2034-01-27,461076.92516856553
p127,2034,2034-02-27,449891.9628884802
p127,2035,2035-02-06,457434.8910622095
p127,2035,2035-02-07,442409.98869613
p127,2036,2036-01-06,420722.30187418155
p127,2036,2036-02-05,446916.06767362746
p127,2043,2043-01-28,458615.7849161177
p127,2044,2044-01-10,428009.59790283075
p127,2044,2044-01-14,455515.195347346
p127,2044,2044-01-16,427519.16870365327
p127,2045,2045-01-24,455096.58291394584
p127,2045,2045-01-28,427096.45182092156
p127,2047,2047-03-06,449213.7933342656
p127,2049,2049-01-17,425649.3729241366
p127,2051,2051-01-24,467261.50374180067
p127,2054,2054-01-04,428342.2875272625
p127,2055,2055-02-13,418182.27724515577
p127,2055,2055-02-16,476753.1046433176
p127,2055,2055-02-20,425363.8457016472
p127,2055,2055-02-21,418486.86520513275
p127,2055,2055-02-24,460811.4743596191
p127,2056,2056-02-14,467617.93787493714
p127,2058,2058-01-07,466289.47955336794
p127,2059,2059-01-21,477315.13574254833
p127,2060,2060-12-25,371803.43735894776
p127,2061,2061-01-12,465447.7043319912
p127,2062,2062-01-18,477269.48136006313
p127,2074,2074-01-19,474941.2178942993
p127,2094,2094-01-04,472281.5337046142
p127,2095,2095-02-16,479692.3675198835
p127,2096,2096-02-14,475679.39602310874
p127,2098,2098-01-07,478409.9206805728
