rb,Year,Date,Load_sum
p97,2020,2020-07-12,474905.82627154165
p97,2020,2020-07-16,506959.2464131885
p97,2020,2020-07-17,516332.78436128213
p97,2020,2020-07-31,515277.58890119835
p97,2020,2020-08-01,487014.0669858658
p97,2020,2020-08-03,532060.0234993438
p97,2020,2020-08-04,516922.49761189875
p97,2020,2020-08-07,520677.2613091308
p97,2020,2020-08-08,481833.852844279
p97,2021,2021-06-10,506723.681767505
p97,2021,2021-06-14,501849.2654179297
p97,2021,2021-06-15,511113.55350085074
p97,2021,2021-06-16,509116.58685289766
p97,2021,2021-06-22,509510.55792318424
p97,2021,2021-06-25,509985.6969014334
p97,2021,2021-07-09,523519.9597810076
p97,2021,2021-07-10,492537.69767609943
p97,2023,2023-07-16,495325.6489887396
p97,2023,2023-07-17,526483.7766982111
p97,2023,2023-07-24,529010.681477173
p97,2023,2023-08-19,485686.386497673
p97,2023,2023-08-20,497432.3804596369
p97,2023,2023-08-21,530391.197724988
p97,2023,2023-09-11,508280.0797957701
p97,2024,2024-07-11,518599.25363536814
p97,2026,2026-07-07,532516.7849743223
p97,2026,2026-07-08,538100.2231010173
p97,2026,2026-07-09,539993.5670891053
p97,2026,2026-07-11,488422.2836633036
p97,2026,2026-07-12,491303.85748614674
p97,2026,2026-07-13,535699.5467595313
p97,2026,2026-07-18,509943.04116084496
p97,2026,2026-07-19,505262.5884589806
p97,2026,2026-07-21,539482.3386001246
p97,2026,2026-07-29,532002.0123468244
p97,2027,2027-07-09,530411.0781725906
p97,2027,2027-07-10,492825.304620289
p97,2027,2027-07-21,528022.7193791486
p97,2027,2027-07-22,541092.7703909564
p97,2027,2027-07-23,537120.7564752853
p97,2027,2027-07-24,490617.1093742634
p97,2028,2028-06-22,513273.41751858406
p97,2028,2028-06-23,519296.1629485606
p97,2028,2028-07-09,480809.0226730944
p97,2028,2028-07-10,523148.9479555333
p97,2028,2028-07-15,508682.63991183555
p97,2028,2028-07-16,508906.5692947132
p97,2028,2028-07-17,550908.6844888335
p97,2028,2028-07-18,538593.058530607
p97,2028,2028-08-01,540328.527224495
p97,2028,2028-08-02,541763.7670572149
p97,2028,2028-08-16,538414.4788106335
p97,2028,2028-08-17,547364.966081291
p97,2028,2028-08-18,552746.7292745071
p97,2028,2028-08-19,501071.7473644222
p97,2030,2030-07-05,526654.1398469326
p97,2032,2032-07-10,494870.61175753863
p97,2032,2032-07-12,542800.1275475555
p97,2032,2032-07-13,536079.7070994395
p97,2032,2032-07-14,542291.2419541611
p97,2033,2033-06-09,515512.0711236121
p97,2033,2033-06-10,517399.68753103237
p97,2033,2033-07-03,495840.8174685208
p97,2033,2033-07-04,480351.4856634651
p97,2033,2033-07-08,551823.6653638068
p97,2033,2033-07-09,518092.7086042891
p97,2033,2033-07-10,516254.84224306286
p97,2033,2033-07-11,542725.2137664439
p97,2033,2033-07-12,548157.3670200268
p97,2033,2033-07-13,544075.2989637713
p97,2033,2033-07-14,548064.9878050901
p97,2033,2033-07-15,532043.4925201583
p97,2033,2033-07-19,538190.434220441
p97,2033,2033-07-20,547964.9654128435
p97,2033,2033-07-21,538840.3414238468
p97,2033,2033-07-28,559920.141290902
p97,2033,2033-07-29,564921.5932217066
p97,2035,2035-08-13,563493.7141791347
p97,2035,2035-08-14,562843.4634548619
p97,2035,2035-08-17,560438.2099802208
p97,2036,2036-05-19,490174.67548752856
p97,2036,2036-06-22,490948.15182831825
p97,2036,2036-06-23,530742.8620024049
p97,2036,2036-07-01,543920.8874849024
p97,2037,2037-07-03,488287.3984410066
p97,2037,2037-07-04,460747.61165997526
p97,2037,2037-07-28,556895.3145288504
p97,2037,2037-08-17,551443.6759341513
p97,2038,2038-06-26,503635.9237478417
p97,2038,2038-06-27,506721.13580058014
p97,2038,2038-06-30,536287.7690122674
p97,2038,2038-07-20,552828.4109512006
p97,2038,2038-07-21,556106.3014942512
p97,2038,2038-07-22,559533.8229132013
p97,2038,2038-08-29,502855.78481166414
p97,2039,2039-06-08,509184.27880670794
p97,2039,2039-07-23,536266.1382168774
p97,2039,2039-07-26,548630.8746138186
p97,2039,2039-07-28,554186.5734834136
p97,2039,2039-07-29,551859.3545871577
p97,2039,2039-07-30,533132.5817423757
p97,2039,2039-07-31,542959.4660977509
p97,2039,2039-08-01,587999.6702538845
p97,2039,2039-08-07,500698.23243164766
p97,2039,2039-08-08,553613.6431980031
p97,2039,2039-08-12,555666.5876476231
p97,2039,2039-08-14,519926.07336652454
p97,2039,2039-08-17,554679.4407808284
p97,2039,2039-08-18,552177.1400889605
p97,2040,2040-07-10,535742.9630606689
p97,2040,2040-08-10,555071.468841919
p97,2040,2040-08-16,513711.8137516108
p97,2041,2041-07-11,559185.5676686915
p97,2041,2041-08-08,565660.6800720816
p97,2041,2041-08-09,570565.8628348622
p97,2041,2041-08-10,529914.4942895903
p97,2042,2042-06-02,529560.4282132278
p97,2042,2042-07-05,523758.366705809
p97,2042,2042-07-16,546251.6561545627
p97,2042,2042-07-17,558078.1086627328
p97,2042,2042-07-30,564420.1275605336
p97,2042,2042-08-13,535490.7089929776
p97,2042,2042-08-18,543918.5026650069
p97,2042,2042-08-20,554206.5025866475
p97,2042,2042-08-22,543548.7386560657
p97,2042,2042-08-23,514184.41774723557
p97,2042,2042-08-24,519076.3341031737
p97,2044,2044-07-14,557099.6917262115
p97,2045,2045-07-26,578578.7901742669
p97,2045,2045-07-27,562408.5041778666
p97,2046,2046-07-18,568433.2673899824
p97,2047,2047-06-18,528172.4887097821
p97,2047,2047-08-05,575384.9419696612
p97,2047,2047-08-07,591117.6511313068
p97,2047,2047-08-08,593207.0890849675
p97,2047,2047-08-09,603242.0482696076
p97,2047,2047-08-10,551403.922047188
p97,2047,2047-08-13,554044.334550298
p97,2047,2047-08-15,547707.358165927
p97,2047,2047-08-16,566895.7431804969
p97,2047,2047-08-17,515552.4687852057
p97,2047,2047-08-19,518356.9633759039
p97,2047,2047-08-20,548341.0208598184
p97,2047,2047-08-21,566701.4678971467
p97,2047,2047-08-22,569238.3370320234
p97,2047,2047-08-25,524246.5094024014
p97,2047,2047-09-10,519488.079578036
p97,2047,2047-09-11,518564.0147335951
p97,2048,2048-06-05,542940.8505390998
p97,2048,2048-06-06,508264.96876995964
p97,2048,2048-06-07,507872.6091071601
p97,2048,2048-06-08,554997.7579758714
p97,2048,2048-06-09,566968.8278337428
p97,2048,2048-06-10,557780.0250021664
p97,2048,2048-07-21,575887.8247943901
p97,2048,2048-07-22,576483.0685960138
p97,2048,2048-07-30,562773.9698670192
p97,2048,2048-08-02,537722.7588207308
p97,2048,2048-08-05,580414.48969141
p97,2048,2048-08-06,577963.9965335428
p97,2049,2049-06-20,510991.6418243548
p97,2049,2049-08-11,585592.5147139473
p97,2050,2050-06-06,554641.0427182228
p97,2050,2050-06-13,559440.4984623955
p97,2050,2050-06-14,572305.0551922226
p97,2050,2050-06-15,579571.6870266389
p97,2050,2050-06-21,569444.0473785579
p97,2050,2050-06-22,570695.8483405304
p97,2050,2050-06-23,580895.968844246
p97,2050,2050-06-24,586267.1415439978
p97,2050,2050-06-25,537725.656424558
p97,2050,2050-06-26,525749.2603080149
p97,2050,2050-06-27,575488.6723437416
p97,2050,2050-06-28,574671.2387034198
p97,2050,2050-07-06,550894.3556280492
p97,2050,2050-07-07,578941.7504395843
p97,2050,2050-07-08,589477.2651551609
p97,2050,2050-07-20,564811.9431446347
p97,2050,2050-07-21,559713.6645213959
p97,2050,2050-07-22,581999.9639838049
p97,2050,2050-07-23,549419.5483032423
p97,2050,2050-07-24,543783.9454602282
p97,2050,2050-07-25,597681.964012482
p97,2050,2050-08-05,598226.9356984806
p97,2050,2050-08-10,591752.494002196
p97,2050,2050-08-11,598389.5446623554
p97,2050,2050-08-13,543049.6908326901
p97,2050,2050-08-31,521476.0651812706
p97,2050,2050-09-03,468344.37907067523
p97,2050,2050-09-23,525811.0561631061
p97,2051,2051-05-31,537747.1429039167
p97,2051,2051-06-01,568351.3847433222
p97,2051,2051-06-02,550274.8146288942
p97,2051,2051-06-05,533435.7097724555
p97,2051,2051-06-08,546529.245750874
p97,2051,2051-06-09,549072.2429844611
p97,2051,2051-06-20,559921.9464758711
p97,2051,2051-06-21,564789.0793398841
p97,2051,2051-06-22,561072.5709461113
p97,2051,2051-06-28,563318.5038121457
p97,2051,2051-07-02,524473.5205482199
p97,2051,2051-07-04,512782.87196010683
p97,2051,2051-07-12,595746.2586656502
p97,2051,2051-07-13,609209.986290277
p97,2051,2051-07-19,572422.2852459551
p97,2051,2051-07-20,591096.991866777
p97,2051,2051-07-21,604625.0227076877
p97,2051,2051-07-22,570327.195741886
