rb,Year,Date,Load_sum
p37,2020,2020-07-10,76821.8244254809
p37,2020,2020-07-11,66969.56087643659
p37,2020,2020-07-13,74851.246636005
p37,2020,2020-07-23,74394.50893967404
p37,2020,2020-07-24,73901.04365311745
p37,2020,2020-07-29,71379.02639525993
p37,2020,2020-07-30,72297.05639514404
p37,2020,2020-08-01,62860.16455016986
p37,2020,2020-08-03,72671.93679227713
p37,2020,2020-08-06,73854.26955589405
p37,2020,2020-08-19,78321.79624430218
p37,2020,2020-09-07,64129.62065145601
p37,2021,2021-07-05,69770.8812209004
p37,2021,2021-07-06,82082.2358435419
p37,2021,2021-07-07,84010.82501454311
p37,2021,2021-07-08,75682.3159635958
p37,2021,2021-07-30,82016.11684332791
p37,2021,2021-08-11,78392.36931810714
p37,2021,2021-08-12,79741.58521454947
p37,2021,2021-08-13,80456.87742956688
p37,2021,2021-08-20,78151.41678885867
p37,2021,2021-08-21,68511.15205371895
p37,2021,2021-08-22,69898.3545596386
p37,2021,2021-08-30,80184.49075153019
p37,2021,2021-09-09,76084.77317432557
p37,2022,2022-07-16,84452.98138641591
p37,2022,2022-07-20,89357.96155624406
p37,2022,2022-08-01,89002.99742867851
p37,2022,2022-08-02,89735.89452830225
p37,2022,2022-08-03,85193.02128521277
p37,2022,2022-08-18,92520.67824165476
p37,2022,2022-08-19,87344.53799182863
p37,2022,2022-09-08,84474.2014034188
p37,2022,2022-09-09,82679.17395227191
p37,2022,2022-09-10,72940.65937974934
p37,2023,2023-06-24,80953.43038972557
p37,2023,2023-07-07,97828.81930704086
p37,2023,2023-07-08,90914.80515219885
p37,2023,2023-07-09,91039.097610756
p37,2023,2023-07-10,98760.68741333525
p37,2023,2023-07-13,93424.07151058993
p37,2023,2023-07-14,98195.50499185592
p37,2023,2023-07-15,84895.21209238826
p37,2023,2023-08-02,94073.81217841052
p37,2023,2023-08-03,100589.57111765785
p37,2023,2023-08-04,98389.96073636066
p37,2023,2023-08-05,87856.03837249448
p37,2023,2023-08-06,82211.72196272854
p37,2023,2023-08-07,95337.4498886124
p37,2023,2023-08-08,86971.21623644269
p37,2023,2023-08-12,79849.10363587263
p37,2023,2023-08-14,88621.94144155376
p37,2023,2023-08-15,93445.71629174119
p37,2023,2023-08-16,91235.14096411661
p37,2023,2023-08-17,96380.15683427168
p37,2023,2023-08-18,93597.87724609251
p37,2023,2023-08-24,94852.7550384584
p37,2023,2023-08-25,93779.25893849114
p37,2023,2023-08-26,80821.07593986273
p37,2023,2023-08-27,77175.60341653624
p37,2023,2023-08-28,86206.02686397338
p37,2023,2023-08-29,88151.36673336673
p37,2023,2023-08-31,87842.17786160417
p37,2023,2023-09-01,92977.41884730512
p37,2023,2023-09-02,81333.0025275991
p37,2023,2023-09-03,76125.45336306075
p37,2024,2024-07-13,86260.7081335313
p37,2024,2024-08-05,107856.98446464943
p37,2024,2024-08-06,105206.44773532965
p37,2024,2024-08-07,103393.90201770375
p37,2024,2024-08-11,86249.74007516146
