rb,Year,Date,Load_sum
p37,2020,2020-07-10,40862.46
p37,2020,2020-07-11,35522.2
p37,2020,2020-07-13,39820.39
p37,2020,2020-07-23,39549.92
p37,2020,2020-07-24,39470.54
p37,2020,2020-07-29,38173.76
p37,2020,2020-07-30,37995.82
p37,2020,2020-08-19,41481.96
p37,2020,2020-09-07,34431.1
p37,2021,2021-07-05,35035.18
p37,2021,2021-07-06,41135.520000000004
p37,2021,2021-07-07,42100.979999999996
p37,2021,2021-07-08,38210.97
p37,2021,2021-07-30,41513.19
p37,2021,2021-07-31,34377.28
p37,2021,2021-08-13,40085.270000000004
p37,2022,2022-07-20,41895.53
p37,2022,2022-08-01,41708.51
p37,2022,2022-08-02,42483.95
p37,2022,2022-08-03,39309.01
p37,2022,2022-08-06,38458.740000000005
p37,2022,2022-08-18,43858.259999999995
p37,2022,2022-09-09,40075.979999999996
p37,2022,2022-09-10,35467.39
p37,2023,2023-07-07,43553.009999999995
p37,2023,2023-07-09,41055.130000000005
p37,2023,2023-07-10,44707.520000000004
p37,2023,2023-07-13,41778.74
p37,2023,2023-07-14,43809.990000000005
p37,2023,2023-07-15,38140.12
p37,2023,2023-08-03,44796.18000000001
p37,2023,2023-08-04,43133.43
p37,2023,2023-08-05,38391.729999999996
p37,2023,2023-08-06,36154.28
p37,2023,2023-08-07,42310.01
p37,2023,2023-08-08,38719.75
p37,2023,2023-08-15,41405.28
p37,2023,2023-08-17,42624.62
p37,2023,2023-08-25,43668.259999999995
p37,2023,2023-08-26,36695.83
p37,2023,2023-08-28,39760.45
p37,2023,2023-09-01,42603.89
p37,2023,2023-09-02,36811.100000000006
p37,2024,2024-07-13,36259.76
p37,2024,2024-08-05,44566.78
p37,2024,2024-08-06,43528.01
p37,2024,2024-08-07,42485.32
p37,2024,2024-08-12,42133.36
p37,2024,2024-08-13,41622.3
p37,2024,2024-08-14,38267.71
p37,2024,2024-08-25,36468.11
p37,2024,2024-08-26,40984.97
p37,2024,2024-08-27,38317.36
p37,2024,2024-08-28,36692.380000000005
p37,2025,2025-07-07,41741.35
p37,2026,2026-08-19,40714.63
p37,2027,2027-07-16,40161.36
p37,2027,2027-07-17,35587.93
p37,2027,2027-07-29,43073.42
p37,2027,2027-07-31,39600.81
p37,2027,2027-08-01,40544.23
p37,2027,2027-08-10,39832.850000000006
p37,2028,2028-06-05,39885.8
p37,2028,2028-06-06,39690.869999999995
p37,2028,2028-06-07,40827.76
p37,2028,2028-06-08,40231.08
p37,2028,2028-06-11,33347.619999999995
p37,2028,2028-06-17,33341.84
p37,2028,2028-06-18,34642.39
p37,2028,2028-06-19,33144.7
p37,2028,2028-06-20,37547.7
p37,2028,2028-06-21,39183.09
p37,2028,2028-06-22,37462.18
p37,2028,2028-06-24,35450.96000000001
p37,2028,2028-06-25,32493.88
p37,2028,2028-06-27,37974.58
p37,2028,2028-06-28,40023.48
p37,2028,2028-07-03,39880.28
p37,2028,2028-07-04,35831.29
p37,2028,2028-07-05,43517.89
p37,2028,2028-07-06,42788.229999999996
p37,2028,2028-07-07,39534.53
p37,2028,2028-07-14,38974.21000000001
p37,2028,2028-07-15,34165.340000000004
p37,2028,2028-07-22,32745.79
p37,2028,2028-07-23,33015.259999999995
p37,2028,2028-07-25,36156.45
p37,2028,2028-07-26,37950.84
p37,2028,2028-07-27,39128.51
p37,2028,2028-07-28,38415.7
p37,2028,2028-07-29,33645.9
p37,2028,2028-07-30,33738.32
p37,2028,2028-07-31,37520.46
p37,2028,2028-08-01,37240.81
p37,2028,2028-08-05,33757.3
p37,2028,2028-08-06,34025.57
p37,2028,2028-08-07,39182.15
p37,2028,2028-08-10,38511.85
p37,2028,2028-08-11,39117.17
p37,2028,2028-08-12,34504.3
p37,2028,2028-08-13,33620.67
p37,2028,2028-08-15,40819.880000000005
p37,2028,2028-08-16,40956.96
p37,2028,2028-08-17,41668.11
p37,2028,2028-08-20,34863.03
p37,2029,2029-07-01,37612.55
p37,2029,2029-07-04,34396.92
p37,2029,2029-07-05,41049.51
p37,2029,2029-07-06,39455.89
p37,2029,2029-07-08,35647.92
p37,2029,2029-07-09,39207.21
p37,2029,2029-07-20,38814.2
p37,2029,2029-07-21,33958.86
p37,2029,2029-07-22,34732.18
p37,2029,2029-07-25,40686.44
p37,2029,2029-07-26,40215.97
p37,2029,2029-07-27,38529.01
p37,2029,2029-07-31,40025.57
p37,2029,2029-08-01,42109.66
p37,2029,2029-08-02,43233.54
p37,2029,2029-08-03,42278.36
p37,2029,2029-08-04,34596.649999999994
p37,2029,2029-08-11,33276.009999999995
p37,2029,2029-08-12,34696.76
p37,2029,2029-08-23,40225.880000000005
p37,2029,2029-08-24,40122.29
p37,2030,2030-07-01,42048.840000000004
p37,2030,2030-07-02,44566.67
p37,2030,2030-07-03,44200.61
p37,2030,2030-08-08,39118.89
p37,2030,2030-08-16,40466.1
p37,2030,2030-08-17,37333.11
p37,2031,2031-07-15,42352.11
p37,2031,2031-07-17,41653.42
p37,2031,2031-07-18,42550.83
p37,2031,2031-08-20,39292.35
p37,2031,2031-08-24,35120.17
p37,2031,2031-08-25,38488.28
p37,2031,2031-08-26,39558.2
p37,2031,2031-08-27,38146.479999999996
p37,2031,2031-08-28,40511.28
p37,2031,2031-08-29,39673.07
p37,2032,2032-08-08,37753.92
p37,2034,2034-09-09,34104.75
p37,2035,2035-08-07,45326.93
p37,2035,2035-08-17,45259.4
p37,2035,2035-08-22,42233.33
p37,2036,2036-06-27,44253.79
p37,2036,2036-08-17,35380.7
p37,2036,2036-08-24,33651.05
p37,2036,2036-08-25,37927.67
p37,2036,2036-09-05,40287.87
p37,2037,2037-08-02,37118.18
p37,2038,2038-07-18,37246.49
p37,2038,2038-09-04,34481.57
p37,2038,2038-09-05,33747.05
p37,2038,2038-09-10,37957.63
p37,2039,2039-07-23,36199.81
p37,2039,2039-07-24,35539.770000000004
p37,2039,2039-07-28,41048.08
p37,2039,2039-07-29,40190.61
p37,2039,2039-07-30,35210.12
p37,2039,2039-08-27,35435.09
p37,2039,2039-08-31,39577.31
p37,2040,2040-07-01,36239.44
p37,2040,2040-07-30,40738.5
p37,2040,2040-07-31,40151.56
p37,2040,2040-08-10,40120.96
p37,2040,2040-08-11,35833.69
p37,2040,2040-08-12,35650.29
p37,2040,2040-08-14,37791.19
p37,2040,2040-08-24,36851.84
p37,2040,2040-08-26,34257.06
p37,2041,2041-08-03,38232.869999999995
p37,2041,2041-08-04,38380.76
p37,2041,2041-08-05,43797.19
p37,2041,2041-08-06,41497.69
p37,2041,2041-08-07,42203.54
p37,2041,2041-08-08,42008.509999999995
p37,2041,2041-08-21,38956.81
p37,2041,2041-09-01,32521.059999999998
p37,2041,2041-09-04,36265.729999999996
p37,2041,2041-09-05,38013.38
p37,2041,2041-09-06,37435.66
p37,2042,2042-06-28,35035.85
p37,2042,2042-06-29,35052.619999999995
p37,2042,2042-06-30,37636.21
p37,2042,2042-07-01,38281.99
p37,2042,2042-07-05,36867.45
p37,2042,2042-07-06,36335.72
p37,2042,2042-07-14,41206.56
p37,2042,2042-07-15,40742.1
p37,2042,2042-07-16,41441.62
p37,2042,2042-07-17,41236.9
p37,2042,2042-07-19,36537.65
p37,2042,2042-07-20,36685.97
p37,2042,2042-07-21,39814.68
p37,2042,2042-07-26,35375.47
p37,2042,2042-07-27,34720.630000000005
p37,2042,2042-07-31,38688.369999999995
p37,2042,2042-08-01,36779.59
p37,2042,2042-08-07,40980.479999999996
p37,2042,2042-08-08,40899.01
p37,2042,2042-09-04,37457.85
p37,2042,2042-09-05,38951.65
p37,2042,2042-09-07,35518.7
p37,2043,2043-07-24,38493.83
p37,2043,2043-07-25,36078.56
p37,2043,2043-08-12,39414.62
p37,2043,2043-08-13,38238.44
p37,2043,2043-08-14,39382.87
p37,2043,2043-08-15,35007.490000000005
p37,2043,2043-08-16,34169.49
p37,2043,2043-08-17,39305.14
p37,2043,2043-08-18,40929.25
p37,2043,2043-08-19,40923.03
p37,2043,2043-08-20,41049.84
p37,2043,2043-08-23,33792.380000000005
p37,2043,2043-08-24,39861.94
p37,2043,2043-08-25,39017.37
p37,2043,2043-08-27,35657.75
p37,2043,2043-09-05,32281.7
p37,2043,2043-09-06,33678.42
p37,2043,2043-09-07,34391.39
p37,2044,2044-09-01,38755.57
p37,2045,2045-06-22,41926.72
p37,2045,2045-07-09,39075.55
p37,2045,2045-07-10,43495.93
p37,2045,2045-07-16,35831.380000000005
p37,2045,2045-07-17,40145.53
p37,2045,2045-07-19,39285.46
p37,2045,2045-07-20,40117.02
p37,2045,2045-07-30,35914.44
p37,2045,2045-07-31,40565.79
p37,2045,2045-08-02,41512.32
p37,2045,2045-08-03,40830.69
p37,2045,2045-08-06,34646.14
p37,2045,2045-08-07,39810.92
p37,2045,2045-08-08,40030.23
p37,2045,2045-09-04,34447.380000000005
p37,2045,2045-09-09,34285.270000000004
p37,2045,2045-09-10,36185.02
p37,2046,2046-07-07,35916.71
p37,2046,2046-07-11,40581.33
p37,2046,2046-07-12,41759.78
p37,2046,2046-07-14,35767.08
p37,2046,2046-07-15,35343.72
p37,2046,2046-07-16,40163.95
p37,2046,2046-07-17,38760.25
p37,2046,2046-07-18,38151.1
p37,2046,2046-07-19,39861.49
p37,2046,2046-07-23,40678.71
p37,2046,2046-07-24,41770.69
p37,2046,2046-07-27,40986.92
p37,2046,2046-07-28,36243.979999999996
p37,2046,2046-07-29,35275.93
p37,2046,2046-07-30,42267.25
p37,2046,2046-07-31,40992.34
p37,2046,2046-08-08,39295.64
p37,2046,2046-08-11,36740.52
p37,2046,2046-08-12,36420.53
p37,2046,2046-08-16,38277.380000000005
p37,2046,2046-08-23,38835.67
p37,2047,2047-07-07,38135.11
p37,2047,2047-07-22,45721.04
p37,2047,2047-07-23,45718.44
p37,2047,2047-07-24,44994.47
p37,2047,2047-07-25,45485.380000000005
p37,2047,2047-07-30,41398.97
p37,2047,2047-07-31,41794.979999999996
p37,2047,2047-08-01,42902.09
p37,2047,2047-08-10,37162.14
p37,2047,2047-08-11,37272.909999999996
p37,2047,2047-08-13,39160.42
p37,2047,2047-09-01,35877.48
p37,2047,2047-09-03,38305.25
p37,2048,2048-08-30,32485.03
p37,2048,2048-08-31,40100.59
p37,2049,2049-08-12,41036.68
p37,2050,2050-08-08,43739.53
p37,2050,2050-08-09,42653.909999999996
p37,2050,2050-08-22,41059.130000000005
p37,2050,2050-08-23,39009.94
p37,2050,2050-08-27,33813.299999999996
p37,2050,2050-08-28,33737.58
p37,2051,2051-07-17,46814.689999999995
p37,2051,2051-08-23,40709.979999999996
p37,2052,2052-07-02,42734.59
p37,2052,2052-07-19,43153.75
p37,2052,2052-07-20,37729.23
p37,2052,2052-07-22,41025.11
p37,2052,2052-07-23,41007.91
p37,2052,2052-07-29,40369.39
p37,2052,2052-07-30,40699.47
p37,2052,2052-07-31,40327.55
p37,2052,2052-08-01,41548.27
p37,2052,2052-08-06,39416.19
p37,2052,2052-08-23,38454.83
p37,2052,2052-08-24,33867.06
p37,2052,2052-08-28,40124.259999999995
p37,2052,2052-08-29,40889.22
