rb,Year,Date,Load_sum
p36,2038,2038-01-02,207778.1020274032
p36,2038,2038-01-03,201319.68431989977
p36,2038,2038-01-04,214322.02821739984
p36,2038,2038-01-05,212151.20583525725
p36,2038,2038-01-06,212117.35352131675
p36,2038,2038-01-07,218641.87495676134
p36,2038,2038-01-08,224695.24058619264
p36,2038,2038-01-09,202180.9490564556
p36,2038,2038-01-10,187962.9631624303
p36,2038,2038-01-11,203601.37476925473
p36,2038,2038-01-12,201618.2143075676
p36,2038,2038-01-13,195502.82845059934
p36,2038,2038-01-14,195167.89911246218
p36,2038,2038-01-15,196692.55613318912
p36,2038,2038-01-16,175562.52813943394
p36,2038,2038-01-17,178711.15519183502
p36,2038,2038-01-18,202736.99844187876
p36,2038,2038-01-19,207091.11360952913
p36,2038,2038-01-20,200184.67821999235
p36,2038,2038-01-21,197922.60399053624
p36,2038,2038-01-22,193643.3272475552
p36,2038,2038-01-26,215538.62417911232
p36,2038,2038-01-27,213981.0563902641
p36,2038,2038-01-28,217833.1397627157
p36,2038,2038-01-30,195868.88170405896
p36,2038,2038-01-31,201491.41791319987
p36,2038,2038-02-03,203130.6070805699
p36,2038,2038-02-04,194995.09202042894
p36,2038,2038-02-05,192740.0991258517
p36,2038,2038-02-08,207180.33811931242
p36,2038,2038-02-09,205880.55135065273
p36,2038,2038-02-10,207007.4493357622
p36,2038,2038-02-11,206856.3349811173
p36,2038,2038-02-12,201327.35535427643
p36,2038,2038-02-13,184374.73839607433
p36,2038,2038-02-14,190820.39487256733
p36,2038,2038-02-15,198368.65427024022
p36,2038,2038-12-22,218294.035686911
p36,2038,2038-12-23,214448.78870030498
p36,2038,2038-12-27,212690.90666793307
p36,2038,2038-12-28,207168.20831090148
p36,2038,2038-12-29,211682.55259231088
p36,2038,2038-12-30,219389.30516287667
p36,2038,2038-12-31,210530.6309678194
p36,2039,2039-01-01,227756.27001304695
p36,2039,2039-01-02,220219.03565731534
p36,2039,2039-01-03,230445.77311298117
p36,2039,2039-01-04,227154.7863495786
p36,2039,2039-01-05,224853.9836811833
p36,2039,2039-01-06,224818.1044241394
p36,2039,2039-01-07,231733.28848164697
p36,2039,2039-01-08,223802.0936241441
p36,2039,2039-01-09,214286.74723201245
p36,2039,2039-01-10,217335.52251343787
p36,2039,2039-01-11,215792.2224367779
p36,2039,2039-01-12,213690.3181448191
p36,2039,2039-01-13,207208.7670912999
p36,2039,2039-01-14,206853.78350478038
p36,2039,2039-01-15,190574.63218140442
p36,2039,2039-01-16,186074.52020775218
p36,2039,2039-01-17,203438.6590968703
p36,2039,2039-01-18,215383.81736757045
p36,2039,2039-01-19,219490.91308127975
p36,2039,2039-01-20,212170.94756772072
p36,2039,2039-01-21,209773.42925113512
p36,2039,2039-01-22,187765.00495407416
p36,2039,2039-01-23,186426.98450165475
p36,2039,2039-01-24,207310.96242156829
p36,2039,2039-01-25,217498.76953699562
p36,2039,2039-01-26,228444.2272813163
p36,2039,2039-01-27,226793.39847364044
p36,2039,2039-01-28,230876.12941244262
p36,2039,2039-01-29,213394.9944522313
p36,2039,2039-01-30,207596.73817049223
p36,2039,2039-01-31,230846.689662536
p36,2039,2039-02-01,220786.0160932794
p36,2039,2039-02-02,216418.3527933817
p36,2039,2039-02-03,215293.26703479278
p36,2039,2039-02-04,206670.62940533017
p36,2039,2039-02-05,186996.42473723975
p36,2039,2039-02-06,186654.92907126623
p36,2039,2039-02-07,213210.05153463382
p36,2039,2039-02-08,219585.4800029609
p36,2039,2039-02-09,218207.86712671744
p36,2039,2039-02-10,219402.23932062768
p36,2039,2039-02-11,219242.07683416177
p36,2039,2039-02-12,196099.11589146004
p36,2039,2039-02-13,195414.37087435857
p36,2039,2039-02-14,216652.55029236723
p36,2039,2039-02-15,215967.07675503733
p36,2039,2039-02-16,213949.65605365392
p36,2039,2039-02-17,210967.23282766083
p36,2039,2039-02-18,209395.602375469
p36,2039,2039-02-19,188415.32594115008
p36,2039,2039-02-20,190052.57249503976
p36,2039,2039-02-21,210585.35645285153
p36,2039,2039-02-22,214442.30990363623
p36,2039,2039-02-23,218197.50358165862
p36,2039,2039-12-21,231980.38780528386
p36,2039,2039-12-22,231364.62196759784
p36,2039,2039-12-23,227289.13675047475
p36,2039,2039-12-24,214470.78405789466
p36,2039,2039-12-25,210808.92906320863
p36,2039,2039-12-26,209217.15378490812
p36,2039,2039-12-27,225425.9996720679
p36,2039,2039-12-28,219572.62390944138
p36,2039,2039-12-29,224357.2693296117
p36,2039,2039-12-30,232525.4718619252
p36,2039,2039-12-31,229777.77640155857
p36,2040,2040-01-01,241393.4175824042
p36,2040,2040-01-02,248596.07678270002
p36,2040,2040-01-03,244243.95752518775
p36,2040,2040-01-04,240755.91944838443
p36,2040,2040-01-05,238317.35378661437
p36,2040,2040-01-06,238279.3262211047
p36,2040,2040-01-07,228893.81929057697
p36,2040,2040-01-08,237202.48069980496
p36,2040,2040-01-09,245833.44810212564
p36,2040,2040-01-10,230348.71680402462
p36,2040,2040-01-11,228713.01000289552
p36,2040,2040-01-12,226485.25196822977
p36,2040,2040-01-13,219615.61118971597
p36,2040,2040-01-14,200930.00808190057
p36,2040,2040-01-15,201985.489857836
p36,2040,2040-01-16,208665.21635784308
p36,2040,2040-01-17,219395.88058845932
p36,2040,2040-01-18,228280.15124819113
p36,2040,2040-01-19,232633.1636619154
p36,2040,2040-01-20,224874.90747075924
p36,2040,2040-01-21,203368.1745802222
p36,2040,2040-01-22,199007.6332284708
p36,2040,2040-01-23,214699.0169799948
p36,2040,2040-01-24,219723.92557347822
p36,2040,2040-01-25,230521.7384157875
p36,2040,2040-01-26,242122.56701977723
p36,2040,2040-01-27,240372.89309112736
p36,2040,2040-01-28,229099.70889649272
p36,2040,2040-01-29,226172.2454571786
p36,2040,2040-01-30,240102.10661607355
p36,2040,2040-01-31,244668.87937720458
p36,2040,2040-02-01,234005.81233661468
p36,2040,2040-02-02,229376.63057687145
p36,2040,2040-02-03,228184.17911846147
p36,2040,2040-02-04,200602.56775431667
p36,2040,2040-02-05,198193.0334582109
p36,2040,2040-02-06,216388.5260198617
p36,2040,2040-02-07,225976.22888677218
p36,2040,2040-02-08,232733.3928780575
p36,2040,2040-02-09,231273.2939737205
p36,2040,2040-02-10,232539.1804660523
p36,2040,2040-02-11,214439.82155876077
p36,2040,2040-02-12,207840.7578733872
p36,2040,2040-02-13,225466.01190131868
p36,2040,2040-02-14,229624.85089882408
p36,2040,2040-02-15,228898.3339084076
p36,2040,2040-02-16,226760.11800866298
p36,2040,2040-02-17,223599.1190374453
p36,2040,2040-02-18,203085.89122886476
p36,2040,2040-02-19,199696.8928725053
p36,2040,2040-02-20,223841.18963499268
p36,2040,2040-02-21,221860.8311748707
p36,2040,2040-02-22,227282.27002900268
p36,2040,2040-02-23,231262.30990043955
p36,2040,2040-02-24,234715.68765616536
p36,2040,2040-02-25,213497.69829884844
p36,2040,2040-12-17,253382.64093985222
p36,2040,2040-12-18,254173.14918915983
p36,2040,2040-12-19,255776.39305551854
p36,2040,2040-12-20,250614.42517057376
p36,2040,2040-12-21,245909.63421514732
p36,2040,2040-12-22,228349.930833983
p36,2040,2040-12-23,222910.1371133298
p36,2040,2040-12-24,244030.09952726366
p36,2040,2040-12-25,226287.47664099332
p36,2040,2040-12-26,245123.23072424062
p36,2040,2040-12-27,238961.6882978566
p36,2040,2040-12-28,232756.8469906704
p36,2040,2040-12-29,221148.46948985165
p36,2040,2040-12-30,230083.77162592558
p36,2040,2040-12-31,257659.85722937091
p36,2041,2041-01-01,259437.57422966068
p36,2041,2041-01-02,266019.20466875826
p36,2041,2041-01-03,258909.5691343217
p36,2041,2041-01-04,255212.09205140913
p36,2041,2041-01-05,231782.72469042207
p36,2041,2041-01-06,231394.8962302319
p36,2041,2041-01-07,260356.1135636337
p36,2041,2041-01-08,267564.3885089985
p36,2041,2041-01-09,260594.50056348759
p36,2041,2041-01-10,244179.98964098652
p36,2041,2041-01-11,242446.06693763065
p36,2041,2041-01-12,219934.96216301515
p36,2041,2041-01-13,213032.36505254643
p36,2041,2041-01-14,232403.58561391238
p36,2041,2041-01-15,234219.1288464815
p36,2041,2041-01-16,228202.86345614816
p36,2041,2041-01-17,232569.4911291518
p36,2041,2041-01-18,241987.2172088099
p36,2041,2041-01-19,225399.97985713082
p36,2041,2041-01-20,218162.33114521718
p36,2041,2041-01-21,232942.7040609082
p36,2041,2041-01-22,230588.14378386887
p36,2041,2041-01-23,227590.60466877825
p36,2041,2041-01-24,232917.23355270457
p36,2041,2041-01-25,244363.40032351212
p36,2041,2041-01-26,238381.14347296942
p36,2041,2041-01-27,237457.0937219635
p36,2041,2041-01-28,259393.08142687817
p36,2041,2041-01-29,259434.18988474176
p36,2041,2041-01-30,254519.02107260854
p36,2041,2041-01-31,259360.00538967957
p36,2041,2041-02-01,248056.67522297602
p36,2041,2041-02-02,224700.6942929816
p36,2041,2041-02-03,222002.70595038516
p36,2041,2041-02-04,232197.8090082786
p36,2041,2041-02-05,229512.5906059856
p36,2041,2041-02-06,229381.56016259166
p36,2041,2041-02-07,239544.95598786487
p36,2041,2041-02-08,246707.85342565808
p36,2041,2041-02-09,228017.8733769388
p36,2041,2041-02-10,228543.69120733123
p36,2041,2041-02-11,246322.03438774694
p36,2041,2041-02-12,239738.19198380908
p36,2041,2041-02-13,239004.10305865714
p36,2041,2041-02-14,243412.65925735905
p36,2041,2041-02-15,242642.51860428636
p36,2041,2041-02-16,223059.39262313087
p36,2041,2041-02-17,218584.30743347324
p36,2041,2041-02-18,237634.44123337904
p36,2041,2041-02-19,232061.58625474878
p36,2041,2041-02-20,233595.59868421638
p36,2041,2041-02-21,235182.44950376934
p36,2041,2041-02-22,240929.4182805369
p36,2041,2041-02-23,228885.3384674349
p36,2041,2041-02-24,230016.20351483973
p36,2041,2041-02-25,244710.62697863323
p36,2041,2041-02-26,239429.26306157088
p36,2041,2041-02-27,236441.69003859512
p36,2041,2041-02-28,236090.47418914063
p36,2041,2041-12-12,280928.1315046094
p36,2041,2041-12-13,276036.0451802624
p36,2041,2041-12-14,240124.49940607473
p36,2041,2041-12-15,234836.11024248786
p36,2041,2041-12-16,260524.60811993986
p36,2041,2041-12-17,268554.19457397296
p36,2041,2041-12-18,269392.03534084413
p36,2041,2041-12-19,271091.2751294839
p36,2041,2041-12-20,265620.2289575122
p36,2041,2041-12-21,240920.36649817345
p36,2041,2041-12-22,242022.6244729206
p36,2041,2041-12-23,255363.03690901777
p36,2041,2041-12-24,258641.65985193703
p36,2041,2041-12-25,239836.67865362696
p36,2041,2041-12-26,259800.2434355595
p36,2041,2041-12-27,253269.77213921008
p36,2041,2041-12-28,229516.09119675658
p36,2041,2041-12-29,234389.96801368083
p36,2041,2041-12-30,261246.1444585057
p36,2041,2041-12-31,273087.5137129231
p36,2042,2042-01-01,274971.6733989318
p36,2042,2042-01-02,281947.38592209143
p36,2042,2042-01-03,274412.05344002787
p36,2042,2042-01-04,249088.4569253729
p36,2042,2042-01-05,245660.96049244812
p36,2042,2042-01-06,267710.6932886829
p36,2042,2042-01-07,275945.21124708373
p36,2042,2042-01-08,283585.08927913767
p36,2042,2042-01-09,276197.87192070053
p36,2042,2042-01-10,258800.52479476077
p36,2042,2042-01-11,235547.19517521324
p36,2042,2042-01-12,233103.80065209922
p36,2042,2042-01-13,246741.7063033867
p36,2042,2042-01-14,246318.9961204294
p36,2042,2042-01-15,248243.24692438467
p36,2042,2042-01-16,241866.75128028184
p36,2042,2042-01-17,246494.8354038753
p36,2042,2042-01-18,235504.42093460436
p36,2042,2042-01-19,238896.04206110773
p36,2042,2042-01-20,248362.85671703817
p36,2042,2042-01-21,249795.675140191
p36,2042,2042-01-22,244394.85279058316
p36,2042,2042-01-23,241217.8328504199
p36,2042,2042-01-24,246863.39927285237
p36,2042,2042-01-25,244245.1941566032
p36,2042,2042-01-26,252654.466578879
p36,2042,2042-01-27,270062.8496721532
p36,2042,2042-01-28,274924.5165425217
p36,2042,2042-01-29,274968.08641278115
p36,2042,2042-01-30,269758.61666914984
p36,2042,2042-01-31,274889.46004261065
p36,2042,2042-02-01,242301.3587876832
p36,2042,2042-02-02,238154.88603415687
p36,2042,2042-02-03,256368.63154727907
p36,2042,2042-02-04,246100.89842287928
