rb,Year,Date,Load_sum
p112,2020,2020-06-28,437944.0737058247
p112,2020,2020-07-08,499378.0197278148
p112,2020,2020-07-09,503151.679218958
p112,2020,2020-07-15,499704.16891288164
p112,2020,2020-07-16,517170.3558272162
p112,2020,2020-07-19,448948.59020633553
p112,2020,2020-07-20,519902.96626001096
p112,2020,2020-08-08,460391.68249713676
p112,2021,2021-07-08,514861.1468009106
p112,2021,2021-07-09,527067.736971177
p112,2022,2022-07-06,494263.3656852093
p112,2022,2022-07-17,460902.8010829914
p112,2023,2023-07-02,465165.1049818217
p112,2023,2023-07-12,486897.41457779275
p112,2023,2023-07-15,456807.2489879836
p112,2023,2023-07-21,528844.5966746004
p112,2023,2023-07-23,438325.6473335414
p112,2023,2023-07-28,486043.15498957207
p112,2023,2023-07-29,444757.4241581834
p112,2023,2023-08-08,497323.9839114732
p112,2023,2023-08-18,494508.21495863184
p112,2023,2023-08-19,463329.1240074399
p112,2023,2023-08-20,457423.1728310043
p112,2023,2023-08-21,490038.92653394584
p112,2023,2023-08-22,506574.55765213317
p112,2023,2023-08-25,501055.1153990766
p112,2023,2023-08-30,463908.4017007393
p112,2023,2023-09-10,404934.6305933935
p112,2024,2024-06-13,497699.19100456836
p112,2024,2024-08-08,519228.79781840614
p112,2024,2024-09-02,382592.44836790895
p112,2025,2025-08-13,492667.4803655845
p112,2025,2025-09-07,463138.8007185513
p112,2026,2026-06-22,464432.2684360037
p112,2026,2026-07-06,497814.4398268279
p112,2026,2026-07-07,509181.83540366584
p112,2026,2026-07-17,515038.16897669976
p112,2026,2026-07-18,460420.76850884524
p112,2026,2026-07-25,452805.34219113307
p112,2027,2027-07-19,496622.1963337472
p112,2027,2027-07-20,506706.0916205488
p112,2027,2027-07-21,520559.38001672714
p112,2027,2027-07-24,468882.71659446426
p112,2027,2027-07-25,464789.3535915081
p112,2027,2027-08-02,507996.7066685739
p112,2027,2027-08-13,488049.31495250633
p112,2027,2027-08-15,428935.39395762957
p112,2027,2027-08-16,501660.64593026706
p112,2028,2028-06-14,468511.3181524919
p112,2028,2028-06-21,487955.8298415473
p112,2028,2028-06-22,491493.3839317753
p112,2028,2028-06-25,417846.83827560383
p112,2028,2028-06-26,432596.04170117114
p112,2028,2028-07-05,475896.36585743434
p112,2028,2028-07-06,491265.6669766932
p112,2028,2028-07-07,499962.15422672813
p112,2028,2028-07-08,444736.4847588707
p112,2028,2028-07-09,441700.89892674075
p112,2028,2028-07-14,508368.6418230062
p112,2028,2028-07-15,427359.4931237092
p112,2028,2028-07-16,453267.06845950463
p112,2028,2028-07-17,500987.1663788673
p112,2028,2028-07-28,493460.1434131898
p112,2028,2028-07-29,442318.4128085504
p112,2028,2028-07-30,442309.3055274341
p112,2028,2028-08-01,471943.2178529382
p112,2028,2028-08-02,505253.7356166275
p112,2028,2028-08-03,508910.2265588108
p112,2028,2028-08-04,519263.54334163805
p112,2028,2028-08-08,474297.6027160806
p112,2028,2028-08-09,492218.8877997606
p112,2028,2028-08-10,502500.3165323886
p112,2028,2028-08-11,494904.40048798354
p112,2028,2028-08-12,448757.6880227248
p112,2028,2028-08-13,463691.83989425586
p112,2028,2028-08-14,517448.3831498588
p112,2028,2028-08-15,508736.8530982315
p112,2028,2028-08-16,475373.0417121868
p112,2028,2028-08-17,476860.52631060616
p112,2028,2028-08-18,478177.2841161846
p112,2029,2029-06-26,504944.9593289795
p112,2029,2029-07-10,508934.2840759908
p112,2030,2030-07-04,402557.93005484686
p112,2030,2030-07-09,517435.05690611235
p112,2030,2030-08-28,512289.6239403975
p112,2031,2031-06-29,433545.55922299897
p112,2031,2031-06-30,499740.80185226677
p112,2031,2031-07-01,497878.15664135356
p112,2031,2031-07-06,438950.3638417877
p112,2031,2031-07-07,504346.43737899064
p112,2031,2031-07-18,495527.44420694147
p112,2031,2031-07-20,464478.85109312134
p112,2031,2031-07-21,514704.34016094304
p112,2031,2031-07-22,508710.7658980256
