rb,Year,Date,Load_sum
p112,2020,2020-07-08,506689.84760615474
p112,2020,2020-07-15,497414.2731210934
p112,2020,2020-07-16,523283.0829809538
p112,2020,2020-07-19,455128.10481950646
p112,2020,2020-07-20,527196.4579922494
p112,2020,2020-07-21,529717.1480156031
p112,2020,2020-08-08,464183.2193892731
p112,2021,2021-07-08,523224.9694994492
p112,2022,2022-07-17,464167.7963710978
p112,2023,2023-07-02,470386.32032865996
p112,2023,2023-07-03,521403.64188760205
p112,2023,2023-07-12,497338.20920325175
p112,2023,2023-07-15,460308.77625325427
p112,2023,2023-07-21,535373.2235481018
p112,2023,2023-07-28,493557.4219429036
p112,2023,2023-08-08,498889.4015908437
p112,2023,2023-08-19,463856.94826866535
p112,2023,2023-08-20,462267.95075948315
p112,2023,2023-08-21,490960.3049569267
p112,2023,2023-08-26,464797.1325521264
p112,2023,2023-08-27,462019.6714184175
p112,2023,2023-09-10,421242.9860831837
p112,2024,2024-06-13,501984.4989111561
p112,2024,2024-08-30,500950.8826790707
p112,2024,2024-09-02,386366.9902829592
p112,2025,2025-08-13,500941.5699644225
p112,2025,2025-09-07,470876.83326004486
p112,2026,2026-07-06,502660.14492107887
p112,2026,2026-07-07,510217.729970529
p112,2026,2026-07-18,460433.27046342695
p112,2027,2027-07-12,532358.4983923205
p112,2027,2027-07-19,503426.4485840872
p112,2027,2027-07-20,512830.5495905423
p112,2027,2027-07-21,520552.7413280803
p112,2027,2027-07-22,517435.5157273175
p112,2027,2027-07-23,523551.1814649543
p112,2027,2027-07-24,469476.84116009646
p112,2027,2027-07-25,467595.95844643103
p112,2027,2027-08-02,519028.0860978882
p112,2027,2027-08-13,494433.74803570536
p112,2027,2027-08-14,442540.92266573565
p112,2027,2027-08-15,438275.11570984905
p112,2027,2027-08-16,508565.98085700464
p112,2028,2028-06-14,467628.2906815738
p112,2028,2028-06-15,471412.6141129653
p112,2028,2028-06-21,491714.5861759202
p112,2028,2028-06-22,495128.89180449117
p112,2028,2028-06-25,419231.74989358336
p112,2028,2028-06-26,440938.9528795695
p112,2028,2028-07-05,479389.76456679765
p112,2028,2028-07-06,492972.8763412082
p112,2028,2028-07-07,497262.65454011207
p112,2028,2028-07-08,446160.9791504878
p112,2028,2028-07-09,441649.86472132325
p112,2028,2028-07-14,515749.1104330986
p112,2028,2028-07-15,431585.7667117785
p112,2028,2028-07-16,456378.8037591708
p112,2028,2028-07-17,514583.2714685394
p112,2028,2028-07-18,499685.43729282776
p112,2028,2028-07-28,490174.72374026314
p112,2028,2028-07-29,442631.60437752015
p112,2028,2028-07-30,441376.8340203216
p112,2028,2028-08-01,481570.9532270865
p112,2028,2028-08-02,504045.3507172319
p112,2028,2028-08-03,509159.977499408
p112,2028,2028-08-04,512409.40074509615
p112,2028,2028-08-05,474964.4598058505
p112,2028,2028-08-08,471953.3039691341
p112,2028,2028-08-09,493711.47563743684
p112,2028,2028-08-10,500672.4179486012
p112,2028,2028-08-11,505084.5943554292
p112,2028,2028-08-12,454774.21467522904
p112,2028,2028-08-13,463493.5476638102
p112,2028,2028-08-14,516836.54318923556
p112,2028,2028-08-15,512238.45810588857
p112,2028,2028-08-16,476890.1344619671
p112,2028,2028-08-17,483345.08211595635
p112,2028,2028-08-18,479455.0228792151
p112,2029,2029-07-10,512495.12080236827
p112,2030,2030-07-04,405228.9450477889
p112,2030,2030-07-09,523532.01506180887
