rb,Year,Date,Load_sum
p114,2022,2022-01-10,588758.51
p114,2022,2022-01-11,605366.8
p114,2022,2022-01-17,599807.99
p114,2022,2022-02-10,551200.72
p114,2023,2023-12-25,444739.98000000004
p114,2024,2024-01-21,553405.51
p114,2025,2025-01-20,581452.05
p114,2025,2025-01-21,611785.76
p114,2029,2029-12-22,538459.65
p114,2029,2029-12-23,526984.96
p114,2034,2034-01-18,611995.0800000001
p114,2034,2034-01-19,646797.9600000001
p114,2039,2039-01-05,579142.37
p114,2039,2039-01-10,553256.27
p114,2044,2044-12-25,442245.67000000004
p114,2054,2054-01-07,610175.57
p114,2054,2054-01-28,599904.52
p114,2054,2054-01-29,580002.05
p114,2055,2055-02-20,503913.07999999996
p114,2059,2059-01-31,587600.95
p114,2062,2062-01-17,623245.38
p114,2064,2064-01-21,562955.37
p114,2065,2065-01-20,598779.54
p114,2065,2065-01-21,592417.89
p114,2069,2069-12-22,530265.66
p114,2074,2074-01-18,588850.2000000001
p114,2074,2074-01-19,621251.8099999999
p114,2094,2094-01-07,601699.51
p114,2094,2094-01-28,589045.17
