rb,Year,Date,Load_sum
p112,2022,2022-01-10,577546.102182685
p112,2022,2022-01-11,591673.8866514412
p112,2022,2022-01-17,588583.7434430968
p112,2022,2022-02-10,535484.9301461342
p112,2024,2024-01-21,534822.8346315435
p112,2025,2025-01-20,563500.9838583288
p112,2025,2025-01-21,592044.1154521396
p112,2029,2029-12-22,510105.72397159936
p112,2034,2034-01-18,567945.5404380106
p112,2034,2034-01-19,599181.7965192288
p112,2054,2054-01-07,555562.0473632124
p112,2054,2054-01-28,543916.8181240924
p112,2055,2055-02-20,459792.91189685225
p112,2062,2062-01-17,559145.2894520866
p112,2074,2074-01-19,529338.1268502258
